Перенос данных из Строка - 2; наименование - Готовые бельмеши сочные с мясом ТМ Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 89; наименование - Снеки «Бельмеши сочные с мясом» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 70
Перенос данных из Строка - 3; наименование - Готовые чебуманы с говядиной ТМ горячая штучка 0,28 кг.  Поком ==> 
	Строка - 171; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебуманы/Снеки/P004109/","Снеки Чебуманы с говядиной Чебуманы Фикс.вес 0,28 лоток Горячая штучка"), в количестве 42
Перенос данных из Строка - 5; наименование - Готовые чебупели с ветчиной и сыром Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 104; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004584/","Снеки «Чебупели с ветчиной и сыром» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 84
Перенос данных из Строка - 7; наименование - Готовые чебупели сочные с мясом ТМ Горячая штучка  0,3кг зам  ПОКОМ ==> 
	Строка - 107; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупели/Снеки/P004605/","Снеки «Чебупели сочные с мясом» Фикс.вес 0,3 Пакет ТМ «Горячая штучка»"), в количестве 112
Перенос данных из Строка - 12; наименование - Круггетсы с сырным соусом ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 148; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Круггетсы/Снеки/P004095/","«Круггетсы с сырным соусом» Фикс.вес 0,25 ф/п ТМ «Горячая штучка»"), в количестве 14
Перенос данных из Строка - 15; наименование - Мини-сосиски в тесте ТМ Зареченские . ВЕС  Поком ==> 
	Строка - 309; наименование - Снеки «Мини-сосиски в тесте» Весовые ТМ «Зареченские» 3,7 кг, в количестве 98
Перенос данных из Строка - 18; наименование - Мини-чебуреки с мясом ТМ Зареченские ТС Зареченские продукты ПОКОМ ==> 
	Строка - 310; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004358/","Снеки «Мини-чебуречки с мясом» Весовой ТМ «Зареченские» 5,5 кг"), в количестве 24
Перенос данных из Строка - 20; наименование - Мини-шарики с курочкой и сыром ТМ Зареченские ВЕС ПОКОМ ==> 
	Строка - 313; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Снеки/P004394/","Снеки «Мини-шарики с курочкой и сыром» Весовой ТМ «Зареченские» 3 кг"), в количестве 70
Перенос данных из Строка - 21; наименование - Наггетсы Нагетосы Сочная курочка ТМ Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 30; наименование - Наггетсы «Нагетосы Сочная курочка» Фикс.вес 0,25 ТМ «Горячая штучка», в количестве 140
Перенос данных из Строка - 24; наименование - Наггетсы Хрустящие ТМ Зареченские ТС Зареченские продукты. Поком ==> 
