ООО КСК ТРЕЙД Тс251358-23 03.12.2023 Кива 11091кг.pdf
('SU002828', ['7,00', '78.940'], '75,580')
('SU002829', ['19,00', '219.775'], '210,750')
('SU002815', ['100,00', '471.000'], '1_000,000')
('SU000124', ['2,00', '23.445'], '22,545')
('SU000722', ['19,00', '212.806'], '203,686')
('SU002928', ['2,00', '23.852'], '22,892')
('SU000125', ['10,00', '32.000'], '60,000')
('SU001485', ['23,00', '97.520'], '230,000')
('SU002816', ['60,00', '282.600'], '600,000')
('SU002734', ['55,00', '260.700'], '550,000')
('SU001523', ['10,00', '90.268'], '84,748')
('SU001351', ['4,00', '33.120'], '30,960')
('SU001718', ['84,00', '248.640'], '504,000')
('SU001354', ['7,00', '22.904'], '42,000')
('SU002835', ['10,00', '87.191'], '81,671')
('SU001721', ['36,00', '320.032'], '300,160')
('SU001720', ['184,00', '544.640'], '1_104,000')
('SU002756', ['20,00', '90.925'], '85,965')
('SU002660', ['29,00', '65.192'], '174,000')
('SU002877', ['27,00', '60.696'], '162,000')
('SU002848', ['50,00', '111.800'], '300,000')
('SU003068', ['2,00', '22.500'], '21,600')
('SU002941', ['22,00', '112.983'], '107,043')
('SU002943', ['22,00', '113.105'], '107,165')
('SU002945', ['53,00', '271.508'], '257,198')
('SU002947', ['26,00', '132.154'], '125,134')
('SU002801', ['67,00', '178.220'], '402,000')
('SU002799', ['34,00', '90.236'], '204,000')
('SU002618', ['9,00', '23.940'], '54,000')
('SU002686', ['14,00', '37.072'], '84,000')
('SU002844', ['67,00', '178.220'], '402,000')
('SU002758', ['10,00', '26.600'], '60,000')
('SU002759', ['9,00', '23.940'], '54,000')
('SU002579', ['4,00', '8.992'], '24,000')
('SU002617', ['50,00', '112.400'], '300,000')
('SU003167', ['167,00', '395.122'], '1_002,000')
('SU000227', ['66,00', '551.542'], '515,110')
('SU001430', ['11,00', '97.395'], '91,323')
('SU002252', ['10,00', '20.480'], '60,000')
('SU000251', ['116,00', '1.862.800'], '1_807,700')
('SU001578', ['85,00', '1.355.045'], '1_314,670')
('SU000256', ['6,00', '31.260'], '60,000')
('SU000126', ['74,00', '1.144.979'], '1_109,459')
('SU002027', ['3,00', '12.720'], '30,000')
('SU002287', ['7,00', '60.647'], '56,783')
('SU002073', ['5,00', '62.405'], '60,005')
('SU003035', ['134,00', '259.960'], '804,000')
('SU002538', ['67,00', '150.616'], '402,000')
('SU002602', ['20,00', '44.840'], '120,000')
('SU002606', ['34,00', '76.432'], '204,000')
('SU002612', ['17,00', '77.540'], '72,916')
('SU002604', ['20,00', '44.960'], '120,000')
('SU002094', ['39,00', '217.150'], '203,110')
('SU002010', ['20,00', '112.200'], '105,000')
('SU002632', ['7,00', '26.880'], '42,000')
('SU002035', ['19,00', '107.970'], '101,130')
('SU002158', ['14,00', '78.931'], '73,345')
('SU002151', ['29,00', '163.292'], '151,634')
('SU002808', ['4,00', '49.650'], '47,850')
('SU002809', ['3,00', '14.055'], '13,329')

ООО КСК ТРЕЙД Тс250652-23 03.12.2023 Кива 4563кг.pdf
('SU002763', ['70,00', '117.600'], '420,000')
('SU002345', ['25,00', '156.750'], '200,000')
('SU002582', ['10,00', '13.500'], '60,000')
('SU002707', ['30,00', '213.300'], '480,000')
('SU002595', ['60,00', '312.780'], '300,000')
('SU002563', ['5,00', '19.100'], '60,000')
('SU002568', ['10,00', '38.200'], '120,000')
('SU000419', ['20,00', '86.000'], '240,000')
('SU002559', ['40,00', '152.800'], '480,000')
('SU002573', ['5,00', '11.700'], '120,000')
('SU002626', ['30,00', '213.300'], '480,000')
('SU002627', ['50,00', '371.500'], '400,000')
('SU002622', ['30,00', '213.300'], '480,000')
('SU002623', ['90,00', '834.300'], '720,000')
('SU002731', ['90,00', '596.700'], '720,000')
('SU002565', ['20,00', '64.400'], '240,000')
('SU002566', ['20,00', '64.400'], '240,000')
('SU002314', ['8,00', '41.600'], '40,000')
('SU000197', ['40,00', '208.000'], '200,000')
('SU002516', ['25,00', '80.500'], '300,000')
('SU002514', ['50,00', '161.000'], '600,000')
('SU002920', ['53,00', '308.990'], '424,000')
('SU002066', ['50,00', '371.500'], '400,000')
('SU002268', ['40,00', '209.200'], '200,000')
('SU003019', ['19,00', '73.720'], '70,300')

