ŒŒŒ  —  “–≈…ƒ “Ò251436-23 04.12.2023 Ã‡ÚÎ‡¯ 5107Í„.pdf
('SU002828', ['6,00', '67.645'], '64,765')
('SU002814', ['17,00', '49.300'], '102,000')
('SU002829', ['14,00', '157.545'], '150,825')
('SU002815', ['40,00', '188.400'], '400,000')
('SU000722', ['9,00', '108.499'], '104,179')
('SU002830', ['12,00', '136.132'], '130,372')
('SU001485', ['10,00', '42.400'], '100,000')
('SU002816', ['30,00', '142.200'], '300,000')
('SU002734', ['35,00', '165.900'], '350,000')
('SU001718', ['84,00', '248.640'], '504,000')
('SU002835', ['4,00', '34.874'], '32,666')
('SU001721', ['18,00', '162.784'], '152,848')
('SU001720', ['84,00', '248.640'], '504,000')
('SU002660', ['17,00', '38.216'], '102,000')
('SU002877', ['17,00', '38.216'], '102,000')
('SU002848', ['17,00', '38.012'], '102,000')
('SU002941', ['7,00', '36.008'], '34,118')
('SU002945', ['14,00', '71.630'], '68,690')
('SU002947', ['12,00', '60.342'], '57,822')
('SU002801', ['50,00', '133.000'], '300,000')
('SU002799', ['50,00', '132.700'], '300,000')
('SU002842', ['59,00', '156.940'], '354,000')
('SU002618', ['59,00', '156.940'], '354,000')
('SU002686', ['14,00', '37.072'], '84,000')
('SU002844', ['17,00', '45.220'], '102,000')
('SU002758', ['4,00', '10.640'], '24,000')
('SU002759', ['4,00', '10.640'], '24,000')
('SU002617', ['25,00', '56.200'], '150,000')
('SU000227', ['13,00', '114.308'], '107,132')
('SU001430', ['4,00', '35.321'], '33,113')
('SU002252', ['5,00', '10.240'], '30,000')
('SU002173', ['9,00', '22.860'], '54,000')
('SU000251', ['53,00', '850.345'], '825,170')
('SU000102', ['34,00', '532.400'], '515,400')
('SU000126', ['35,00', '540.836'], '524,036')
('SU002614', ['8,00', '36.404'], '34,420')
('SU002613', ['8,00', '36.244'], '34,164')
('SU002538', ['20,00', '44.960'], '120,000')
('SU002606', ['17,00', '38.216'], '102,000')
('SU002150', ['11,00', '61.820'], '57,860')
('SU002158', ['12,00', '67.886'], '63,272')
('SU002151', ['11,00', '61.968'], '58,008')
('SU002655', ['20,00', '173.686'], '162,646')

ŒŒŒ  —  “–≈…ƒ “Ò251553-23 04.12.2023 Ã‡ÚÎ‡¯ 12547Í„.pdf
('SU002828', ['7,00', '78.920'], '75,560')
('SU002814', ['19,00', '55.100'], '114,000')
('SU002829', ['4,00', '45.137'], '43,217')
('SU002829', ['8,00', '92.435'], '88,635')
('SU002815', ['50,00', '235.500'], '500,000')
('SU000124', ['2,00', '23.195'], '22,295')
('SU002830', ['14,00', '158.935'], '152,215')
('SU002928', ['3,00', '35.710'], '34,300')
('SU000125', ['8,00', '25.600'], '48,000')
('SU001485', ['32,00', '135.680'], '320,000')
('SU002816', ['53,00', '251.220'], '530,000')
('SU002734', ['33,00', '156.420'], '330,000')
('SU001523', ['20,00', '180.756'], '169,716')
('SU001351', ['8,00', '66.207'], '61,887')
('SU001718', ['39,00', '115.440'], '234,000')
('SU002835', ['3,00', '26.082'], '24,426')
('SU001721', ['31,00', '280.810'], '263,698')
('SU001720', ['42,00', '124.320'], '252,000')
('SU002660', ['20,00', '44.960'], '120,000')
('SU002877', ['24,00', '53.952'], '144,000')
('SU002848', ['27,00', '60.372'], '162,000')
('SU002941', ['29,00', '148.788'], '140,958')
('SU002943', ['5,00', '25.731'], '24,381')
('SU002945', ['26,00', '132.990'], '127,530')
('SU002801', ['35,00', '93.100'], '210,000')
('SU002799', ['45,00', '119.430'], '270,000')
('SU002842', ['39,00', '103.740'], '234,000')
('SU002618', ['12,00', '31.920'], '72,000')
('SU002686', ['10,00', '26.480'], '60,000')
('SU002844', ['50,00', '133.000'], '300,000')
('SU002758', ['25,00', '66.500'], '150,000')
('SU002759', ['11,00', '29.260'], '66,000')
('SU001820', ['16,00', '70.698'], '66,790')
('SU002617', ['49,00', '110.152'], '294,000')
('SU003167', ['277,00', '655.382'], '1_662,000')
('SU003168', ['192,00', '453.120'], '1_152,000')
('SU001051', ['8,00', '69.738'], '65,322')
('SU000227', ['34,00', '300.719'], '281,951')
('SU001869', ['7,00', '19.670'], '105,000')
('SU002841', ['2,00', '4.460'], '40,000')
('SU001793', ['6,00', '67.060'], '64,180')
('SU002173', ['9,00', '22.860'], '54,000')
('SU000251', ['79,00', '1.276.035'], '1_238,510')
('SU001578', ['87,00', '1.399.635'], '1_358,310')
('SU000102', ['82,00', '1.294.170'], '1_253,170')
('SU001989', ['2,00', '10.500'], '20,000')
('SU000126', ['61,00', '943.153'], '913,873')
('SU000246', ['10,00', '88.580'], '83,060')
('SU002287', ['5,00', '43.338'], '40,578')
('SU002073', ['66,00', '835.688'], '804,008')
('SU002614', ['8,00', '36.436'], '34,452')
('SU002613', ['24,00', '108.627'], '102,387')
('SU003035', ['87,00', '168.780'], '522,000')
('SU002538', ['17,00', '38.216'], '102,000')
('SU002602', ['25,00', '56.050'], '150,000')
('SU002606', ['22,00', '49.456'], '132,000')
('SU002612', ['20,00', '91.340'], '85,900')
('SU002604', ['15,00', '33.720'], '90,000')
('SU002011', ['12,00', '67.860'], '63,540')
('SU002094', ['47,00', '263.150'], '246,230')
('SU002010', ['19,00', '106.240'], '99,400')
('SU002632', ['10,00', '38.400'], '60,000')
('SU002631', ['9,00', '34.560'], '54,000')
('SU002035', ['42,00', '236.030'], '220,910')
('SU002150', ['17,00', '95.600'], '89,480')
('SU002158', ['8,00', '45.353'], '42,305')
('SU002151', ['23,00', '129.439'], '121,159')
