ООО НВ Тс250054-23 02.12.2023 Медведь 7351кг.pdf
('SU000722', ['21,00', '246.454'], '236,374')
('SU002830', ['3,00', '33.998'], '32,558')
('SU001485', ['6,00', '25.440'], '60,000')
('SU002734', ['4,00', '18.960'], '40,000')
('SU001718', ['29,00', '85.840'], '174,000')
('SU001721', ['34,00', '308.299'], '289,531')
('SU001720', ['96,00', '284.160'], '576,000')
('SU002725', ['10,00', '90.952'], '85,432')
('SU003168', ['12,00', '28.320'], '72,000')
('SU001921', ['3,00', '9.344'], '8,648')
('SU002252', ['3,00', '6.144'], '18,000')
('SU003167', ['52,00', '123.032'], '312,000')
('SU000251', ['66,00', '1.053.145'], '1_020,170')
('SU001578', ['89,00', '1.426.625'], '1_384,350')
('SU000102', ['65,00', '1.038.315'], '1_007,440')
('SU000126', ['68,00', '1.053.687'], '1_021,047')
('SU002287', ['20,00', '160.072'], '149,032')
('SU002361', ['2,00', '5.928'], '16,000')
('SU002074', ['36,00', '313.620'], '293,748')
('SU002613', ['40,00', '180.091'], '169,997')
('SU002538', ['4,00', '8.992'], '24,000')
('SU002094', ['39,00', '218.679'], '204,639')
('SU002035', ['89,00', '502.703'], '470,663')
('SU002655', ['56,00', '475.539'], '444,627')

ООО НВ Тс250039-23 02.12.2023 Медведь 8705кг.pdf
('SU000722', ['56,00', '635.193'], '608,313')
('SU001523', ['12,00', '108.218'], '101,594')
('SU001351', ['14,00', '115.994'], '108,434')
('SU001718', ['17,00', '50.320'], '102,000')
('SU001721', ['12,00', '108.281'], '101,657')
('SU001720', ['17,00', '50.320'], '102,000')
('SU002725', ['24,00', '218.083'], '204,835')
('SU002799', ['84,00', '222.936'], '504,000')
('SU002618', ['84,00', '223.440'], '504,000')
('SU001822', ['24,00', '107.574'], '101,766')
('SU002579', ['17,00', '38.216'], '102,000')
('SU000227', ['25,00', '219.400'], '205,600')
('SU001869', ['14,00', '39.340'], '210,000')
('SU002252', ['17,00', '34.816'], '102,000')
('SU000251', ['130,00', '2.080.640'], '2_015,640')
('SU001578', ['97,00', '1.556.215'], '1_510,115')
('SU000102', ['33,00', '529.050'], '513,375')
('SU000126', ['67,00', '1.039.908'], '1_007,748')
('SU002074', ['64,00', '548.653'], '513,325')
('SU002614', ['24,00', '109.191'], '103,239')
('SU002094', ['95,00', '536.062'], '501,862')
('SU002182', ['19,00', '107.560'], '100,720')
('SU002010', ['19,00', '106.330'], '99,490')
('SU002150', ['39,00', '219.680'], '205,640')
('SU002151', ['20,00', '112.572'], '105,228')

ООО НВ Тс250025-23 02.12.2023 Медведь 415кг.pdf
('SU000152', ['12,00', '33.360'], '72,000')
('SU002815', ['3,00', '14.130'], '30,000')
('SU002831', ['5,00', '21.200'], '50,000')
('SU000722', ['2,00', '24.382'], '23,422')
('SU002986', ['3,00', '11.820'], '30,000')
('SU002816', ['3,00', '14.220'], '30,000')
('SU002734', ['2,00', '9.480'], '20,000')
('SU002313', ['5,00', '13.600'], '30,000')
('SU002786', ['3,00', '14.220'], '30,000')
('SU002735', ['10,00', '26.000'], '60,000')
('SU001527', ['6,00', '19.848'], '36,000')
('SU002658', ['4,00', '12.024'], '24,000')
('SU002835', ['2,00', '17.331'], '16,227')
('SU002618', ['5,00', '13.300'], '30,000')
('SU002621', ['4,00', '10.640'], '24,000')
('SU003073', ['6,00', '12.288'], '36,000')
('SU002579', ['4,00', '8.992'], '24,000')
('SU001869', ['2,00', '5.620'], '30,000')
('SU002092', ['2,00', '5.620'], '30,000')
('SU002477', ['4,00', '11.600'], '24,000')
('SU002476', ['9,00', '26.100'], '54,000')
('SU002602', ['10,00', '22.420'], '60,000')
('SU002603', ['10,00', '22.480'], '60,000')
('SU002606', ['10,00', '22.480'], '60,000')
('SU002557', ['10,00', '22.460'], '60,000')
('SU002643', ['4,00', '15.360'], '24,000')
('SU002218', ['2,00', '17.269'], '16,165')

