ООО НВ Тс256076-23 10.12.2023 Медведь 3855кг.pdf
('SU000251', ['97,00', '1.560.835'], '1_514,760')
('SU001578', ['53,00', '839.025'], '813,850')
('SU000102', ['33,00', '526.320'], '510,645')
('SU000126', ['68,00', '1.049.350'], '1_016,710')

ООО НВ Тс256099-23 10.12.2023 Медведь 526кг.pdf
('SU000152', ['5,00', '13.900'], '30,000')
('SU002831', ['3,00', '12.720'], '30,000')
('SU002986', ['3,00', '11.820'], '30,000')
('SU002816', ['3,00', '14.220'], '30,000')
('SU002734', ['3,00', '14.220'], '30,000')
('SU002313', ['5,00', '13.600'], '30,000')
('SU002786', ['3,00', '14.220'], '30,000')
('SU002735', ['5,00', '13.000'], '30,000')
('SU000665', ['4,00', '11.920'], '32,000')
('SU001527', ['5,00', '16.480'], '30,000')
('SU002658', ['5,00', '15.030'], '30,000')
('SU002834', ['5,00', '13.540'], '30,000')
('SU002660', ['5,00', '11.240'], '30,000')
('SU002618', ['5,00', '13.300'], '30,000')
('SU002621', ['5,00', '13.300'], '30,000')
('SU003073', ['5,00', '10.240'], '30,000')
('SU002758', ['5,00', '13.300'], '30,000')
('SU002759', ['5,00', '13.300'], '30,000')
('SU001800', ['3,00', '15.750'], '30,000')
('SU002579', ['5,00', '11.240'], '30,000')
('SU003167', ['5,00', '11.830'], '30,000')
('SU003168', ['5,00', '11.800'], '30,000')
('SU001762', ['5,00', '14.800'], '30,000')
('SU001869', ['2,00', '5.620'], '30,000')
('SU001794', ['3,00', '15.720'], '30,000')
('SU002252', ['5,00', '10.240'], '30,000')
('SU002173', ['5,00', '12.700'], '30,000')
('SU002092', ['2,00', '5.620'], '30,000')
('SU002027', ['3,00', '12.720'], '30,000')
('SU002462', ['3,00', '12.750'], '30,000')
('SU002476', ['5,00', '14.500'], '30,000')
('SU002602', ['5,00', '11.210'], '30,000')
('SU002603', ['5,00', '11.240'], '30,000')
('SU002606', ['5,00', '11.240'], '30,000')
('SU002557', ['5,00', '11.230'], '30,000')
('SU002285', ['8,00', '21.408'], '32,000')
('SU002419', ['8,00', '19.936'], '32,000')
('SU002182', ['7,00', '39.440'], '36,920')
('SU002632', ['5,00', '19.200'], '30,000')
('SU002020', ['5,00', '13.000'], '30,000')
('SU002643', ['5,00', '19.200'], '30,000')

ООО НВ Тс256089-23 10.12.2023 Медведь 12974кг.pdf
('SU002828', ['16,00', '183.000'], '176,600')
('SU002829', ['28,00', '314.540'], '301,100')
('SU002928', ['60,00', '726.001'], '697,371')
('SU000125', ['6,00', '19.200'], '36,000')
('SU002833', ['7,00', '79.963'], '76,603')
('SU001523', ['12,00', '112.036'], '105,412')
('SU001351', ['13,00', '116.805'], '109,785')
('SU001718', ['12,00', '35.520'], '72,000')
('SU002835', ['26,00', '227.517'], '213,165')
('SU001720', ['7,00', '20.720'], '42,000')
('SU002660', ['11,00', '24.728'], '66,000')
('SU002848', ['74,00', '165.464'], '444,000')
('SU002941', ['65,00', '334.964'], '317,414')
('SU002943', ['56,00', '288.938'], '273,818')
('SU002725', ['48,00', '431.555'], '405,059')
('SU002842', ['88,00', '234.080'], '528,000')
('SU002618', ['45,00', '119.700'], '270,000')
('SU002621', ['40,00', '106.400'], '240,000')
('SU002686', ['58,00', '153.584'], '348,000')
('SU002844', ['59,00', '156.940'], '354,000')
('SU001820', ['53,00', '233.835'], '221,009')
('SU001822', ['59,00', '264.960'], '249,620')
('SU002579', ['6,00', '13.488'], '36,000')
('SU002617', ['19,00', '42.712'], '114,000')
('SU001051', ['39,00', '325.059'], '303,531')
('SU000227', ['55,00', '489.879'], '459,519')
('SU000251', ['5,00', '79.585'], '77,210')
('SU001578', ['35,00', '556.585'], '539,960')
('SU000102', ['98,00', '1.575.155'], '1_528,605')
('SU000126', ['55,00', '860.603'], '834,203')
('SU002287', ['8,00', '66.225'], '61,809')
('SU002074', ['96,00', '783.172'], '730,180')
('SU003083', ['33,00', '59.730'], '198,000')
('SU003080', ['8,00', '14.480'], '48,000')
('SU003060', ['18,00', '26.280'], '180,000')
('SU002094', ['153,00', '861.191'], '806,111')
('SU002182', ['39,00', '217.940'], '203,900')
('SU002010', ['191,00', '1.073.180'], '1_004,420')
('SU002035', ['104,00', '584.030'], '546,590')
('SU002035', ['17,00', '96.050'], '90,440')
('SU002150', ['64,00', '359.170'], '336,130')
('SU002158', ['107,00', '603.477'], '564,957')
('SU002151', ['114,00', '642.988'], '601,948')
('SU002218', ['6,00', '52.823'], '49,511')

