ООО ЛП Тс265599-23 22.12.2023 Астапкин 1642кг.pdf Аракельян +
('SU002828', ['3,00', '34.132'], '32,692')
('SU002814', ['2,00', '5.800'], '12,000')
('SU002829', ['8,00', '91.143'], '87,303')
('SU002815', ['10,00', '47.400'], '100,000')
('SU000722', ['1,00', '12.027'], '11,547')
('SU001485', ['4,00', '16.960'], '40,000')
('SU002660', ['3,00', '6.744'], '18,000')
('SU002848', ['3,00', '6.708'], '18,000')
('SU002795', ['3,00', '25.602'], '23,982')
('SU002617', ['3,00', '6.744'], '18,000')
('SU001777', ['9,00', '100.656'], '96,336')
('SU001800', ['5,00', '26.200'], '50,000')
('SU001820', ['3,00', '13.517'], '12,827')
('SU001822', ['3,00', '13.531'], '12,751')
('SU002579', ['4,00', '8.992'], '24,000')
('SU001340', ['12,00', '104.840'], '98,144')
('SU003167', ['6,00', '14.196'], '36,000')
('SU003168', ['6,00', '14.160'], '36,000')
('SU001341', ['6,00', '23.220'], '36,000')
('SU001051', ['5,00', '41.336'], '38,576')
('SU000227', ['6,00', '50.834'], '47,522')
('SU001793', ['5,00', '55.870'], '53,520')
('SU001835', ['6,00', '51.650'], '48,266')
('SU002173', ['1,00', '2.540'], '6,000')
('SU000251', ['20,00', '323.350'], '313,850')
('SU001578', ['3,00', '48.185'], '46,760')
('SU000102', ['8,00', '127.120'], '123,320')
('SU001989', ['2,00', '10.500'], '20,000')
('SU000126', ['15,00', '235.060'], '227,860')
('SU002538', ['2,00', '4.496'], '12,000')
('SU002602', ['2,00', '4.484'], '12,000')
('SU002606', ['2,00', '4.496'], '12,000')
('SU002545', ['2,00', '4.496'], '12,000')
('SU002604', ['2,00', '4.460'], '12,000')
('SU002011', ['5,00', '28.260'], '26,510')
('SU002010', ['5,00', '28.110'], '26,310')
('SU002035', ['4,00', '22.450'], '21,010')
('SU002150', ['2,00', '11.290'], '10,570')
('SU002158', ['2,00', '11.486'], '10,766')
('SU002151', ['3,00', '16.925'], '15,845')
('SU002805', ['5,00', '23.086'], '21,846')
('SU002809', ['8,00', '36.964'], '35,124')

ООО ЛП Тс265582-23 22.12.2023 Астапкин 1607кг.pdf Пушкарный +
('SU000126', ['106,00', '1.657.966'], '1_607,086')

ООО ЛП Тс265613-23 22.12.2023 Астапкин 8839кг.pdf Воронеж +
('SU002829', ['14,00', '159.504'], '152,784')
('SU002829', ['33,00', '376.658'], '360,818')
('SU001523', ['48,00', '437.502'], '411,006')
('SU000057', ['13,00', '123.049'], '115,379')
('SU001777', ['19,00', '211.938'], '202,818')
('SU001777', ['168,00', '1.888.227'], '1_807,587')
('SU001822', ['237,00', '1.068.464'], '1_006,844')
('SU002579', ['10,00', '22.480'], '60,000')
('SU001728', ['13,00', '116.235'], '109,059')
('SU003167', ['240,00', '567.840'], '1_440,000')
('SU001799', ['26,00', '313.070'], '302,150')
('SU001792', ['19,00', '215.570'], '206,640')
('SU000251', ['38,00', '622.480'], '604,430')
('SU000102', ['65,00', '1.042.980'], '1_012,105')
('SU000246', ['38,00', '327.857'], '306,881')
('SU002613', ['71,00', '322.199'], '304,489')
('SU002094', ['153,00', '860.670'], '805,590')
('SU002010', ['58,00', '325.740'], '304,860')
('SU002035', ['19,00', '107.010'], '100,170')
('SU002151', ['19,00', '107.227'], '100,387')
('SU002809', ['23,00', '106.181'], '100,891')

ООО ЛП Тс265617-23 22.12.2023 Астапкин 5864кг.pdf Сочи +
('SU002828', ['12,00', '136.432'], '130,672')
('SU002814', ['42,00', '121.800'], '252,000')
('SU002829', ['10,00', '113.925'], '109,125')
('SU002815', ['36,00', '170.640'], '360,000')
('SU002815', ['39,00', '184.860'], '390,000')
('SU000124', ['3,00', '35.665'], '34,225')
('SU000722', ['3,00', '36.073'], '34,633')
('SU002830', ['4,00', '46.385'], '44,785')
('SU000125', ['59,00', '188.800'], '354,000')
('SU001485', ['80,00', '339.200'], '800,000')
('SU002312', ['40,00', '169.600'], '400,000')
('SU002816', ['47,00', '222.780'], '470,000')
('SU002816', ['8,00', '37.920'], '80,000')
('SU002734', ['60,00', '284.400'], '600,000')
('SU003037', ['38,00', '95.000'], '304,000')
('SU001523', ['6,00', '54.499'], '51,187')
('SU001527', ['8,00', '26.464'], '48,000')
('SU001718', ['84,00', '248.640'], '504,000')
('SU001354', ['17,00', '55.624'], '102,000')
('SU001720', ['84,00', '248.640'], '504,000')
('SU002660', ['25,00', '56.200'], '150,000')
('SU002725', ['6,00', '54.519'], '51,207')
('SU002801', ['50,00', '133.000'], '300,000')
('SU002799', ['50,00', '132.700'], '300,000')
('SU002618', ['34,00', '90.440'], '204,000')
('SU002621', ['50,00', '133.000'], '300,000')
('SU002686', ['17,00', '45.016'], '102,000')
('SU002758', ['12,00', '31.920'], '72,000')
('SU002759', ['12,00', '31.920'], '72,000')
('SU002617', ['24,00', '53.952'], '144,000')
('SU001800', ['5,00', '26.200'], '50,000')
('SU001820', ['3,00', '13.341'], '12,561')
('SU001822', ['12,00', '53.732'], '50,612')
('SU002579', ['67,00', '150.616'], '402,000')
('SU001340', ['32,00', '280.218'], '262,362')
('SU003167', ['59,00', '139.594'], '354,000')
('SU003168', ['22,00', '51.920'], '132,000')
('SU001341', ['59,00', '228.330'], '354,000')
('SU000227', ['4,00', '33.896'], '31,688')
('SU001920', ['6,00', '18.976'], '17,488')
('SU001921', ['5,00', '15.074'], '13,914')
('SU001869', ['14,00', '39.340'], '210,000')
('SU002841', ['5,00', '11.150'], '100,000')
('SU002368', ['10,00', '22.300'], '200,000')
('SU002252', ['12,00', '24.576'], '72,000')
('SU001835', ['6,00', '51.808'], '48,424')
('SU002173', ['7,00', '17.780'], '42,000')
('SU002092', ['10,00', '28.100'], '150,000')
('SU001578', ['14,00', '225.880'], '219,230')
('SU000102', ['7,00', '111.090'], '107,765')
('SU001989', ['35,00', '183.750'], '350,000')
('SU000256', ['15,00', '78.750'], '150,000')
('SU000126', ['14,00', '220.750'], '214,030')
('SU002027', ['14,00', '59.360'], '140,000')
('SU002462', ['5,00', '21.250'], '50,000')
('SU002074', ['5,00', '43.495'], '40,735')
('SU002205', ['17,00', '45.424'], '102,000')
('SU002477', ['5,00', '14.500'], '30,000')
('SU002476', ['25,00', '72.500'], '150,000')
('SU003035', ['22,00', '42.680'], '132,000')
('SU002538', ['50,00', '112.400'], '300,000')
('SU002602', ['50,00', '112.100'], '300,000')
('SU002606', ['50,00', '112.400'], '300,000')
('SU003281', ['5,00', '7.300'], '60,000')
('SU002918', ['5,00', '19.200'], '30,000')

