ООО НВ Тс008985-24 15.01.2024 Некрасов 16727кг.pdf
('SU002828', ['7,00', '78.688'], '75,328')
('SU002829', ['16,00', '180.835'], '173,475')
('SU000722', ['4,00', '47.950'], '46,030')
('SU003111', ['1,00', '11.705'], '11,245')
('SU002928', ['3,00', '35.718'], '34,278')
('SU001485', ['5,00', '21.200'], '50,000')
('SU002833', ['2,00', '22.923'], '21,963')
('SU001523', ['16,00', '144.126'], '135,294')
('SU001718', ['42,00', '124.320'], '252,000')
('SU001721', ['29,00', '264.020'], '248,012')
('SU001720', ['57,00', '168.720'], '342,000')
('SU002847', ['2,00', '9.125'], '8,629')
('SU002660', ['20,00', '44.960'], '120,000')
('SU002941', ['9,00', '46.337'], '43,907')
('SU002943', ['7,00', '35.946'], '34,056')
('SU002725', ['27,00', '242.926'], '228,022')
('SU002801', ['53,00', '140.980'], '318,000')
('SU002799', ['66,00', '175.164'], '396,000')
('SU002842', ['50,00', '133.000'], '300,000')
('SU002618', ['66,00', '175.560'], '396,000')
('SU002621', ['4,00', '10.640'], '24,000')
('SU002686', ['12,00', '31.776'], '72,000')
('SU002844', ['17,00', '45.220'], '102,000')
('SU002758', ['1,00', '2.660'], '6,000')
('SU002759', ['5,00', '13.300'], '30,000')
('SU002617', ['4,00', '8.992'], '24,000')
('SU001820', ['3,00', '13.362'], '12,582')
('SU003168', ['3,00', '7.080'], '18,000')
('SU000227', ['34,00', '280.439'], '261,671')
('SU001921', ['6,00', '19.089'], '17,697')
('SU002252', ['5,00', '10.240'], '30,000')
('SU000251', ['206,00', '3.308.200'], '3_210,350')
('SU001578', ['216,00', '3.463.120'], '3_360,520')
('SU000102', ['66,00', '1.046.330'], '1_014,980')
('SU001989', ['2,00', '10.500'], '20,000')
('SU000126', ['204,00', '3.148.040'], '3_068,000')
('SU000246', ['1,00', '8.437'], '7,885')
('SU002287', ['3,00', '27.510'], '25,854')
('SU002361', ['1,00', '2.900'], '8,000')
('SU002074', ['58,00', '507.331'], '475,315')
('SU002614', ['6,00', '27.543'], '26,055')
('SU002613', ['3,00', '13.585'], '12,841')
('SU003083', ['1,00', '1.810'], '6,000')
('SU002538', ['1,00', '2.248'], '6,000')
('SU002612', ['2,00', '8.965'], '8,469')
('SU002094', ['155,00', '873.150'], '817,350')
('SU002182', ['19,00', '107.560'], '100,720')
('SU002010', ['96,00', '538.090'], '503,530')
('SU002035', ['110,00', '619.570'], '579,970')
('SU002150', ['39,00', '219.830'], '205,790')
('SU002158', ['58,00', '327.009'], '306,129')
('SU002151', ['96,00', '539.170'], '504,610')
('SU002655', ['15,00', '128.475'], '120,195')

ООО НВ Тс009003-24 15.01.2024 Некрасов 1248кг.pdf
('SU000152', ['16,00', '44.480'], '96,000')
('SU002814', ['15,00', '43.500'], '90,000')
('SU002815', ['4,00', '18.840'], '40,000')
('SU002831', ['10,00', '42.400'], '100,000')
('SU002986', ['6,00', '23.640'], '60,000')
('SU002734', ['12,00', '56.880'], '120,000')
('SU002313', ['20,00', '54.400'], '120,000')
('SU002735', ['17,00', '44.200'], '102,000')
('SU000665', ['9,00', '26.532'], '72,000')
('SU001527', ['9,00', '29.772'], '54,000')
('SU002658', ['26,00', '78.156'], '156,000')
('SU002834', ['9,00', '24.372'], '54,000')
('SU002757', ['15,00', '34.500'], '90,000')
('SU002618', ['42,00', '111.720'], '252,000')
('SU002621', ['42,00', '111.720'], '252,000')
('SU003073', ['28,00', '57.344'], '168,000')
('SU002758', ['5,00', '13.300'], '30,000')
('SU002759', ['13,00', '34.580'], '78,000')
('SU001800', ['8,00', '41.920'], '80,000')
('SU002579', ['8,00', '17.984'], '48,000')
('SU003167', ['5,00', '11.830'], '30,000')
('SU001762', ['8,00', '23.680'], '48,000')
('SU001794', ['5,00', '26.200'], '50,000')
('SU002252', ['6,00', '12.288'], '36,000')
('SU002173', ['7,00', '17.780'], '42,000')
('SU002027', ['9,00', '38.160'], '90,000')
('SU002462', ['4,00', '16.840'], '40,000')
('SU002602', ['15,00', '33.630'], '90,000')
('SU002603', ['15,00', '33.720'], '90,000')
('SU002606', ['15,00', '33.720'], '90,000')
('SU002557', ['8,00', '17.968'], '48,000')
('SU002285', ['17,00', '44.982'], '68,000')
('SU002419', ['14,00', '34.888'], '56,000')
('SU002020', ['7,00', '18.200'], '42,000')
('SU002643', ['12,00', '46.080'], '72,000')
('SU002218', ['5,00', '39.519'], '36,759')

