ООО ЛП Тс018562-24 29.01.2024 Бугаец 17783кг.pdf
('SU002828', ['7,00', '78.710'], '75,350')
('SU002814', ['37,00', '107.300'], '222,000')
('SU002814', ['22,00', '63.800'], '132,000')
('SU002829', ['38,00', '436.955'], '418,905')
('SU002815', ['70,00', '329.700'], '700,000')
('SU000124', ['3,00', '34.819'], '33,379')
('SU000722', ['18,00', '215.290'], '206,650')
('SU002830', ['22,00', '246.360'], '235,800')
('SU002928', ['5,00', '61.074'], '58,674')
('SU000125', ['9,00', '28.800'], '54,000')
('SU001485', ['35,00', '148.400'], '350,000')
('SU002816', ['80,00', '379.200'], '800,000')
('SU002983', ['25,00', '85.000'], '200,000')
('SU002734', ['110,00', '521.400'], '1_100,000')
('SU002985', ['12,00', '36.672'], '96,000')
('SU001523', ['18,00', '163.381'], '153,445')
('SU001351', ['7,00', '57.801'], '54,021')
('SU002984', ['19,00', '55.024'], '152,000')
('SU001718', ['134,00', '396.640'], '804,000')
('SU001354', ['10,00', '32.720'], '60,000')
('SU002835', ['9,00', '76.906'], '71,938')
('SU002367', ['4,00', '9.152'], '24,000')
('SU001721', ['37,00', '357.480'], '337,056')
('SU001720', ['11,00', '32.560'], '66,000')
('SU001720', ['156,00', '461.760'], '936,000')
('SU002756', ['12,00', '54.907'], '52,147')
('SU002876', ['5,00', '22.983'], '21,743')
('SU002847', ['22,00', '100.448'], '95,388')
('SU002660', ['50,00', '112.400'], '300,000')
('SU002877', ['50,00', '112.400'], '300,000')
('SU002848', ['67,00', '149.812'], '402,000')
('SU002824', ['3,00', '33.799'], '32,359')
('SU002941', ['24,00', '123.029'], '116,549')
('SU002943', ['24,00', '122.708'], '116,228')
('SU002945', ['38,00', '195.673'], '185,413')
('SU002947', ['29,00', '145.806'], '137,976')
('SU002725', ['34,00', '308.734'], '289,966')
('SU002801', ['134,00', '356.440'], '804,000')
('SU002799', ['184,00', '488.336'], '1_104,000')
('SU002842', ['134,00', '356.440'], '804,000')
('SU002618', ['167,00', '444.220'], '1_002,000')
('SU002686', ['34,00', '90.032'], '204,000')
('SU002844', ['84,00', '223.440'], '504,000')
('SU002758', ['9,00', '23.940'], '54,000')
('SU002759', ['10,00', '26.600'], '60,000')
('SU002617', ['84,00', '188.832'], '504,000')
('SU001820', ['3,00', '13.384'], '12,622')
('SU002579', ['2,00', '4.496'], '12,000')
('SU003167', ['334,00', '790.244'], '2_004,000')
('SU003168', ['134,00', '316.240'], '804,000')
('SU001051', ['5,00', '41.551'], '38,791')
('SU000227', ['33,00', '280.621'], '262,405')
('SU001430', ['5,00', '42.498'], '39,738')
('SU001869', ['67,00', '188.270'], '1_005,000')
('SU002841', ['25,00', '55.750'], '500,000')
('SU002368', ['25,00', '55.750'], '500,000')
('SU002252', ['10,00', '20.480'], '60,000')
('SU002173', ['12,00', '30.480'], '72,000')
('SU002092', ['7,00', '19.670'], '105,000')
('SU000251', ['122,00', '1.964.690'], '1_906,740')
('SU001578', ['65,00', '1.040.835'], '1_009,960')
('SU000102', ['65,00', '1.049.315'], '1_018,440')
('SU001989', ['15,00', '78.670'], '150,000')
('SU000256', ['3,00', '15.630'], '30,000')
('SU000126', ['115,00', '1.775.163'], '1_719,963')
('SU002027', ['3,00', '12.720'], '30,000')
('SU000246', ['7,00', '61.828'], '57,964')
('SU002287', ['7,00', '54.602'], '50,738')
('SU002073', ['7,00', '87.565'], '84,205')
('SU002074', ['3,00', '26.548'], '24,892')
('SU002476', ['12,00', '34.800'], '72,000')
('SU002614', ['20,00', '91.106'], '86,146')
('SU002613', ['17,00', '76.269'], '71,849')
('SU003035', ['134,00', '259.960'], '804,000')
('SU002538', ['50,00', '112.400'], '300,000')
('SU002602', ['27,00', '60.534'], '162,000')
('SU002606', ['50,00', '112.400'], '300,000')
('SU003280', ['5,00', '6.700'], '100,000')
('SU003277', ['10,00', '13.400'], '200,000')
('SU003278', ['10,00', '13.400'], '200,000')
('SU002612', ['20,00', '91.520'], '86,080')
('SU002604', ['9,00', '20.232'], '54,000')
('SU002011', ['18,00', '101.940'], '95,640')
('SU002094', ['44,00', '247.130'], '231,730')
('SU002182', ['6,00', '34.100'], '32,000')
('SU002010', ['29,00', '164.060'], '153,910')
('SU002632', ['12,00', '46.080'], '72,000')
('SU002631', ['12,00', '46.080'], '72,000')
('SU002035', ['25,00', '140.770'], '132,020')
('SU002150', ['16,00', '90.410'], '84,810')
('SU002158', ['19,00', '106.899'], '99,945')
('SU002151', ['34,00', '191.693'], '179,453')
('SU002916', ['2,00', '7.680'], '12,000')
('SU002919', ['4,00', '15.240'], '24,000')
('SU002918', ['4,00', '15.240'], '24,000')
('SU002808', ['3,00', '37.240'], '36,160')
('SU002655', ['75,00', '645.223'], '603,823')

