ООО КСК ТРЕЙД Тс022033-24 03.02.2024 Матлаш 17084кг.pdf
('SU002828', ['5,00', '56.440'], '54,390')+
('SU002814', ['50,00', '145.000'], '300,000')+
('SU002829', ['4,00', '44.540'], '42,700')+
('SU002829', ['1,00', '11.385'], '10,985')+
('SU002829', ['9,00', '104.505'], '100,230')+
('SU002815', ['100,00', '471.000'], '1_000,000')+
('SU000722', ['4,00', '45.783'], '43,863')+
('SU000722', ['10,00', '119.650'], '115,550')+
('SU002830', ['38,00', '221.549'], '207,869')+
('SU002816', ['40,00', '189.600'], '400,000')
('SU002983', ['32,00', '108.800'], '256,000')
('SU002734', ['90,00', '426.600'], '900,000')
('SU001523', ['6,00', '53.959'], '50,647')
('SU002984', ['19,00', '55.024'], '152,000')
('SU001718', ['200,00', '592.000'], '1_200,000')
('SU002835', ['8,00', '60.572'], '56,768')
('SU002835', ['2,00', '16.789'], '15,709')
('SU001721', ['21,00', '171.198'], '159,606')
('SU001721', ['16,00', '149.548'], '140,716')
('SU001721', ['1,00', '8.849'], '8,297')
('SU001720', ['84,00', '248.640'], '504,000')
('SU002756', ['20,00', '91.313'], '86,725')
('SU002847', ['36,00', '164.108'], '155,396')
('SU002660', ['42,00', '94.416'], '252,000')
('SU002877', ['50,00', '112.400'], '300,000')
('SU002848', ['67,00', '149.812'], '402,000')
('SU002941', ['32,00', '163.479'], '154,839')
('SU002943', ['18,00', '90.371'], '85,511')
('SU002945', ['43,00', '219.589'], '207,979')
('SU002947', ['28,00', '142.992'], '135,432')
('SU002725', ['37,00', '332.420'], '311,996')
('SU002801', ['134,00', '356.440'], '804,000')
('SU002799', ['167,00', '443.218'], '1_002,000')
('SU002842', ['150,00', '399.000'], '900,000')
('SU002618', ['128,00', '340.480'], '768,000')
('SU002618', ['156,00', '414.960'], '936,000')
('SU002686', ['50,00', '132.400'], '300,000')
('SU002844', ['134,00', '356.440'], '804,000')
('SU002758', ['14,00', '37.240'], '84,000')
('SU002759', ['14,00', '37.240'], '84,000')
('SU002617', ['134,00', '301.232'], '804,000')
('SU003167', ['334,00', '790.244'], '2_004,000')
('SU003168', ['167,00', '394.120'], '1_002,000')
('SU000227', ['34,00', '280.167'], '261,399')
('SU001793', ['7,00', '77.155'], '73,830')
('SU000251', ['189,00', '3.015.035'], '2_925,260')
('SU001578', ['59,00', '937.125'], '909,100')
('SU000102', ['85,00', '1.350.970'], '1_310,595')
('SU001989', ['20,00', '104.680'], '200,000')
('SU000126', ['100,00', '1.552.883'], '1_504,883')
('SU002073', ['6,00', '74.350'], '71,470')
('SU003035', ['100,00', '194.000'], '600,000')
('SU002538', ['42,00', '94.416'], '252,000')
('SU002612', ['22,00', '99.936'], '93,952')
('SU002011', ['17,00', '95.480'], '89,360')
('SU002094', ['39,00', '219.050'], '205,010')
('SU002010', ['34,00', '190.640'], '178,400')
('SU002035', ['23,00', '129.900'], '121,620')
('SU002150', ['14,00', '79.240'], '74,200')
('SU002158', ['18,00', '101.568'], '95,088')
('SU002151', ['34,00', '191.342'], '179,102')
('SU002655', ['57,00', '492.066'], '460,602')

ООО КСК ТРЕЙД Тс022058-24 03.02.2024 Матлаш 627кг.pdf
('SU000124', ['2,00', '23.638'], '22,678')+
('SU002928', ['4,00', '47.970'], '46,050')+
('SU000125', ['9,00', '28.800'], '54,000')
('SU001485', ['10,00', '42.400'], '100,000')
('SU002985', ['9,00', '27.504'], '72,000')
('SU001351', ['5,00', '41.054'], '38,354')
('SU001354', ['9,00', '29.448'], '54,000')
('SU002367', ['4,00', '9.152'], '24,000')
('SU003046', ['4,00', '7.360'], '24,000')
('SU002616', ['2,00', '8.480'], '20,000')
('SU001820', ['3,00', '13.348'], '12,568')
('SU002619', ['12,00', '26.880'], '72,000')
('SU002252', ['1,00', '2.048'], '6,000')
('SU002173', ['7,00', '17.780'], '42,000')
('SU000256', ['2,00', '10.420'], '20,000')
('SU002027', ['2,00', '8.480'], '20,000')
('SU002476', ['10,00', '29.000'], '60,000')
('SU002614', ['8,00', '36.385'], '34,449')
('SU002602', ['20,00', '44.840'], '120,000')
('SU002606', ['17,00', '38.216'], '102,000')
('SU003280', ['5,00', '6.700'], '100,000')
('SU003277', ['8,00', '10.720'], '160,000')
('SU003278', ['5,00', '6.700'], '100,000')
('SU003281', ['5,00', '7.300'], '60,000')
('SU002604', ['17,00', '37.910'], '102,000')
('SU003279', ['5,00', '7.300'], '60,000')
('SU002632', ['4,00', '15.360'], '24,000')
('SU002631', ['9,00', '34.560'], '54,000')
('SU002916', ['2,00', '7.680'], '12,000')
('SU002918', ['2,00', '7.620'], '12,000')
('SU002808', ['3,00', '37.415'], '35,975')

