ООО КСК ТРЕЙД Тс022924-24 04.02.2024 Бех 9032кг.pdf
('SU002828', ['4,00', '44.510'], '42,590')
('SU002814', ['14,00', '40.600'], '84,000')
('SU002815', ['20,00', '94.200'], '200,000')
('SU000124', ['1,00', '11.751'], '11,271')
('SU000722', ['15,00', '169.200'], '163,050')
('SU002830', ['14,00', '158.614'], '151,894')
('SU002928', ['3,00', '34.014'], '32,574')
('SU000125', ['4,00', '12.800'], '24,000')
('SU001485', ['5,00', '21.200'], '50,000')
('SU002983', ['9,00', '30.600'], '72,000')
('SU002734', ['30,00', '142.200'], '300,000')
('SU002985', ['7,00', '21.392'], '56,000')
('SU002984', ['13,00', '37.648'], '104,000')
('SU001718', ['117,00', '346.320'], '702,000')
('SU001354', ['5,00', '16.360'], '30,000')
('SU002835', ['6,00', '52.352'], '49,040')
('SU001721', ['17,00', '162.504'], '153,120')
('SU001720', ['84,00', '248.640'], '504,000')
('SU002756', ['5,00', '22.767'], '21,527')
('SU002876', ['3,00', '13.618'], '12,874')
('SU002847', ['17,00', '77.274'], '73,058')
('SU002660', ['17,00', '38.216'], '102,000')
('SU002877', ['34,00', '76.432'], '204,000')
('SU002848', ['34,00', '76.024'], '204,000')
('SU002941', ['7,00', '36.242'], '34,352')
('SU002943', ['7,00', '35.747'], '33,857')
('SU002945', ['19,00', '98.053'], '92,923')
('SU002947', ['9,00', '45.883'], '43,453')
('SU002801', ['84,00', '223.440'], '504,000')
('SU002799', ['84,00', '222.936'], '504,000')
('SU002842', ['84,00', '223.440'], '504,000')
('SU002618', ['11,00', '29.260'], '66,000')
('SU002618', ['156,00', '414.960'], '936,000')
('SU002686', ['25,00', '66.200'], '150,000')
('SU002844', ['50,00', '133.000'], '300,000')
('SU002758', ['10,00', '26.600'], '60,000')
('SU002759', ['5,00', '13.300'], '30,000')
('SU002617', ['67,00', '150.616'], '402,000')
('SU003167', ['84,00', '198.744'], '504,000')
('SU003168', ['34,00', '80.240'], '204,000')
('SU001051', ['4,00', '35.356'], '33,148')
('SU000227', ['26,00', '224.556'], '210,204')
('SU001793', ['4,00', '43.950'], '42,050')
('SU002252', ['9,00', '18.432'], '54,000')
('SU000251', ['97,00', '1.549.685'], '1_503,610')
('SU001578', ['46,00', '731.850'], '710,000')
('SU000102', ['46,00', '734.900'], '713,050')
('SU001989', ['10,00', '52.500'], '100,000')
('SU000126', ['68,00', '1.044.254'], '1_012,414')
('SU002073', ['3,00', '37.295'], '35,855')
('SU002476', ['5,00', '14.500'], '30,000')
('SU002614', ['5,00', '22.824'], '21,584')
('SU002538', ['17,00', '38.216'], '102,000')
('SU002602', ['12,00', '26.904'], '72,000')
('SU002606', ['25,00', '56.200'], '150,000')
('SU002612', ['5,00', '22.592'], '21,232')
('SU002604', ['9,00', '20.070'], '54,000')
('SU002011', ['5,00', '28.008'], '26,208')
('SU002094', ['19,00', '107.100'], '100,260')
('SU002010', ['10,00', '56.610'], '53,010')
('SU002632', ['4,00', '15.360'], '24,000')
('SU002631', ['5,00', '19.200'], '30,000')
('SU002035', ['11,00', '61.770'], '57,890')
('SU002150', ['5,00', '28.090'], '26,290')
('SU002158', ['7,00', '39.422'], '36,902')
('SU002151', ['11,00', '61.677'], '57,717')
('SU002918', ['2,00', '7.620'], '12,000')
('SU002808', ['2,00', '24.975'], '24,155')
('SU002655', ['56,00', '486.677'], '455,765')

ООО КСК ТРЕЙД Тс022649-24 04.02.2024 Бех 5442кг.pdf
('SU002763', ['100,00', '168.000'], '600,000')
('SU002345', ['25,00', '156.750'], '200,000')
('SU002492', ['5,00', '6.750'], '30,000')
('SU002915', ['20,00', '31.800'], '120,000')
('SU002708', ['40,00', '297.200'], '320,000')
('SU002707', ['30,00', '213.300'], '480,000')
('SU002838', ['10,00', '74.300'], '80,000')
('SU002624', ['10,00', '74.300'], '80,000')
('SU002595', ['80,00', '417.040'], '400,000')
('SU002564', ['5,00', '19.100'], '60,000')
('SU002563', ['5,00', '19.100'], '60,000')
('SU002568', ['10,00', '38.200'], '120,000')
('SU000419', ['55,00', '236.500'], '660,000')
('SU002559', ['25,00', '95.500'], '300,000')
('SU002573', ['5,00', '11.700'], '120,000')
('SU002626', ['25,00', '177.750'], '400,000')
('SU002622', ['20,00', '142.200'], '320,000')
('SU002623', ['90,00', '834.300'], '720,000')
('SU002562', ['70,00', '225.400'], '840,000')
('SU002561', ['75,00', '241.500'], '900,000')
('SU002565', ['55,00', '177.100'], '660,000')
('SU002566', ['15,00', '48.300'], '180,000')
('SU002567', ['20,00', '64.400'], '240,000')
('SU000197', ['36,00', '187.200'], '180,000')
('SU002516', ['50,00', '161.000'], '600,000')
('SU002514', ['70,00', '225.400'], '840,000')
('SU003001', ['20,00', '64.400'], '240,000')
('SU002920', ['55,00', '320.650'], '440,000')
('SU003077', ['10,00', '58.300'], '80,000')
('SU002066', ['25,00', '185.750'], '200,000')
('SU001776', ['20,00', '148.600'], '160,000')
('SU002268', ['34,00', '177.820'], '170,000')
('SU003010', ['40,00', '209.200'], '200,000')
('SU003018', ['20,00', '63.600'], '60,000')
('SU003015', ['32,00', '124.160'], '118,400')
('SU003017', ['9,00', '34.920'], '33,300')
('SU003019', ['24,00', '93.120'], '88,800')
('SU003013', ['15,00', '85.950'], '82,500')

