ООО КСК ТРЕЙД Тс028024-24 13.02.2024 Закараев 10415кг.pdf
('SU002828', ['5,00', '56.219'], '53,819')
('SU002814', ['42,00', '121.800'], '252,000')
('SU002829', ['24,00', '276.645'], '265,245')
('SU002815', ['40,00', '189.600'], '400,000')
('SU000124', ['1,00', '11.849'], '11,369')
('SU002928', ['3,00', '35.515'], '34,075')
('SU000125', ['5,00', '16.000'], '30,000')
('SU001485', ['20,00', '84.800'], '200,000')
('SU002816', ['40,00', '189.600'], '400,000')
('SU002734', ['70,00', '331.800'], '700,000')
('SU002985', ['7,00', '21.392'], '56,000')
('SU001523', ['9,00', '79.265'], '74,297')
('SU001523', ['4,00', '36.775'], '34,567')
('SU001351', ['5,00', '41.059'], '38,359')
('SU002984', ['15,00', '43.440'], '120,000')
('SU001718', ['50,00', '148.000'], '300,000')
('SU001354', ['5,00', '16.360'], '30,000')
('SU002835', ['6,00', '46.757'], '43,751')
('SU001721', ['37,00', '327.942'], '307,518')
('SU001720', ['67,00', '198.320'], '402,000')
('SU002756', ['12,00', '54.750'], '51,774')
('SU002876', ['5,00', '22.697'], '21,457')
('SU002847', ['20,00', '91.200'], '86,240')
('SU002660', ['25,00', '56.200'], '150,000')
('SU002877', ['34,00', '76.432'], '204,000')
('SU002848', ['50,00', '111.800'], '300,000')
('SU002824', ['1,00', '11.221'], '10,741')
('SU002941', ['17,00', '88.215'], '83,625')
('SU002943', ['15,00', '77.094'], '73,044')
('SU002945', ['29,00', '147.117'], '139,287')
('SU002947', ['22,00', '111.354'], '105,414')
('SU002725', ['1,00', '8.393'], '7,853')
('SU002725', ['20,00', '184.143'], '173,103')
('SU002801', ['84,00', '223.440'], '504,000')
('SU002799', ['84,00', '222.936'], '504,000')
('SU002842', ['67,00', '178.220'], '402,000')
('SU002618', ['67,00', '178.220'], '402,000')
('SU002686', ['34,00', '90.032'], '204,000')
('SU002844', ['50,00', '133.000'], '300,000')
('SU002758', ['14,00', '37.240'], '84,000')
('SU002759', ['10,00', '26.600'], '60,000')
('SU002617', ['50,00', '112.400'], '300,000')
('SU002616', ['2,00', '8.480'], '20,000')
('SU003167', ['100,00', '236.000'], '600,000')
('SU003168', ['67,00', '158.120'], '402,000')
('SU002619', ['9,00', '20.160'], '54,000')
('SU001051', ['5,00', '44.207'], '41,447')
('SU000227', ['20,00', '174.758'], '163,718')
('SU001430', ['4,00', '32.952'], '30,744')
('SU002252', ['1,00', '2.048'], '6,000')
('SU000251', ['59,00', '942.325'], '914,300')
('SU001578', ['59,00', '938.935'], '910,910')
('SU000102', ['59,00', '941.255'], '913,230')
('SU001989', ['10,00', '52.100'], '100,000')
('SU000126', ['61,00', '942.771'], '914,211')
('SU002027', ['2,00', '8.480'], '20,000')
('SU000246', ['4,00', '34.973'], '33,053')
('SU002287', ['7,00', '60.687'], '56,823')
('SU002073', ['6,00', '74.790'], '71,910')
('SU002074', ['3,00', '24.074'], '22,418')
('SU002476', ['9,00', '26.100'], '54,000')
('SU002614', ['12,00', '54.061'], '51,085')
('SU002613', ['17,00', '77.384'], '72,964')
('SU003035', ['50,00', '97.000'], '300,000')
('SU002538', ['25,00', '56.200'], '150,000')
('SU002602', ['17,00', '38.114'], '102,000')
('SU002606', ['25,00', '56.200'], '150,000')
('SU002612', ['20,00', '89.721'], '84,281')
('SU002604', ['9,00', '20.232'], '54,000')
('SU002011', ['13,00', '72.548'], '67,868')
('SU002094', ['29,00', '163.732'], '153,292')
('SU002182', ['2,00', '11.310'], '10,590')
('SU002010', ['19,00', '107.214'], '100,374')
('SU002632', ['7,00', '26.880'], '42,000')
('SU002631', ['7,00', '26.880'], '42,000')
('SU002035', ['19,00', '106.760'], '99,920')
('SU002150', ['14,00', '78.890'], '73,850')
('SU002158', ['17,00', '95.465'], '89,345')
('SU002151', ['23,00', '129.520'], '121,240')
('SU002916', ['2,00', '7.680'], '12,000')
('SU002918', ['2,00', '7.620'], '12,000')
('SU002808', ['3,00', '37.310'], '35,960')
('SU002655', ['50,00', '434.003'], '406,403')

