ООО КСК ТРЕЙД Тс033098-24 19.02.2024 Момот 17813кг.pdf
('SU002828', ['8,00', '90.662'], '86,822')
('SU002814', ['59,00', '171.100'], '354,000')
('SU002829', ['37,00', '434.185'], '416,610')
('SU002815', ['7,00', '33.180'], '70,000')
('SU002815', ['93,00', '440.820'], '930,000')
('SU000124', ['3,00', '35.998'], '34,558')
('SU000722', ['5,00', '60.545'], '58,145')
('SU002830', ['14,00', '159.277'], '152,557')
('SU002928', ['5,00', '59.821'], '57,421')
('SU000125', ['9,00', '28.800'], '54,000')
('SU001485', ['30,00', '127.200'], '300,000')
('SU002816', ['23,00', '109.020'], '230,000')
('SU002816', ['87,00', '412.380'], '870,000')
('SU002734', ['100,00', '474.000'], '1_000,000')
('SU002985', ['8,00', '24.448'], '64,000')
('SU001523', ['7,00', '62.180'], '58,316')
('SU001351', ['7,00', '58.423'], '54,643')
('SU002984', ['9,00', '26.064'], '72,000')
('SU001718', ['100,00', '296.000'], '600,000')
('SU001354', ['7,00', '22.904'], '42,000')
('SU002835', ['7,00', '59.666'], '55,802')
('SU002367', ['5,00', '11.440'], '30,000')
('SU001721', ['31,00', '271.383'], '254,271')
('SU001720', ['150,00', '444.000'], '900,000')
('SU002756', ['17,00', '77.304'], '73,136')
('SU002876', ['22,00', '99.417'], '94,225')
('SU002847', ['29,00', '131.382'], '124,538')
('SU002660', ['67,00', '150.616'], '402,000')
('SU002877', ['50,00', '112.400'], '300,000')
('SU002848', ['67,00', '149.812'], '402,000')
('SU003046', ['4,00', '7.360'], '24,000')
('SU002824', ['3,00', '33.712'], '32,272')
('SU002941', ['26,00', '133.784'], '126,764')
('SU002943', ['14,00', '71.698'], '67,918')
('SU002945', ['42,00', '217.084'], '205,744')
('SU002947', ['26,00', '131.962'], '124,942')
('SU002725', ['23,00', '212.564'], '199,868')
('SU002801', ['117,00', '311.220'], '702,000')
('SU002799', ['134,00', '355.636'], '804,000')
('SU002842', ['134,00', '356.440'], '804,000')
('SU002618', ['200,00', '532.000'], '1_200,000')
('SU002686', ['34,00', '90.032'], '204,000')
('SU002844', ['84,00', '223.440'], '504,000')
('SU002758', ['14,00', '37.240'], '84,000')
('SU002759', ['14,00', '37.240'], '84,000')
('SU002617', ['67,00', '150.616'], '402,000')
('SU001820', ['4,00', '17.627'], '16,587')
('SU002579', ['2,00', '4.496'], '12,000')
('SU003167', ['417,00', '984.120'], '2_502,000')
('SU003168', ['167,00', '394.120'], '1_002,000')
('SU002619', ['42,00', '94.080'], '252,000')
('SU001051', ['4,00', '33.340'], '31,132')
('SU000227', ['26,00', '221.078'], '206,726')
('SU001921', ['8,00', '25.613'], '23,757')
('SU001869', ['34,00', '95.540'], '510,000')
('SU002841', ['25,00', '55.750'], '500,000')
('SU002368', ['25,00', '55.750'], '500,000')
('SU001793', ['6,00', '67.260'], '64,440')
('SU002252', ['10,00', '20.480'], '60,000')
('SU002173', ['5,00', '12.700'], '30,000')
('SU002092', ['7,00', '19.670'], '105,000')
('SU000251', ['162,00', '2.540.245'], '2_463,295')
('SU001578', ['85,00', '1.346.470'], '1_306,095')
('SU000102', ['75,00', '1.192.420'], '1_156,795')
('SU001989', ['20,00', '104.200'], '200,000')
('SU000256', ['4,00', '20.840'], '40,000')
('SU000126', ['87,00', '1.351.980'], '1_310,700')
('SU002027', ['3,00', '12.720'], '30,000')
('SU000246', ['7,00', '60.335'], '56,975')
('SU002073', ['5,00', '62.716'], '60,316')
('SU002074', ['4,00', '32.111'], '29,903')
('SU002476', ['19,00', '55.100'], '114,000')
('SU002614', ['10,00', '45.112'], '42,752')
('SU002613', ['8,00', '35.666'], '33,658')
('SU003035', ['84,00', '162.960'], '504,000')
('SU002538', ['42,00', '94.416'], '252,000')
('SU002602', ['17,00', '38.114'], '102,000')
('SU002606', ['25,00', '56.200'], '150,000')
('SU003277', ['10,00', '13.400'], '200,000')
('SU003281', ['9,00', '13.140'], '108,000')
('SU002612', ['22,00', '98.737'], '92,753')
('SU002604', ['9,00', '20.232'], '54,000')
('SU003279', ['9,00', '13.140'], '108,000')
('SU003314', ['15,00', '47.700'], '300,000')
('SU002011', ['20,00', '112.250'], '105,050')
('SU002094', ['39,00', '218.120'], '204,080')
('SU002182', ['6,00', '33.900'], '31,740')
('SU002010', ['19,00', '106.920'], '100,080')
('SU002632', ['20,00', '76.800'], '120,000')
('SU002631', ['20,00', '76.800'], '120,000')
('SU002035', ['19,00', '107.150'], '100,310')
('SU002150', ['19,00', '107.020'], '100,180')
('SU002158', ['20,00', '112.402'], '105,202')
('SU002151', ['29,00', '163.894'], '153,454')
('SU002916', ['5,00', '19.200'], '30,000')
('SU002918', ['7,00', '26.670'], '42,000')
('SU002808', ['5,00', '62.720'], '60,420')
('SU002655', ['74,00', '642.461'], '601,613')

