ООО КСК ТРЕЙД Тс033170-24 21.02.2024 Ботобаев 9812кг.pdf
('SU002828', ['3,00', '33.870'], '32,490')
('SU002814', ['34,00', '98.600'], '204,000')
('SU002829', ['10,00', '111.220'], '106,420')
('SU002815', ['50,00', '235.500'], '500,000')
('SU000124', ['2,00', '23.419'], '22,459')
('SU000722', ['6,00', '68.299'], '65,419')
('SU002830', ['10,00', '114.080'], '109,480')
('SU002928', ['3,00', '34.218'], '32,778')
('SU000125', ['5,00', '16.000'], '30,000')
('SU001485', ['30,00', '127.200'], '300,000')
('SU002816', ['50,00', '235.500'], '500,000')
('SU002983', ['7,00', '23.800'], '56,000')
('SU002734', ['50,00', '237.000'], '500,000')
('SU002985', ['7,00', '21.392'], '56,000')
('SU001523', ['12,00', '109.846'], '103,222')
('SU001351', ['6,00', '49.330'], '46,090')
('SU002984', ['13,00', '37.648'], '104,000')
('SU001718', ['84,00', '248.640'], '504,000')
('SU001354', ['7,00', '22.904'], '42,000')
('SU002835', ['7,00', '56.231'], '52,451')
('SU001721', ['31,00', '272.287'], '255,175')
('SU001720', ['167,00', '494.320'], '1_002,000')
('SU002756', ['10,00', '45.466'], '42,986')
('SU002876', ['17,00', '76.847'], '72,835')
('SU002847', ['12,00', '54.025'], '51,049')
('SU002660', ['17,00', '38.216'], '102,000')
('SU002877', ['17,00', '38.216'], '102,000')
('SU002848', ['25,00', '55.900'], '150,000')
('SU002941', ['12,00', '61.850'], '58,610')
('SU002943', ['12,00', '61.457'], '58,217')
('SU002945', ['17,00', '87.651'], '83,061')
('SU002947', ['12,00', '61.024'], '57,784')
('SU002725', ['12,00', '110.990'], '104,366')
('SU002801', ['84,00', '223.440'], '504,000')
('SU002799', ['100,00', '265.400'], '600,000')
('SU002842', ['50,00', '133.000'], '300,000')
('SU002618', ['67,00', '178.220'], '402,000')
('SU002686', ['20,00', '52.960'], '120,000')
('SU002844', ['34,00', '90.440'], '204,000')
('SU002758', ['7,00', '18.620'], '42,000')
('SU002759', ['7,00', '18.620'], '42,000')
('SU002617', ['50,00', '112.400'], '300,000')
('SU001820', ['3,00', '13.318'], '12,610')
('SU003167', ['167,00', '395.122'], '1_002,000')
('SU003168', ['50,00', '118.000'], '300,000')
('SU002619', ['17,00', '38.080'], '102,000')
('SU001051', ['4,00', '35.159'], '32,951')
('SU000227', ['20,00', '173.211'], '162,171')
('SU001869', ['34,00', '95.540'], '510,000')
('SU001793', ['5,00', '56.190'], '53,870')
('SU002252', ['9,00', '18.432'], '54,000')
('SU002173', ['5,00', '12.700'], '30,000')
('SU000251', ['34,00', '540.540'], '524,390')
('SU001578', ['59,00', '936.990'], '908,965')
('SU000102', ['66,00', '1.049.165'], '1_017,815')
('SU001989', ['15,00', '78.150'], '150,000')
('SU000126', ['48,00', '740.910'], '717,870')
('SU002027', ['2,00', '8.480'], '20,000')
('SU000246', ['4,00', '34.445'], '32,237')
('SU002073', ['5,00', '63.103'], '60,703')
('SU002476', ['12,00', '34.800'], '72,000')
('SU002614', ['10,00', '45.268'], '42,920')
('SU002613', ['8,00', '36.346'], '34,266')
('SU003035', ['34,00', '65.960'], '204,000')
('SU002538', ['25,00', '56.200'], '150,000')
('SU002602', ['17,00', '38.114'], '102,000')
('SU002606', ['17,00', '38.216'], '102,000')
('SU003277', ['10,00', '13.400'], '200,000')
('SU003281', ['9,00', '13.140'], '108,000')
('SU002612', ['20,00', '90.339'], '84,899')
('SU003279', ['9,00', '13.140'], '108,000')
('SU002011', ['16,00', '89.910'], '84,470')
('SU002094', ['30,00', '168.540'], '157,740')
('SU002010', ['30,00', '168.850'], '158,050')
('SU002632', ['9,00', '34.560'], '54,000')
('SU002631', ['10,00', '38.400'], '60,000')
('SU002035', ['19,00', '107.080'], '100,240')
('SU002150', ['11,00', '61.760'], '57,800')
('SU002158', ['11,00', '61.709'], '57,353')
('SU002151', ['19,00', '107.331'], '99,807')
('SU002655', ['32,00', '278.435'], '260,771')

