ООО ЛП Тс071677-24 09.04.2024 Ковалько 17687кг.pdf
('SU002828', ['7,00', '79.882'], '76,522')
('SU002814', ['25,00', '72.500'], '150,000')
('SU002829', ['19,00', '214.522'], '205,402')
('SU002815', ['80,00', '379.200'], '800,000')
('SU000124', ['2,00', '23.988'], '23,028')
('SU000722', ['15,00', '168.394'], '161,194')
('SU002830', ['23,00', '258.604'], '247,564')
('SU000125', ['7,00', '22.400'], '42,000')
('SU001485', ['40,00', '169.600'], '400,000')
('SU002816', ['88,00', '417.120'], '880,000')
('SU002816', ['12,00', '56.520'], '120,000')
('SU002983', ['14,00', '47.600'], '112,000')
('SU002734', ['100,00', '474.000'], '1_000,000')
('SU002985', ['13,00', '39.728'], '104,000')
('SU001523', ['17,00', '159.144'], '149,760')
('SU001351', ['7,00', '56.665'], '52,885')
('SU002984', ['19,00', '55.024'], '152,000')
('SU001718', ['134,00', '396.640'], '804,000')
('SU001354', ['9,00', '29.448'], '54,000')
('SU002835', ['5,00', '43.431'], '40,731')
('SU002367', ['9,00', '20.592'], '54,000')
('SU001721', ['35,00', '307.856'], '288,536')
('SU001721', ['13,00', '121.334'], '114,158')
('SU001720', ['184,00', '544.640'], '1_104,000')
('SU002756', ['15,00', '68.543'], '64,913')
('SU002876', ['5,00', '22.713'], '21,713')
('SU002847', ['29,00', '132.552'], '125,366')
('SU002660', ['50,00', '112.400'], '300,000')
('SU002877', ['59,00', '132.632'], '354,000')
('SU002848', ['75,00', '167.700'], '450,000')
('SU002824', ['2,00', '22.622'], '21,662')
('SU002941', ['21,00', '108.549'], '102,879')
('SU002943', ['12,00', '61.942'], '58,702')
('SU002945', ['34,00', '175.418'], '166,238')
('SU002947', ['29,00', '146.251'], '138,421')
('SU002725', ['21,00', '194.326'], '182,734')
('SU002801', ['117,00', '311.220'], '702,000')
('SU002799', ['134,00', '355.636'], '804,000')
('SU002842', ['134,00', '356.440'], '804,000')
('SU002618', ['200,00', '532.000'], '1_200,000')
('SU002686', ['42,00', '111.216'], '252,000')
('SU002844', ['84,00', '223.440'], '504,000')
('SU002758', ['12,00', '31.920'], '72,000')
('SU002759', ['14,00', '37.240'], '84,000')
('SU003265', ['6,00', '72.015'], '69,135')
('SU003266', ['20,00', '84.800'], '200,000')
('SU002617', ['75,00', '168.600'], '450,000')
('SU003271', ['6,00', '72.285'], '69,405')
('SU003272', ['18,00', '76.320'], '180,000')
('SU002616', ['2,00', '8.480'], '20,000')
('SU001820', ['3,00', '13.368'], '12,642')
('SU002699', ['5,00', '9.050'], '30,000')
('SU002619', ['14,00', '31.360'], '84,000')
('SU002723', ['17,00', '37.978'], '102,000')
('SU001051', ['3,00', '25.568'], '23,912')
('SU000227', ['45,00', '376.909'], '352,069')
('SU001430', ['5,00', '39.732'], '36,972')
('SU001921', ['11,00', '34.385'], '31,833')
('SU001869', ['20,00', '56.200'], '300,000')
('SU002252', ['12,00', '24.576'], '72,000')
('SU003167', ['417,00', '981.618'], '2_502,000')
('SU003168', ['167,00', '394.120'], '1_002,000')
('SU002173', ['12,00', '30.480'], '72,000')
('SU000251', ['168,00', '2.697.290'], '2_617,490')
('SU001578', ['53,00', '855.395'], '830,220')
('SU001578', ['19,00', '290.895'], '281,775')
('SU000102', ['58,00', '938.305'], '910,755')
('SU001989', ['18,00', '93.780'], '180,000')
('SU000256', ['2,00', '10.420'], '20,000')
('SU000126', ['87,00', '1.349.830'], '1_310,800')
('SU002027', ['2,00', '8.480'], '20,000')
('SU000246', ['3,00', '26.399'], '24,743')
('SU002287', ['6,00', '51.479'], '48,167')
('SU002073', ['5,00', '62.365'], '59,965')
('SU002074', ['4,00', '35.206'], '32,998')
('SU002476', ['7,00', '20.300'], '42,000')
('SU002614', ['17,00', '77.297'], '73,183')
('SU002613', ['20,00', '90.911'], '85,807')
('SU003035', ['84,00', '162.960'], '504,000')
('SU002538', ['34,00', '76.432'], '204,000')
('SU002602', ['17,00', '38.114'], '102,000')
('SU002606', ['34,00', '76.432'], '204,000')
('SU003277', ['5,00', '6.700'], '100,000')
('SU003278', ['5,00', '6.700'], '100,000')
('SU002612', ['24,00', '108.304'], '101,776')
('SU002604', ['7,00', '15.736'], '42,000')
('SU003280', ['5,00', '6.700'], '100,000')
('SU003279', ['5,00', '7.300'], '60,000')
('SU003314', ['3,00', '9.540'], '60,000')
('SU002011', ['18,00', '101.220'], '95,640')
('SU002094', ['34,00', '189.140'], '176,900')
('SU002010', ['13,00', '72.640'], '67,960')
('SU002632', ['14,00', '53.760'], '84,000')
('SU002631', ['17,00', '65.280'], '102,000')
('SU002035', ['26,00', '144.770'], '135,410')
('SU002150', ['17,00', '94.920'], '88,800')
('SU002158', ['11,00', '61.953'], '57,993')
('SU002151', ['24,00', '134.631'], '125,991')
('SU002916', ['7,00', '26.880'], '42,000')
('SU002919', ['4,00', '15.240'], '24,000')
('SU002918', ['10,00', '38.400'], '60,000')
('SU002808', ['2,00', '25.225'], '24,325')
('SU002655', ['74,00', '645.522'], '604,674')

