ООО ЛП Тс076755-24 15.04.2024 Коваленко 10575кг.pdf
('SU002828', ['7,00', '78.923'], '75,563')
('SU002814', ['12,00', '34.800'], '72,000')
('SU002829', ['18,00', '204.182'], '195,542')
('SU002815', ['41,00', '194.340'], '410,000')
('SU000124', ['2,00', '23.442'], '22,434')
('SU000722', ['5,00', '60.519'], '58,119')
('SU002830', ['8,00', '90.673'], '86,833')
('SU002928', ['4,00', '47.953'], '46,033')
('SU000125', ['6,00', '19.200'], '36,000')
('SU001485', ['25,00', '106.000'], '250,000')
('SU002816', ['37,00', '175.380'], '370,000')
('SU002983', ['11,00', '37.400'], '88,000')
('SU002734', ['22,00', '104.280'], '220,000')
('SU002985', ['2,00', '6.112'], '16,000')
('SU001523', ['20,00', '185.692'], '174,652')
('SU001351', ['8,00', '65.634'], '61,314')
('SU002984', ['7,00', '20.272'], '56,000')
('SU001718', ['26,00', '76.960'], '156,000')
('SU001354', ['1,00', '3.272'], '6,000')
('SU002835', ['7,00', '65.264'], '61,484')
('SU002367', ['18,00', '41.184'], '108,000')
('SU001721', ['20,00', '175.196'], '164,156')
('SU001721', ['7,00', '66.050'], '62,186')
('SU001720', ['26,00', '76.960'], '156,000')
('SU002660', ['21,00', '47.208'], '126,000')
('SU002877', ['28,00', '62.944'], '168,000')
('SU002848', ['28,00', '62.608'], '168,000')
('SU002941', ['40,00', '206.459'], '195,659')
('SU002943', ['26,00', '134.193'], '127,173')
('SU002945', ['33,00', '169.101'], '160,191')
('SU002947', ['27,00', '138.152'], '130,862')
('SU002725', ['9,00', '81.186'], '76,218')
('SU002801', ['42,00', '111.720'], '252,000')
('SU002799', ['46,00', '122.084'], '276,000')
('SU002842', ['55,00', '146.300'], '330,000')
('SU002618', ['50,00', '133.000'], '300,000')
('SU002686', ['20,00', '52.960'], '120,000')
('SU002844', ['55,00', '146.300'], '330,000')
('SU002758', ['16,00', '42.560'], '96,000')
('SU002759', ['15,00', '39.900'], '90,000')
('SU003265', ['3,00', '36.500'], '35,120')
('SU003266', ['4,00', '16.960'], '40,000')
('SU002617', ['49,00', '110.152'], '294,000')
('SU003271', ['4,00', '48.030'], '46,110')
('SU003272', ['3,00', '12.720'], '30,000')
('SU002616', ['6,00', '25.440'], '60,000')
('SU001820', ['14,00', '62.179'], '58,791')
('SU002699', ['19,00', '34.390'], '114,000')
('SU002619', ['30,00', '67.200'], '180,000')
('SU002723', ['32,00', '71.488'], '192,000')
('SU001051', ['3,00', '25.849'], '24,193')
('SU000227', ['25,00', '205.853'], '192,053')
('SU001430', ['2,00', '15.908'], '14,804')
('SU001869', ['4,00', '11.240'], '60,000')
('SU002252', ['1,00', '2.048'], '6,000')
('SU003167', ['250,00', '588.500'], '1_500,000')
('SU003168', ['134,00', '316.240'], '804,000')
('SU002173', ['7,00', '17.780'], '42,000')
('SU000251', ['80,00', '1.273.595'], '1_235,595')
('SU001578', ['58,00', '931.430'], '903,880')
('SU000102', ['49,00', '785.735'], '762,460')
('SU001989', ['3,00', '15.630'], '30,000')
('SU000256', ['1,00', '5.210'], '10,000')
('SU000126', ['81,00', '1.249.570'], '1_211,010')
('SU000246', ['8,00', '68.689'], '64,273')
('SU002287', ['5,00', '43.108'], '40,348')
('SU002073', ['2,00', '25.092'], '24,132')
('SU002614', ['11,00', '49.687'], '46,959')
('SU002613', ['8,00', '36.162'], '34,136')
('SU003035', ['53,00', '102.820'], '318,000')
('SU002538', ['9,00', '20.232'], '54,000')
('SU002602', ['10,00', '22.420'], '60,000')
('SU002606', ['10,00', '22.480'], '60,000')
('SU003281', ['3,00', '4.380'], '36,000')
('SU002612', ['7,00', '31.135'], '29,231')
('SU002604', ['2,00', '4.496'], '12,000')
('SU003279', ['3,00', '4.380'], '36,000')
('SU003314', ['1,00', '3.180'], '20,000')
('SU002011', ['6,00', '33.845'], '31,685')
('SU002094', ['15,00', '84.090'], '78,690')
('SU002010', ['12,00', '67.800'], '63,480')
('SU002632', ['11,00', '42.240'], '66,000')
('SU002631', ['10,00', '38.400'], '60,000')
('SU002035', ['11,00', '62.005'], '58,045')
('SU002150', ['3,00', '16.900'], '15,820')
('SU002158', ['3,00', '16.953'], '15,873')
('SU002151', ['7,00', '39.711'], '37,191')
('SU002916', ['3,00', '11.520'], '18,000')
('SU002919', ['3,00', '11.430'], '18,000')
('SU002918', ['4,00', '15.360'], '24,000')
('SU002808', ['3,00', '37.715'], '36,275')
('SU002655', ['81,00', '703.197'], '658,485')

ООО ЛП Тс076712-24 15.04.2024 Коваленко 7644кг.pdf
('SU002829', ['38,00', '430.917'], '412,707')
('SU000251', ['168,00', '2.696.740'], '2_616,940')
('SU001578', ['77,00', '1.235.445'], '1_198,870')
('SU001578', ['7,00', '107.693'], '104,333')
('SU000102', ['116,00', '1.856.960'], '1_801,860')
('SU000126', ['101,00', '1.556.990'], '1_509,520')

