ООО КСК ТРЕЙД Тс090295-24 04.05.2024 Галкин 17733кг.pdf
('SU002828', ['7,00', '78.527'], '75,167')
('SU002814', ['50,00', '145.000'], '300,000')
('SU002829', ['39,00', '437.680'], '418,960')
('SU002815', ['100,00', '471.000'], '1_000,000')
('SU000722', ['9,00', '107.380'], '103,240')
('SU002830', ['47,00', '325.658'], '307,538')
('SU000125', ['5,00', '16.000'], '30,000')
('SU001485', ['60,00', '254.400'], '600,000')
('SU002816', ['120,00', '565.200'], '1_200,000')
('SU002983', ['25,00', '85.000'], '200,000')
('SU002734', ['80,00', '379.200'], '800,000')
('SU002985', ['15,00', '45.840'], '120,000')
('SU001523', ['13,00', '113.586'], '106,410')
('SU002984', ['38,00', '110.048'], '304,000')
('SU001718', ['60,00', '177.600'], '360,000')
('SU001718', ['74,00', '219.040'], '444,000')
('SU001354', ['14,00', '45.808'], '84,000')
('SU002835', ['10,00', '83.374'], '77,974')
('SU002367', ['12,00', '27.456'], '72,000')
('SU001721', ['44,00', '376.582'], '352,294')
('SU001720', ['134,00', '396.640'], '804,000')
('SU002756', ['20,00', '91.964'], '87,178')
('SU002876', ['8,00', '36.337'], '34,401')
('SU002847', ['35,00', '160.284'], '151,886')
('SU002660', ['75,00', '168.600'], '450,000')
('SU002877', ['67,00', '150.616'], '402,000')
('SU002848', ['100,00', '223.600'], '600,000')
('SU002941', ['31,00', '159.787'], '151,417')
('SU002943', ['24,00', '122.809'], '116,329')
('SU002945', ['38,00', '196.369'], '186,109')
('SU002947', ['32,00', '164.331'], '155,691')
('SU002725', ['14,00', '129.570'], '121,842')
('SU002801', ['84,00', '223.440'], '504,000')
('SU002799', ['117,00', '310.518'], '702,000')
('SU002842', ['117,00', '311.220'], '702,000')
('SU002618', ['3,00', '7.980'], '18,000')
('SU002618', ['214,00', '569.240'], '1_284,000')
('SU002686', ['67,00', '177.416'], '402,000')
('SU002844', ['100,00', '266.000'], '600,000')
('SU002759', ['10,00', '26.600'], '60,000')
('SU002758', ['9,00', '23.940'], '54,000')
('SU003265', ['9,00', '108.040'], '104,080')
('SU003266', ['12,00', '50.880'], '120,000')
('SU002617', ['75,00', '168.600'], '450,000')
('SU003273', ['9,00', '107.590'], '103,450')
('SU003271', ['6,00', '71.815'], '69,115')
('SU002699', ['14,00', '25.340'], '84,000')
('SU002619', ['20,00', '44.800'], '120,000')
('SU002723', ['15,00', '33.510'], '90,000')
('SU001051', ['3,00', '25.189'], '23,533')
('SU000227', ['44,00', '374.750'], '350,462')
('SU001430', ['6,00', '51.489'], '48,177')
('SU001921', ['19,00', '58.816'], '54,408')
('SU001869', ['34,00', '95.540'], '510,000')
('SU002368', ['25,00', '55.750'], '500,000')
('SU002252', ['17,00', '34.816'], '102,000')
('SU003168', ['250,00', '590.000'], '1_500,000')
('SU002092', ['7,00', '19.670'], '105,000')
('SU000251', ['150,00', '2.383.540'], '2_312,290')
('SU001578', ['46,00', '734.510'], '712,660')
('SU000102', ['59,00', '939.935'], '911,910')
('SU000256', ['5,00', '26.050'], '50,000')
('SU000126', ['74,00', '1.141.710'], '1_106,930')
('SU002027', ['3,00', '12.720'], '30,000')
('SU002287', ['8,00', '68.992'], '64,576')
('SU002073', ['5,00', '62.630'], '60,230')
('SU002074', ['7,00', '60.923'], '57,059')
('SU002476', ['5,00', '14.500'], '30,000')
('SU002614', ['17,00', '77.163'], '73,151')
('SU002613', ['29,00', '131.993'], '124,975')
('SU003035', ['150,00', '291.000'], '900,000')
('SU002538', ['25,00', '56.200'], '150,000')
('SU002602', ['42,00', '94.164'], '252,000')
('SU002606', ['67,00', '150.616'], '402,000')
('SU003277', ['15,00', '20.100'], '300,000')
('SU003278', ['10,00', '13.400'], '200,000')
('SU002612', ['20,00', '89.630'], '84,190')
('SU002604', ['10,00', '22.480'], '60,000')
('SU003280', ['5,00', '6.700'], '100,000')
('SU003314', ['5,00', '15.900'], '100,000')
('SU002011', ['23,00', '129.620'], '121,340')
('SU002094', ['67,00', '378.058'], '354,238')
('SU002182', ['4,00', '22.810'], '21,410')
('SU002010', ['39,00', '219.050'], '205,400')
('SU002632', ['17,00', '65.280'], '102,000')
('SU002631', ['7,00', '26.880'], '42,000')
('SU002035', ['48,00', '270.100'], '253,300')
('SU002150', ['13,00', '72.980'], '68,300')
('SU002158', ['18,00', '101.871'], '95,391')
('SU002151', ['38,00', '214.811'], '201,131')
('SU002916', ['17,00', '65.280'], '102,000')
('SU002919', ['5,00', '19.260'], '30,000')
('SU002918', ['12,00', '45.720'], '72,000')
('SU002808', ['3,00', '37.380'], '36,000')
('SU002655', ['99,00', '860.723'], '806,075')

