ООО КСК ТРЕЙД Тс091819-24 07.05.2024 Ачкалов 17680кг.pdf
('SU002828кг', ['6,00', '67.493'], '64,613')
('SU002814шт', ['39,00', '113.100'], '234,000')
('SU002829кг', ['33,00', '388.850'], '373,175')
('SU002815шт', ['100,00', '474.000'], '1_000,000')
('SU000124кг', ['2,00', '23.505'], '22,545')
('SU000722кг', ['17,00', '203.201'], '195,041')
('SU002830кг', ['19,00', '214.824'], '205,704')
('SU002928кг', ['1,00', '11.253'], '10,773')
('SU002928кг', ['2,00', '23.925'], '22,965')
('SU000125шт', ['9,00', '28.800'], '54,000')
('SU001485шт', ['40,00', '169.600'], '400,000')
('SU002816шт', ['20,00', '94.800'], '200,000')
('SU002816шт', ['80,00', '376.800'], '800,000')
('SU002983шт', ['14,00', '47.600'], '112,000')
('SU002734шт', ['80,00', '379.200'], '800,000')
('SU002985шт', ['12,00', '36.672'], '96,000')
('SU001523кг', ['12,00', '108.948'], '102,324')
('SU001351кг', ['4,00', '33.369'], '31,209')
('SU002984шт', ['15,00', '43.440'], '120,000')
('SU001718шт', ['50,00', '148.000'], '300,000')
('SU001718шт', ['67,00', '198.320'], '402,000')
('SU001354шт', ['10,00', '32.720'], '60,000')
('SU002835кг', ['6,00', '47.841'], '44,601')
('SU002367шт', ['12,00', '27.456'], '72,000')
('SU001721кг', ['47,00', '435.228'], '409,284')
('SU001720шт', ['184,00', '544.640'], '1_104,000')
('SU002756кг', ['17,00', '78.103'], '74,091')
('SU002876кг', ['5,00', '22.528'], '21,348')
('SU002847кг', ['22,00', '100.329'], '95,005')
('SU002660шт', ['50,00', '112.400'], '300,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['75,00', '167.700'], '450,000')
('SU002941кг', ['24,00', '123.698'], '117,218')
('SU002943кг', ['17,00', '87.668'], '83,078')
('SU002945кг', ['42,00', '216.657'], '205,317')
('SU002947кг', ['26,00', '133.282'], '126,262')
('SU002725кг', ['21,00', '173.969'], '162,629')
('SU002801шт', ['117,00', '311.220'], '702,000')
('SU002799шт', ['117,00', '310.518'], '702,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['53,00', '140.980'], '318,000')
('SU002618шт', ['147,00', '391.020'], '882,000')
('SU002686шт', ['42,00', '111.216'], '252,000')
('SU002844шт', ['84,00', '223.440'], '504,000')
('SU002759шт', ['17,00', '45.220'], '102,000')
('SU002758шт', ['20,00', '53.200'], '120,000')
('SU003265кг', ['6,00', '71.845'], '68,965')
('SU003266шт', ['12,00', '50.880'], '120,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU003273кг', ['4,00', '47.955'], '46,115')
('SU003272шт', ['12,00', '50.880'], '120,000')
('SU002616шт', ['1,00', '4.240'], '10,000')
('SU002699шт', ['14,00', '25.340'], '84,000')
('SU002619шт', ['20,00', '44.800'], '120,000')
('SU002723шт', ['12,00', '26.808'], '72,000')
('SU001051кг', ['4,00', '35.664'], '33,456')
('SU000227кг', ['42,00', '356.207'], '333,023')
('SU001430кг', ['6,00', '51.158'], '47,846')
('SU001921кг', ['11,00', '34.071'], '31,519')
('SU001869шт', ['134,00', '376.540'], '2_010,000')
('SU002368шт', ['25,00', '55.750'], '500,000')
('SU002252шт', ['20,00', '40.960'], '120,000')
('SU003167шт', ['234,00', '550.836'], '1_404,000')
('SU003168шт', ['134,00', '316.240'], '804,000')
('SU002173шт', ['9,00', '22.860'], '54,000')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU000251кг', ['144,00', '2.294.425'], '2_226,025')
('SU001578кг', ['72,00', '1.148.270'], '1_114,070')
('SU000102кг', ['65,00', '1.048.575'], '1_017,700')
('SU000256шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['20,00', '308.445'], '299,445')
('SU000126кг', ['88,00', '1.361.264'], '1_319,024')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['3,00', '26.393'], '24,953')
('SU002287кг', ['6,00', '52.169'], '48,857')
('SU002073кг', ['7,00', '88.345'], '84,985')
('SU002074кг', ['3,00', '26.147'], '24,491')
('SU002476шт', ['9,00', '26.100'], '54,000')
('SU002614кг', ['17,00', '77.040'], '72,824')
('SU002613кг', ['17,00', '76.939'], '72,927')
('SU003035шт', ['117,00', '226.980'], '702,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['25,00', '56.050'], '150,000')
('SU002606шт', ['50,00', '112.400'], '300,000')
('SU003277шт', ['10,00', '13.400'], '200,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU002612кг', ['20,00', '90.810'], '85,370')
('SU002604шт', ['9,00', '20.232'], '54,000')
('SU003280шт', ['5,00', '6.700'], '100,000')
('SU003279шт', ['5,00', '7.300'], '60,000')
('SU002011кг', ['19,00', '107.110'], '100,270')
('SU002094кг', ['38,00', '214.360'], '201,060')
('SU002182кг', ['4,00', '22.730'], '21,330')
('SU002010кг', ['29,00', '163.520'], '153,370')
('SU002632шт', ['17,00', '65.280'], '102,000')
('SU002631шт', ['20,00', '76.800'], '120,000')
('SU002035кг', ['23,00', '129.375'], '121,095')
('SU002035кг', ['7,00', '39.410'], '36,890')
('SU002150кг', ['14,00', '78.990'], '74,090')
('SU002158кг', ['14,00', '78.856'], '73,816')
('SU002151кг', ['30,00', '169.120'], '158,320')
('SU002919шт', ['4,00', '15.384'], '24,000')
('SU002918шт', ['17,00', '65.022'], '102,000')
('SU002808кг', ['2,00', '25.120'], '24,160')
('SU002655кг', ['50,00', '436.221'], '408,621')

