ООО КСК ТРЕЙД Тс097315-24 14.05.2024 Дьяченков 17453кг.pdf
('SU002828кг', ['6,00', '67.812'], '64,932')
('SU002814шт', ['50,00', '145.000'], '300,000')
('SU002829кг', ['25,00', '286.195'], '274,195')
('SU002829кг', ['13,00', '150.060'], '143,885')
('SU000722кг', ['7,00', '78.131'], '74,771')
('SU000722кг', ['3,00', '36.400'], '34,960')
('SU002830кг', ['19,00', '214.200'], '205,365')
('SU002928кг', ['4,00', '47.534'], '45,614')
('SU000125шт', ['9,00', '28.800'], '54,000')
('SU001485шт', ['40,00', '169.600'], '400,000')
('SU002816шт', ['100,00', '474.000'], '1_000,000')
('SU002983шт', ['10,00', '34.000'], '80,000')
('SU002734шт', ['100,00', '474.000'], '1_000,000')
('SU002985шт', ['10,00', '30.560'], '80,000')
('SU001523кг', ['12,00', '112.264'], '105,640')
('SU001351кг', ['5,00', '45.065'], '42,365')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU001718шт', ['134,00', '396.640'], '804,000')
('SU001354шт', ['9,00', '29.448'], '54,000')
('SU002835кг', ['5,00', '29.008'], '27,208')
('SU002835кг', ['7,00', '63.147'], '59,367')
('SU002367шт', ['9,00', '20.592'], '54,000')
('SU001721кг', ['43,00', '377.778'], '354,042')
('SU001720шт', ['117,00', '346.320'], '702,000')
('SU002756кг', ['12,00', '54.781'], '51,949')
('SU002876кг', ['8,00', '36.271'], '34,383')
('SU002847кг', ['35,00', '160.838'], '152,578')
('SU002660шт', ['50,00', '112.400'], '300,000')
('SU002877шт', ['67,00', '150.616'], '402,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['29,00', '148.550'], '140,720')
('SU002943кг', ['22,00', '112.731'], '106,791')
('SU002945кг', ['52,00', '270.902'], '256,862')
('SU002947кг', ['29,00', '148.529'], '140,699')
('SU002725кг', ['19,00', '174.766'], '164,278')
('SU002801шт', ['117,00', '311.220'], '702,000')
('SU002799шт', ['117,00', '310.518'], '702,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['234,00', '622.440'], '1_404,000')
('SU002686шт', ['37,00', '97.976'], '222,000')
('SU002844шт', ['84,00', '223.440'], '504,000')
('SU002759шт', ['14,00', '37.240'], '84,000')
('SU002758шт', ['20,00', '53.200'], '120,000')
('SU003265кг', ['8,00', '95.895'], '92,215')
('SU003266шт', ['12,00', '50.880'], '120,000')
('SU002617шт', ['117,00', '263.016'], '702,000')
('SU003271кг', ['10,00', '120.165'], '115,565')
('SU003274шт', ['3,00', '12.720'], '30,000')
('SU003272шт', ['10,00', '42.400'], '100,000')
('SU002699шт', ['14,00', '25.340'], '84,000')
('SU002619шт', ['17,00', '38.080'], '102,000')
('SU002723шт', ['14,00', '31.276'], '84,000')
('SU001051кг', ['4,00', '36.866'], '34,658')
('SU000227кг', ['33,00', '279.572'], '261,356')
('SU001921кг', ['11,00', '34.322'], '31,770')
('SU001869шт', ['67,00', '188.270'], '1_005,000')
('SU002252шт', ['14,00', '28.672'], '84,000')
('SU003167шт', ['250,00', '588.500'], '1_500,000')
('SU003168шт', ['84,00', '198.240'], '504,000')
('SU002173шт', ['9,00', '22.860'], '54,000')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU000251кг', ['175,00', '2.792.530'], '2_709,405')
('SU001578кг', ['65,00', '1.036.060'], '1_005,185')
('SU000102кг', ['65,00', '1.040.970'], '1_010,095')
('SU001989шт', ['10,00', '52.100'], '100,000')
('SU000126кг', ['101,00', '1.561.717'], '1_513,237')
('SU000246кг', ['4,00', '32.647'], '30,727')
('SU002073кг', ['6,00', '75.467'], '72,587')
('SU002476шт', ['4,00', '11.600'], '24,000')
('SU002614кг', ['17,00', '77.504'], '73,288')
('SU002613кг', ['12,00', '54.205'], '51,085')
('SU003035шт', ['100,00', '194.000'], '600,000')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['20,00', '44.840'], '120,000')
('SU002606шт', ['25,00', '56.200'], '150,000')
('SU003277шт', ['5,00', '6.700'], '100,000')
('SU002612кг', ['15,00', '67.595'], '63,515')
('SU002604шт', ['7,00', '15.736'], '42,000')
('SU002011кг', ['19,00', '107.325'], '100,675')
('SU002634кг', ['25,00', '135.835'], '126,835')
('SU002010кг', ['30,00', '168.760'], '158,260')
('SU002632шт', ['7,00', '26.880'], '42,000')
('SU002631шт', ['25,00', '96.000'], '150,000')
('SU002035кг', ['19,00', '107.390'], '100,740')
('SU002150кг', ['16,00', '90.040'], '84,440')
('SU002158кг', ['14,00', '79.400'], '74,360')
('SU002151кг', ['39,00', '219.498'], '205,458')
('SU002916шт', ['5,00', '19.200'], '30,000')
('SU002919шт', ['4,00', '15.240'], '24,000')
('SU002918шт', ['9,00', '34.290'], '54,000')
('SU002808кг', ['3,00', '37.325'], '35,885')
('SU002655кг', ['99,00', '861.622'], '806,974')

