ООО КСК ТРЕЙД Тс103323-24 21.05.2024 Аманбеков 12440кг.pdf +
('SU002828кг', ['9,00', '102.670'], '98,710')
('SU002814шт', ['7,00', '20.300'], '42,000')
('SU002829кг', ['17,00', '197.860'], '189,785')
('SU002815шт', ['57,00', '270.180'], '570,000')
('SU000722кг', ['2,00', '22.903'], '21,943')
('SU000722кг', ['3,00', '35.940'], '34,620')
('SU002830кг', ['4,00', '45.312'], '43,392')
('SU002830кг', ['10,00', '107.858'], '103,178')
('SU002928кг', ['6,00', '68.496'], '65,616')
('SU000125шт', ['17,00', '54.400'], '102,000')
('SU001485шт', ['21,00', '89.040'], '210,000')
('SU002816шт', ['43,00', '203.820'], '430,000')
('SU002734шт', ['22,00', '104.280'], '220,000')
('SU001523кг', ['21,00', '191.770'], '180,178')
('SU001351кг', ['5,00', '40.099'], '37,399')
('SU001354шт', ['5,00', '16.360'], '30,000')
('SU002835кг', ['3,00', '24.245'], '22,625')
('SU002835кг', ['7,00', '61.053'], '57,273')
('SU001721кг', ['29,00', '256.995'], '240,987')
('SU001720шт', ['33,00', '97.680'], '198,000')
('SU002660шт', ['14,00', '31.472'], '84,000')
('SU002877шт', ['42,00', '94.416'], '252,000')
('SU002848шт', ['42,00', '93.912'], '252,000')
('SU002941кг', ['38,00', '196.948'], '186,688')
('SU002943кг', ['14,00', '72.933'], '69,153')
('SU002945кг', ['50,00', '259.801'], '246,301')
('SU002947кг', ['14,00', '72.203'], '68,423')
('SU002725кг', ['11,00', '97.341'], '91,269')
('SU002799шт', ['62,00', '164.548'], '372,000')
('SU002842шт', ['69,00', '183.540'], '414,000')
('SU002618шт', ['72,00', '191.520'], '432,000')
('SU002686шт', ['24,00', '63.552'], '144,000')
('SU002844шт', ['69,00', '183.540'], '414,000')
('SU002759шт', ['4,00', '10.640'], '24,000')
('SU002758шт', ['7,00', '18.620'], '42,000')
('SU002617шт', ['59,00', '132.632'], '354,000')
('SU003271кг', ['3,00', '36.055'], '34,615')
('SU003272шт', ['2,00', '8.480'], '20,000')
('SU002619шт', ['9,00', '20.160'], '54,000')
('SU002723шт', ['5,00', '11.170'], '30,000')
('SU001051кг', ['4,00', '34.428'], '32,220')
('SU000227кг', ['38,00', '320.052'], '299,076')
('SU001430кг', ['2,00', '17.017'], '15,913')
('SU001869шт', ['4,00', '11.240'], '60,000')
('SU002252шт', ['5,00', '10.240'], '30,000')
('SU003167шт', ['334,00', '784.232'], '2_004,000')
('SU003168шт', ['134,00', '316.240'], '804,000')
('SU002173шт', ['5,00', '12.700'], '30,000')
('SU000251кг', ['144,00', '2.293.000'], '2_224,600')
('SU001578кг', ['65,00', '1.033.465'], '1_002,590')
('SU003423кг', ['57,00', '907.880'], '880,805')
('SU001989шт', ['5,00', '26.050'], '50,000')
