ООО КСК ТРЕЙД Тс103327-24 21.05.2024 Моисеев 17296кг.pdf
('SU002828кг', ['8,00', '91.270'], '87,750')
('SU002814шт', ['15,00', '43.500'], '90,000')
('SU002814шт', ['44,00', '127.600'], '264,000')
('SU002829кг', ['24,00', '278.235'], '266,835')
('SU002815шт', ['13,00', '61.620'], '130,000')
('SU002815шт', ['67,00', '317.580'], '670,000')
('SU000722кг', ['18,00', '215.760'], '207,840')
('SU002830кг', ['19,00', '215.729'], '206,609')
('SU002928кг', ['6,00', '72.524'], '69,644')
('SU000125шт', ['12,00', '38.400'], '72,000')
('SU001485шт', ['60,00', '254.400'], '600,000')
('SU002816шт', ['90,00', '426.600'], '900,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002734шт', ['120,00', '568.800'], '1_200,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU001523кг', ['30,00', '271.714'], '255,154')
('SU001351кг', ['9,00', '74.069'], '69,209')
('SU002984шт', ['28,00', '81.088'], '224,000')
('SU001718шт', ['234,00', '692.640'], '1_404,000')
('SU001354шт', ['12,00', '39.264'], '72,000')
('SU002835кг', ['10,00', '79.592'], '74,192')
('SU002367шт', ['14,00', '32.032'], '84,000')
('SU001721кг', ['22,00', '193.472'], '181,328')
('SU001721кг', ['26,00', '242.619'], '228,267')
('SU001720шт', ['167,00', '494.320'], '1_002,000')
('SU002756кг', ['17,00', '76.903'], '72,891')
('SU002847кг', ['47,00', '215.531'], '203,875')
('SU002660шт', ['60,00', '134.880'], '360,000')
('SU002877шт', ['67,00', '150.616'], '402,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU002941кг', ['29,00', '148.641'], '140,811')
('SU002943кг', ['21,00', '109.364'], '103,694')
('SU002945кг', ['50,00', '259.280'], '245,780')
('SU002947кг', ['29,00', '149.527'], '141,697')
('SU002725кг', ['30,00', '264.792'], '248,232')
('SU002801шт', ['117,00', '311.220'], '702,000')
('SU002799шт', ['134,00', '355.636'], '804,000')
('SU002842шт', ['150,00', '399.000'], '900,000')
('SU002618шт', ['34,00', '90.440'], '204,000')
('SU002618шт', ['233,00', '619.780'], '1_398,000')
('SU002686шт', ['50,00', '132.400'], '300,000')
('SU002844шт', ['117,00', '311.220'], '702,000')
('SU002759шт', ['24,00', '63.840'], '144,000')
('SU002758шт', ['24,00', '63.840'], '144,000')
('SU003266шт', ['3,00', '12.720'], '30,000')
('SU002617шт', ['134,00', '301.232'], '804,000')
('SU003273кг', ['7,00', '83.870'], '80,510')
('SU003271кг', ['10,00', '120.165'], '115,365')
('SU003274шт', ['3,00', '12.720'], '30,000')
('SU003272шт', ['15,00', '63.600'], '150,000')
('SU002699шт', ['14,00', '25.340'], '84,000')
('SU002619шт', ['34,00', '76.160'], '204,000')
('SU002723шт', ['17,00', '37.978'], '102,000')
('SU001051кг', ['6,00', '51.397'], '48,085')
('SU000227кг', ['52,00', '437.957'], '409,253')
('SU001430кг', ['6,00', '50.763'], '47,451')
('SU001921кг', ['11,00', '33.570'], '31,018')
('SU001869шт', ['54,00', '151.740'], '810,000')
('SU002368шт', ['50,00', '111.500'], '1_000,000')
('SU002252шт', ['17,00', '34.816'], '102,000')
('SU003167шт', ['90,00', '211.860'], '540,000')
('SU003167шт', ['160,00', '375.680'], '960,000')
('SU003168шт', ['217,00', '512.120'], '1_302,000')
('SU002173шт', ['17,00', '43.180'], '102,000')
('SU002092шт', ['7,00', '19.670'], '105,000')
('SU000251кг', ['65,00', '1.036.655'], '1_005,780')
('SU001578кг', ['27,00', '427.170'], '414,345')
('SU003423кг', ['39,00', '620.075'], '601,550')
('SU001989шт', ['10,00', '52.100'], '100,000')
('SU000126кг', ['68,00', '1.048.775'], '1_018,535')
('SU002027шт', ['5,00', '21.200'], '50,000')
('SU000246кг', ['7,00', '62.105'], '58,745')
('SU002287кг', ['3,00', '25.866'], '24,210')
('SU002073кг', ['13,00', '164.200'], '157,960')
('SU002074кг', ['7,00', '61.371'], '57,507')
('SU002476шт', ['7,00', '20.300'], '42,000')
('SU002614кг', ['22,00', '100.017'], '94,561')
('SU002613кг', ['12,00', '55.012'], '52,180')
('SU003035шт', ['134,00', '259.960'], '804,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['50,00', '112.100'], '300,000')
('SU002606шт', ['42,00', '94.416'], '252,000')
('SU002612кг', ['15,00', '68.075'], '63,995')
('SU002604шт', ['9,00', '20.232'], '54,000')
('SU003280шт', ['5,00', '6.700'], '100,000')
('SU003314шт', ['3,00', '9.540'], '60,000')
('SU003345шт', ['5,00', '6.800'], '30,000')
('SU003344шт', ['7,00', '9.520'], '42,000')
('SU003342шт', ['14,00', '19.040'], '84,000')
('SU002011кг', ['29,00', '165.595'], '155,170')
('SU002094кг', ['48,00', '269.830'], '253,030')
('SU002010кг', ['42,00', '236.860'], '222,160')
('SU002632шт', ['24,00', '92.160'], '144,000')
('SU002631шт', ['25,00', '96.000'], '150,000')
('SU002035кг', ['29,00', '162.495'], '152,055')
('SU002150кг', ['20,00', '111.770'], '104,770')
('SU002158кг', ['19,00', '107.133'], '100,293')
('SU002151кг', ['29,00', '163.510'], '153,070')
('SU002916шт', ['12,00', '46.080'], '72,000')
('SU002919шт', ['5,00', '19.050'], '30,000')
('SU002918шт', ['10,00', '38.100'], '60,000')
('SU002808кг', ['2,00', '24.955'], '24,035')
('SU002655кг', ['81,00', '698.465'], '653,753')

