ООО ЛП Тс107882-24 24.05.2024 Шаов 6356кг.pdf Сочи +
('SU002828кг', ['11,00', '122.780'], '117,500')
('SU002814шт', ['67,00', '194.300'], '402,000')
('SU002815шт', ['70,00', '331.800'], '700,000')
('SU001485шт', ['69,00', '292.560'], '690,000')
('SU002312шт', ['47,00', '199.280'], '470,000')
('SU002816шт', ['63,00', '296.730'], '630,000')
('SU002983шт', ['5,00', '17.000'], '40,000')
('SU002734шт', ['52,00', '246.480'], '520,000')
('SU003037шт', ['5,00', '12.500'], '40,000')
('SU002985шт', ['10,00', '30.560'], '80,000')
('SU001523кг', ['3,00', '27.080'], '25,424')
('SU001527шт', ['2,00', '6.616'], '12,000')
('SU001718шт', ['10,00', '29.600'], '60,000')
('SU001718шт', ['72,00', '213.120'], '432,000')
('SU001354шт', ['9,00', '29.448'], '54,000')
('SU001720шт', ['76,00', '224.960'], '456,000')
('SU002660шт', ['17,00', '38.216'], '102,000')
('SU002848шт', ['22,00', '49.192'], '132,000')
('SU002941кг', ['5,00', '25.777'], '24,427')
('SU002943кг', ['10,00', '51.554'], '48,854')
('SU002801шт', ['33,00', '87.780'], '198,000')
('SU002799шт', ['46,00', '122.084'], '276,000')
('SU002618шт', ['50,00', '133.000'], '300,000')
('SU002621шт', ['66,00', '175.560'], '396,000')
('SU002759шт', ['3,00', '7.980'], '18,000')
('SU002758шт', ['2,00', '5.320'], '12,000')
('SU003265кг', ['2,00', '23.875'], '22,955')
('SU002617шт', ['20,00', '44.960'], '120,000')
('SU003274шт', ['9,00', '38.160'], '90,000')
('SU003276шт', ['4,00', '15.760'], '40,000')
('SU001800шт', ['2,00', '10.480'], '20,000')
('SU001822кг', ['54,00', '247.176'], '233,892')
('SU002579шт', ['22,00', '49.456'], '132,000')
('SU001340кг', ['73,00', '635.616'], '594,444')
('SU001341шт', ['45,00', '176.040'], '270,000')
('SU000227кг', ['5,00', '42.192'], '39,432')
('SU001869шт', ['6,00', '16.860'], '90,000')
('SU002368шт', ['10,00', '22.300'], '200,000')
('SU002252шт', ['5,00', '10.240'], '30,000')
('SU001835кг', ['6,00', '51.488'], '48,104')
('SU003167шт', ['56,00', '131.824'], '336,000')
('SU003168шт', ['17,00', '40.120'], '102,000')
('SU002173шт', ['2,00', '5.080'], '12,000')
('SU002092шт', ['2,00', '5.620'], '30,000')
('SU000251кг', ['59,00', '937.715'], '909,690')
('SU001578кг', ['4,00', '63.500'], '61,600')
('SU003423кг', ['7,00', '112.455'], '109,130')
('SU001989шт', ['2,00', '10.420'], '20,000')
('SU000256шт', ['3,00', '15.750'], '30,000')
('SU000126кг', ['50,00', '774.590'], '751,070')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU002462шт', ['2,00', '8.420'], '20,000')
('SU002074кг', ['4,00', '34.552'], '32,344')
('SU002476шт', ['10,00', '29.000'], '60,000')
('SU002538шт', ['18,00', '40.464'], '108,000')
('SU002602шт', ['2,00', '4.484'], '12,000')
('SU002606шт', ['14,00', '31.472'], '84,000')
('SU002220шт', ['7,00', '26.880'], '42,000')
('SU002916шт', ['4,00', '15.360'], '24,000')
('SU002918шт', ['9,00', '34.290'], '54,000')
('SU002809кг', ['5,00', '23.983'], '22,743')
