ООО КСК ТРЕЙД Тс107527-24 25.05.2024 Момот 4026кг.pdf
('SU001578кг', ['129,00', '2.072.710'], '2_011,435')
('SU003423кг', ['129,00', '2.075.980'], '2_014,705')

ООО КСК ТРЕЙД Тс107541-24 25.05.2024 Момот 13327кг.pdf
('SU002828кг', ['7,00', '79.400'], '76,040')
('SU002814шт', ['50,00', '145.000'], '300,000')
('SU002829кг', ['28,00', '323.365'], '310,060')
('SU002815шт', ['110,00', '521.400'], '1_100,000')
('SU000722кг', ['8,00', '95.340'], '91,980')
('SU002830кг', ['19,00', '217.043'], '207,923')
('SU000125шт', ['7,00', '22.400'], '42,000')
('SU001485шт', ['30,00', '127.200'], '300,000')
('SU002816шт', ['130,00', '612.300'], '1_300,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002734шт', ['70,00', '331.800'], '700,000')
('SU002985шт', ['9,00', '27.504'], '72,000')
('SU001523кг', ['9,00', '85.203'], '80,235')
('SU001351кг', ['7,00', '57.290'], '53,510')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU001718шт', ['184,00', '544.640'], '1_104,000')
('SU001354шт', ['9,00', '29.448'], '54,000')
('SU002835кг', ['7,00', '61.064'], '57,284')
('SU002367шт', ['17,00', '38.896'], '102,000')
('SU001721кг', ['18,00', '159.938'], '150,002')
('SU001721кг', ['7,00', '62.425'], '58,561')
('SU001720шт', ['100,00', '296.000'], '600,000')
('SU003336шт', ['4,00', '8.288'], '24,000')
('SU002756кг', ['8,00', '36.470'], '34,582')
('SU002876кг', ['5,00', '22.425'], '21,185')
('SU002660шт', ['42,00', '94.416'], '252,000')
('SU002877шт', ['58,00', '130.384'], '348,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU002941кг', ['24,00', '123.680'], '117,200')
('SU002943кг', ['12,00', '61.643'], '58,403')
('SU002945кг', ['11,00', '57.007'], '54,037')
('SU002947кг', ['26,00', '135.030'], '128,010')
('SU002725кг', ['5,00', '42.970'], '40,270')
('SU002725кг', ['8,00', '73.379'], '68,963')
('SU002801шт', ['117,00', '311.220'], '702,000')
('SU002799шт', ['184,00', '488.336'], '1_104,000')
('SU002842шт', ['134,00', '356.440'], '804,000')
('SU002618шт', ['300,00', '798.000'], '1_800,000')
('SU002686шт', ['84,00', '222.432'], '504,000')
('SU002844шт', ['134,00', '356.440'], '804,000')
('SU002759шт', ['25,00', '66.500'], '150,000')
('SU002758шт', ['19,00', '50.540'], '114,000')
('SU003265кг', ['6,00', '72.390'], '69,510')
('SU003266шт', ['8,00', '33.920'], '80,000')
('SU002617шт', ['100,00', '224.800'], '600,000')
('SU003273кг', ['6,00', '72.085'], '69,325')
('SU003271кг', ['8,00', '96.055'], '92,375')
('SU003274шт', ['4,00', '16.960'], '40,000')
('SU003272шт', ['12,00', '50.880'], '120,000')
('SU002699шт', ['9,00', '16.290'], '54,000')
('SU002619шт', ['17,00', '38.080'], '102,000')
('SU002723шт', ['34,00', '75.956'], '204,000')
('SU001051кг', ['5,00', '40.193'], '37,433')
('SU000227кг', ['41,00', '350.438'], '327,806')
('SU003167шт', ['450,00', '1.059.300'], '2_700,000')
('SU003168шт', ['217,00', '512.120'], '1_302,000')
('SU002173шт', ['9,00', '22.860'], '54,000')
('SU000251кг', ['27,00', '431.115'], '418,290')
('SU001578кг', ['33,00', '525.545'], '509,870')
('SU003423кг', ['20,00', '319.510'], '310,010')
('SU001989шт', ['8,00', '41.680'], '80,000')
('SU000126кг', ['41,00', '630.850'], '613,630')
('SU002027шт', ['2,00', '8.480'], '20,000')
('SU000246кг', ['13,00', '112.339'], '106,099')
('SU002287кг', ['4,00', '33.776'], '31,568')
('SU002074кг', ['4,00', '34.649'], '32,441')
('SU002614кг', ['8,00', '36.157'], '34,269')
('SU003035шт', ['84,00', '162.960'], '504,000')
('SU002538шт', ['20,00', '44.960'], '120,000')
('SU002606шт', ['34,00', '76.432'], '204,000')
('SU003277шт', ['10,00', '13.400'], '200,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU003280шт', ['5,00', '6.700'], '100,000')
('SU003314шт', ['5,00', '15.900'], '100,000')
('SU003345шт', ['10,00', '13.600'], '60,000')
('SU003344шт', ['7,00', '9.520'], '42,000')
('SU002011кг', ['10,00', '56.775'], '53,175')
('SU002010кг', ['20,00', '112.010'], '105,010')
('SU002631шт', ['25,00', '96.000'], '150,000')
('SU002035кг', ['10,00', '56.300'], '52,800')
('SU002150кг', ['12,00', '67.470'], '63,270')
('SU002158кг', ['12,00', '68.013'], '63,693')
('SU002151кг', ['19,00', '106.967'], '100,127')
('SU002916шт', ['4,00', '15.360'], '24,000')
('SU002919шт', ['9,00', '34.290'], '54,000')
('SU002918шт', ['20,00', '76.200'], '120,000')
('SU002808кг', ['5,00', '62.405'], '60,105')
('SU002655кг', ['100,00', '859.433'], '804,233')

