ООО КСК ТРЕЙД Тс129365-24 22.06.2024 Дьяченков 17546кг.pdf
('SU002828кг', ['8,00', '90.220'], '86,540')
('SU002814шт', ['67,00', '194.300'], '402,000')
('SU002829кг', ['19,00', '220.665'], '211,640')
('SU002815шт', ['150,00', '706.500'], '1_500,000')
('SU000722кг', ['9,00', '108.345'], '104,025')
('SU002830кг', ['28,00', '317.113'], '303,673')
('SU002928кг', ['9,00', '107.747'], '103,427')
('SU000125шт', ['17,00', '54.400'], '102,000')
('SU001485шт', ['60,00', '254.400'], '600,000')
('SU002816шт', ['70,00', '331.800'], '700,000')
('SU002983шт', ['18,00', '61.200'], '144,000')
('SU002734шт', ['110,00', '521.400'], '1_100,000')
('SU002985шт', ['12,00', '36.672'], '96,000')
('SU001523кг', ['10,00', '93.992'], '88,472')
('SU001351кг', ['5,00', '41.012'], '38,312')
('SU002984шт', ['23,00', '66.608'], '184,000')
('SU001718шт', ['150,00', '444.000'], '900,000')
('SU001354шт', ['15,00', '48.900'], '90,000')
('SU002367шт', ['20,00', '45.760'], '120,000')
('SU001721кг', ['10,00', '86.846'], '81,326')
('SU001721кг', ['37,00', '349.260'], '328,836')
('SU001720шт', ['250,00', '740.000'], '1_500,000')
('SU002756кг', ['29,00', '131.915'], '125,071')
('SU002876кг', ['12,00', '55.263'], '52,287')
('SU002660шт', ['67,00', '150.616'], '402,000')
('SU002877шт', ['84,00', '188.832'], '504,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU002941кг', ['26,00', '133.143'], '126,123')
('SU002943кг', ['17,00', '85.940'], '81,350')
('SU002945кг', ['37,00', '185.436'], '175,446')
('SU002947кг', ['22,00', '112.656'], '106,716')
('SU002725кг', ['29,00', '271.449'], '255,441')
('SU002801шт', ['67,00', '177.416'], '402,000')
('SU002799шт', ['156,00', '416.832'], '936,000')
('SU002799шт', ['11,00', '29.194'], '66,000')
('SU002842шт', ['167,00', '444.220'], '1_002,000')
('SU002618шт', ['67,00', '178.220'], '402,000')
('SU002686шт', ['42,00', '112.224'], '252,000')
('SU002844шт', ['134,00', '356.440'], '804,000')
('SU002759шт', ['7,00', '18.620'], '42,000')
('SU002758шт', ['29,00', '77.140'], '174,000')
('SU003265кг', ['5,00', '60.270'], '58,020')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU003274шт', ['5,00', '21.200'], '50,000')
('SU003272шт', ['15,00', '63.750'], '150,000')
('SU002699шт', ['17,00', '30.770'], '102,000')
('SU002619шт', ['44,00', '98.560'], '264,000')
('SU002723шт', ['22,00', '49.148'], '132,000')
('SU001051кг', ['6,00', '51.069'], '47,757')
('SU000227кг', ['51,00', '435.951'], '407,799')
('SU001430кг', ['11,00', '93.372'], '87,300')
('SU001869шт', ['67,00', '188.270'], '1_005,000')
('SU002252шт', ['4,00', '8.192'], '24,000')
('SU003167шт', ['350,00', '821.800'], '2_100,000')
('SU003168шт', ['167,00', '394.120'], '1_002,000')
('SU002173шт', ['9,00', '22.860'], '54,000')
('SU002092шт', ['20,00', '56.200'], '300,000')
('SU003420кг', ['5,00', '76.840'], '74,440')
('SU003420кг', ['60,00', '971.745'], '943,245')
('SU003422кг', ['97,00', '1.559.555'], '1_513,480')
('SU003423кг', ['77,00', '1.241.325'], '1_204,750')
('SU003419шт', ['10,00', '52.100'], '100,000')
('SU000126кг', ['67,00', '1.042.924'], '1_011,724')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['17,00', '151.657'], '143,497')
('SU002287кг', ['8,00', '67.197'], '62,781')
('SU002073кг', ['5,00', '63.075'], '60,675')
('SU002074кг', ['3,00', '25.909'], '24,253')
('SU002614кг', ['10,00', '45.578'], '43,218')
('SU002613кг', ['12,00', '54.636'], '51,804')
('SU003035шт', ['84,00', '162.960'], '504,000')
('SU002538шт', ['34,00', '76.432'], '204,000')
('SU002602шт', ['25,00', '56.050'], '150,000')
('SU002606шт', ['42,00', '94.416'], '252,000')
('SU003277шт', ['15,00', '20.100'], '300,000')
('SU003278шт', ['10,00', '13.400'], '200,000')
('SU003281шт', ['9,00', '13.140'], '108,000')
('SU002612кг', ['20,00', '90.419'], '84,979')
('SU003280шт', ['10,00', '13.400'], '200,000')
('SU003279шт', ['9,00', '13.140'], '108,000')
('SU003345шт', ['14,00', '19.040'], '84,000')
('SU003344шт', ['14,00', '18.704'], '84,000')
('SU003342шт', ['25,00', '34.000'], '150,000')
('SU002011кг', ['11,00', '62.005'], '58,045')
('SU002094кг', ['58,00', '325.980'], '305,680')
('SU002010кг', ['38,00', '214.620'], '201,320')
('SU002632шт', ['42,00', '161.280'], '252,000')
('SU002631шт', ['25,00', '96.000'], '150,000')
('SU002035кг', ['18,00', '101.560'], '95,260')
('SU002150кг', ['16,00', '90.060'], '84,460')
('SU002158кг', ['13,00', '73.266'], '68,334')
('SU002151кг', ['11,00', '61.910'], '57,950')
('SU002916шт', ['7,00', '26.880'], '42,000')
('SU002919шт', ['7,00', '26.670'], '42,000')
('SU002918шт', ['25,00', '95.250'], '150,000')
('SU002808кг', ['2,00', '25.110'], '24,210')
('SU002655кг', ['56,00', '484.486'], '453,574')

