ООО КСК ТРЕЙД Тс130829-24 25.06.2024 Ковалько 17352кг.pdf
('SU002828кг', ['10,00', '112.000'], '107,200')
('SU002814шт', ['3,00', '8.700'], '18,000')
('SU002814шт', ['64,00', '185.600'], '384,000')
('SU002829кг', ['4,00', '46.945'], '45,045')
('SU002815шт', ['92,00', '436.080'], '920,000')
('SU002815шт', ['8,00', '37.680'], '80,000')
('SU000722кг', ['10,00', '118.324'], '113,524')
('SU002830кг', ['29,00', '322.780'], '309,440')
('SU002928кг', ['6,00', '72.572'], '69,692')
('SU000125шт', ['7,00', '22.400'], '42,000')
('SU001485шт', ['45,00', '190.800'], '450,000')
('SU002816шт', ['60,00', '284.400'], '600,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002734шт', ['150,00', '711.000'], '1_500,000')
('SU002985шт', ['7,00', '21.392'], '56,000')
('SU001523кг', ['18,00', '155.259'], '145,323')
('SU001351кг', ['6,00', '49.850'], '46,610')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU001718шт', ['117,00', '346.320'], '702,000')
('SU001354шт', ['12,00', '39.264'], '72,000')
('SU002835кг', ['8,00', '70.034'], '65,714')
('SU002367шт', ['14,00', '32.032'], '84,000')
('SU001721кг', ['46,00', '426.012'], '400,620')
('SU001720шт', ['216,00', '639.360'], '1_296,000')
('SU003336шт', ['4,00', '8.288'], '24,000')
('SU002756кг', ['8,00', '35.984'], '34,060')
('SU002847кг', ['12,00', '54.834'], '52,002')
('SU002660шт', ['42,00', '94.416'], '252,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU002941кг', ['21,00', '108.536'], '102,866')
('SU002943кг', ['14,00', '71.759'], '67,979')
('SU002945кг', ['36,00', '182.959'], '173,239')
('SU002947кг', ['22,00', '111.371'], '105,431')
('SU002725кг', ['19,00', '171.824'], '161,336')
('SU002801шт', ['84,00', '222.432'], '504,000')
('SU002799шт', ['150,00', '398.100'], '900,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['167,00', '444.220'], '1_002,000')
('SU002686шт', ['42,00', '112.224'], '252,000')
('SU002844шт', ['116,00', '308.560'], '696,000')
('SU002759шт', ['17,00', '45.220'], '102,000')
('SU002758шт', ['20,00', '53.200'], '120,000')
('SU003265кг', ['8,00', '95.500'], '91,660')
('SU003266шт', ['3,00', '12.720'], '30,000')
('SU002617шт', ['67,00', '150.616'], '402,000')
('SU003273кг', ['8,00', '95.955'], '92,115')
('SU003271кг', ['10,00', '119.750'], '114,950')
('SU003274шт', ['2,00', '8.480'], '20,000')
('SU003272шт', ['13,00', '54.730'], '130,000')
('SU002699шт', ['20,00', '36.200'], '120,000')
('SU002619шт', ['25,00', '56.000'], '150,000')
('SU002723шт', ['22,00', '49.148'], '132,000')
('SU001051кг', ['5,00', '41.448'], '39,048')
('SU000227кг', ['39,00', '331.063'], '309,535')
('SU001430кг', ['5,00', '41.970'], '39,210')
('SU001869шт', ['80,00', '224.800'], '1_200,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['10,00', '20.480'], '60,000')
('SU003167шт', ['334,00', '784.232'], '2_004,000')
('SU003168шт', ['184,00', '434.240'], '1_104,000')
('SU002173шт', ['12,00', '30.480'], '72,000')
('SU002092шт', ['20,00', '56.200'], '300,000')
('SU003420кг', ['123,00', '1.968.075'], '1_909,650')
('SU003422кг', ['27,00', '432.704'], '419,744')
('SU003422кг', ['70,00', '1.126.310'], '1_093,060')
('SU003423кг', ['65,00', '1.036.785'], '1_005,910')
('SU003419шт', ['8,00', '41.680'], '80,000')
('SU000126кг', ['81,00', '1.248.031'], '1_209,361')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['4,00', '33.153'], '30,993')
('SU002287кг', ['7,00', '60.202'], '56,338')
('SU002187кг', ['3,00', '33.705'], '32,265')
('SU002074кг', ['6,00', '52.435'], '49,123')
('SU002476шт', ['5,00', '14.500'], '30,000')
('SU002614кг', ['15,00', '68.313'], '64,593')
('SU002613кг', ['15,00', '68.291'], '64,391')
('SU003035шт', ['84,00', '162.960'], '504,000')
('SU002538шт', ['25,00', '56.200'], '150,000')
('SU002602шт', ['9,00', '20.178'], '54,000')
('SU002606шт', ['25,00', '56.200'], '150,000')
('SU003277шт', ['5,00', '6.700'], '100,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU003281шт', ['5,00', '7.300'], '60,000')
('SU002612кг', ['17,00', '75.903'], '71,891')
('SU003280шт', ['5,00', '6.700'], '100,000')
('SU003279шт', ['5,00', '7.300'], '60,000')
('SU003314шт', ['3,00', '9.540'], '60,000')
('SU003345шт', ['10,00', '13.600'], '60,000')
('SU003344шт', ['9,00', '12.240'], '54,000')
('SU003342шт', ['17,00', '23.120'], '102,000')
('SU002011кг', ['16,00', '90.150'], '84,390')
('SU002094кг', ['27,00', '152.480'], '143,030')
('SU002010кг', ['26,00', '146.260'], '137,160')
('SU002632шт', ['22,00', '84.480'], '132,000')
('SU002631шт', ['24,00', '92.160'], '144,000')
('SU002035кг', ['19,00', '107.105'], '100,265')
('SU002150кг', ['10,00', '56.350'], '52,850')
('SU002158кг', ['10,00', '56.442'], '52,842')
('SU002151кг', ['23,00', '129.568'], '121,288')
('SU002916шт', ['4,00', '15.360'], '24,000')
('SU002919шт', ['4,00', '15.240'], '24,000')
('SU002918шт', ['7,00', '26.670'], '42,000')
('SU002808кг', ['3,00', '37.320'], '35,940')
('SU002655кг', ['74,00', '641.582'], '600,734')

