ООО КСК ТРЕЙД Тс135518-24 30.06.2024 Рошка 17390кг.pdf
('SU002828кг', ['5,00', '56.240'], '54,015')
('SU002814шт', ['50,00', '145.000'], '300,000')
('SU002829кг', ['28,00', '323.930'], '310,630')
('SU002815шт', ['90,00', '423.900'], '900,000')
('SU000722кг', ['23,00', '275.958'], '265,058')
('SU002830кг', ['29,00', '326.892'], '312,972')
('SU002928кг', ['4,00', '48.430'], '46,510')
('SU000125шт', ['14,00', '44.800'], '84,000')
('SU001485шт', ['80,00', '339.200'], '800,000')
('SU002816шт', ['70,00', '329.700'], '700,000')
('SU002734шт', ['170,00', '805.800'], '1_700,000')
('SU002985шт', ['9,00', '27.504'], '72,000')
('SU001523кг', ['10,00', '93.398'], '87,878')
('SU001351кг', ['5,00', '41.207'], '38,507')
('SU002984шт', ['23,00', '66.608'], '184,000')
('SU001718шт', ['117,00', '346.320'], '702,000')
('SU001354шт', ['5,00', '16.360'], '30,000')
('SU002835кг', ['10,00', '86.101'], '80,701')
('SU002367шт', ['17,00', '38.896'], '102,000')
('SU001721кг', ['56,00', '483.612'], '452,700')
('SU001720шт', ['184,00', '544.640'], '1_104,000')
('SU003336шт', ['4,00', '8.288'], '24,000')
('SU002756кг', ['24,00', '108.938'], '103,262')
('SU002847кг', ['35,00', '160.118'], '151,438')
('SU002660шт', ['50,00', '112.400'], '300,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU002941кг', ['29,00', '146.194'], '138,364')
('SU002943кг', ['24,00', '123.885'], '117,405')
('SU002945кг', ['22,00', '113.121'], '107,181')
('SU002947кг', ['7,00', '36.256'], '34,366')
('SU002725кг', ['16,00', '147.186'], '138,354')
('SU002801шт', ['50,00', '132.400'], '300,000')
('SU002799шт', ['150,00', '398.100'], '900,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['167,00', '444.220'], '1_002,000')
('SU002844шт', ['84,00', '223.440'], '504,000')
('SU002759шт', ['15,00', '39.900'], '90,000')
('SU002758шт', ['14,00', '37.240'], '84,000')
('SU003265кг', ['14,00', '168.212'], '161,492')
('SU003266шт', ['2,00', '8.480'], '20,000')
('SU002617шт', ['117,00', '263.016'], '702,000')
('SU003273кг', ['3,00', '36.270'], '34,890')
('SU003271кг', ['7,00', '84.615'], '81,255')
('SU003274шт', ['9,00', '38.160'], '90,000')
('SU002699шт', ['14,00', '25.340'], '84,000')
('SU002619шт', ['42,00', '94.080'], '252,000')
('SU002723шт', ['9,00', '20.106'], '54,000')
('SU001051кг', ['4,00', '33.998'], '32,078')
('SU000227кг', ['33,00', '281.556'], '263,340')
('SU001921кг', ['11,00', '34.505'], '31,953')
('SU003167шт', ['300,00', '706.200'], '1_800,000')
('SU003168шт', ['167,00', '394.120'], '1_002,000')
('SU002173шт', ['9,00', '22.860'], '54,000')
('SU003420кг', ['72,00', '1.151.535'], '1_117,335')
('SU003422кг', ['123,00', '1.978.870'], '1_920,445')
('SU003423кг', ['53,00', '849.865'], '824,690')
('SU003419шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['74,00', '1.143.701'], '1_109,801')
('SU002027шт', ['4,00', '16.960'], '40,000')
('SU000246кг', ['17,00', '138.387'], '129,207')
('SU002187кг', ['12,00', '135.657'], '129,897')
('SU002074кг', ['4,00', '35.204'], '32,996')
('SU002614кг', ['15,00', '67.966'], '64,246')
('SU002613кг', ['17,00', '77.170'], '73,158')
('SU003035шт', ['84,00', '162.960'], '504,000')
('SU002538шт', ['42,00', '94.416'], '252,000')
('SU002602шт', ['17,00', '38.114'], '102,000')
('SU002606шт', ['42,00', '94.416'], '252,000')
('SU003277шт', ['10,00', '13.400'], '200,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU002612кг', ['10,00', '45.096'], '42,736')
('SU002612кг', ['9,00', '42.997'], '41,197')
('SU003280шт', ['3,00', '4.020'], '60,000')
('SU003279шт', ['5,00', '7.300'], '60,000')
('SU003314шт', ['5,00', '15.900'], '100,000')
('SU003345шт', ['9,00', '12.240'], '54,000')
('SU003344шт', ['9,00', '12.240'], '54,000')
('SU003342шт', ['27,00', '36.720'], '162,000')
('SU002011кг', ['12,00', '67.515'], '63,195')
('SU002094кг', ['58,00', '325.450'], '305,150')
('SU002010кг', ['38,00', '214.170'], '200,870')
('SU002632шт', ['42,00', '161.280'], '252,000')
('SU002631шт', ['20,00', '76.800'], '120,000')
('SU002035кг', ['30,00', '168.780'], '158,280')
('SU002150кг', ['12,00', '67.500'], '63,300')
('SU002158кг', ['12,00', '67.662'], '63,342')
('SU002151кг', ['38,00', '214.535'], '200,819')
('SU002918шт', ['42,00', '160.020'], '252,000')
('SU002655кг', ['99,00', '858.430'], '803,782')

