ООО КСК ТРЕЙД Тс135597-24 02.07.2024 Махмудов 17499кг.pdf
('SU002828кг', ['1,00', '5.783'], '5,423')
('SU002828кг', ['8,00', '90.762'], '86,922')
('SU002814шт', ['59,00', '171.100'], '354,000')
('SU002829кг', ['13,00', '144.030'], '137,790')
('SU002829кг', ['25,00', '290.070'], '278,195')
('SU002815шт', ['70,00', '331.800'], '700,000')
('SU000722кг', ['14,00', '169.523'], '162,803')
('SU002830кг', ['43,00', '278.916'], '263,076')
('SU002928кг', ['5,00', '60.403'], '58,003')
('SU000125шт', ['12,00', '38.400'], '72,000')
('SU001485шт', ['50,00', '212.000'], '500,000')
('SU002816шт', ['60,00', '284.400'], '600,000')
('SU002983шт', ['14,00', '47.600'], '112,000')
('SU002734шт', ['120,00', '568.800'], '1_200,000')
('SU002985шт', ['12,00', '36.672'], '96,000')
('SU001523кг', ['23,00', '135.392'], '126,008')
('SU001351кг', ['6,00', '49.597'], '46,357')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU001718шт', ['167,00', '494.320'], '1_002,000')
('SU001354шт', ['9,00', '29.448'], '54,000')
('SU002835кг', ['9,00', '78.445'], '73,585')
('SU002367шт', ['17,00', '38.896'], '102,000')
('SU001721кг', ['49,00', '427.024'], '399,976')
('SU001720шт', ['167,00', '494.320'], '1_002,000')
('SU003336шт', ['4,00', '8.288'], '24,000')
('SU002756кг', ['12,00', '53.929'], '51,085')
('SU002876кг', ['5,00', '22.821'], '21,581')
('SU002847кг', ['17,00', '77.452'], '73,440')
('SU002660шт', ['42,00', '94.416'], '252,000')
('SU002877шт', ['47,00', '105.656'], '282,000')
('SU002848шт', ['64,00', '143.104'], '384,000')
('SU002941кг', ['22,00', '113.006'], '107,066')
('SU002943кг', ['15,00', '76.876'], '72,826')
('SU002945кг', ['32,00', '163.938'], '155,298')
('SU002947кг', ['22,00', '112.668'], '106,728')
('SU002725кг', ['21,00', '192.662'], '181,070')
('SU002801шт', ['84,00', '222.432'], '504,000')
('SU002799шт', ['134,00', '355.636'], '804,000')
('SU002842шт', ['100,00', '266.000'], '600,000')
('SU002618шт', ['150,00', '399.000'], '900,000')
('SU002686шт', ['35,00', '93.520'], '210,000')
('SU002844шт', ['100,00', '266.000'], '600,000')
('SU002759шт', ['17,00', '45.220'], '102,000')
('SU002758шт', ['19,00', '50.540'], '114,000')
('SU003265кг', ['9,00', '107.540'], '103,400')
('SU003266шт', ['2,00', '8.480'], '20,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU003273кг', ['7,00', '84.107'], '80,847')
('SU003271кг', ['8,00', '96.150'], '92,470')
('SU003274шт', ['4,00', '16.960'], '40,000')
('SU003272шт', ['12,00', '50.520'], '120,000')
('SU002699шт', ['17,00', '30.770'], '102,000')
('SU002619шт', ['20,00', '44.800'], '120,000')
('SU002723шт', ['15,00', '33.510'], '90,000')
('SU001051кг', ['6,00', '50.708'], '47,828')
('SU000227кг', ['38,00', '328.087'], '307,111')
('SU001430кг', ['3,00', '26.868'], '25,212')
('SU001921кг', ['11,00', '34.165'], '31,613')
('SU001869шт', ['100,00', '281.000'], '1_500,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['9,00', '18.432'], '54,000')
('SU003167шт', ['250,00', '587.000'], '1_500,000')
('SU003168шт', ['200,00', '472.000'], '1_200,000')
('SU002173шт', ['9,00', '22.860'], '54,000')
('SU002092шт', ['10,00', '28.100'], '150,000')
('SU003420кг', ['111,00', '1.774.775'], '1_722,050')
('SU003422кг', ['85,00', '1.356.150'], '1_315,775')
('SU003423кг', ['48,00', '750.160'], '727,120')
('SU003423кг', ['9,00', '142.320'], '138,045')
('SU003419шт', ['4,00', '21.000'], '40,000')
('SU000126кг', ['115,00', '1.774.616'], '1_721,816')
('SU000246кг', ['8,00', '70.699'], '66,379')
('SU002187кг', ['5,00', '56.830'], '54,430')
('SU002074кг', ['3,00', '26.147'], '24,491')
('SU002476шт', ['5,00', '14.500'], '30,000')
('SU002614кг', ['15,00', '68.732'], '65,012')
('SU002613кг', ['15,00', '68.511'], '64,791')
('SU003035шт', ['117,00', '226.980'], '702,000')
('SU002538шт', ['25,00', '56.200'], '150,000')
('SU002602шт', ['14,00', '31.388'], '84,000')
('SU002606шт', ['25,00', '56.200'], '150,000')
('SU003277шт', ['5,00', '6.700'], '100,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU002612кг', ['20,00', '90.806'], '86,086')
('SU003280шт', ['5,00', '6.700'], '100,000')
('SU003314шт', ['4,00', '12.720'], '80,000')
('SU003345шт', ['9,00', '12.240'], '54,000')
('SU003344шт', ['7,00', '9.352'], '42,000')
('SU003342шт', ['25,00', '34.000'], '150,000')
('SU002011кг', ['19,00', '107.125'], '100,285')
('SU002094кг', ['68,00', '382.709'], '358,869')
('SU002010кг', ['29,00', '163.560'], '153,410')
('SU002632шт', ['22,00', '84.480'], '132,000')
('SU002631шт', ['24,00', '92.160'], '144,000')
('SU002035кг', ['19,00', '107.300'], '100,460')
('SU002150кг', ['12,00', '67.534'], '63,214')
('SU002158кг', ['12,00', '67.652'], '63,332')
('SU002151кг', ['28,00', '157.385'], '147,305')
('SU002916шт', ['10,00', '38.400'], '60,000')
('SU002919шт', ['4,00', '15.240'], '24,000')
('SU002918шт', ['17,00', '64.770'], '102,000')
('SU002808кг', ['2,00', '24.895'], '23,975')
('SU002655кг', ['68,00', '591.471'], '553,935')

