ООО КСК ТРЕЙД Тс139631-24 05.07.2024 Хохлов 12252кг.pdf
('SU002763шт', ['126,00', '211.680'], '756,000')
('SU002345шт', ['84,00', '526.680'], '672,000')
('SU002708шт', ['170,00', '1.263.100'], '1_360,000')
('SU002707шт', ['84,00', '597.240'], '1_344,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU000419шт', ['140,00', '534.800'], '1_680,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002627шт', ['168,00', '1.248.240'], '1_344,000')
('SU002623шт', ['252,00', '2.336.040'], '2_016,000')
('SU002731шт', ['84,00', '556.920'], '672,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['140,00', '450.800'], '1_680,000')
('SU000195шт', ['70,00', '229.600'], '840,000')
('SU002516шт', ['140,00', '450.800'], '1_680,000')
('SU002514шт', ['140,00', '450.800'], '1_680,000')
('SU003001шт', ['70,00', '225.400'], '840,000')
('SU002920шт', ['168,00', '979.440'], '1_344,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003020кг', ['38,00', '236.740'], '228,000')
('SU003020кг', ['29,00', '180.670'], '174,000')

