ООО НВ Тс141760-24 08.07.2024 Балабин 4758кг.pdf
('SU002763шт', ['126,00', '211.680'], '756,000')
('SU002345шт', ['84,00', '526.680'], '672,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU002623шт', ['84,00', '778.680'], '672,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003015кг', ['126,00', '488.880'], '466,200')

ООО НВ Тс141951-24 08.07.2024 Балабин 6340кг.pdf+
('SU002762шт', ['126,00', '211.680'], '756,000')
('SU002763шт', ['15,00', '25.200'], '90,000')
('SU002763шт', ['111,00', '186.480'], '666,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['70,00', '267.400'], '840,000')
('SU002568шт', ['70,00', '267.400'], '840,000')
('SU000419шт', ['70,00', '267.400'], '840,000')
('SU002572шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002623шт', ['84,00', '778.680'], '672,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU002516шт', ['70,00', '225.400'], '840,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003024кг', ['234,00', '444.600'], '421,200')
('SU003010кг', ['168,00', '878.640'], '840,000')

