ООО КСК ТРЕЙД Тс141438-24 07.07.2024 Момот 13628кг.pdf
('SU002763шт', ['252,00', '423.360'], '1_512,000')
('SU002915шт', ['130,00', '206.700'], '780,000')
('SU002838шт', ['84,00', '624.120'], '672,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['70,00', '267.400'], '840,000')
('SU002568шт', ['70,00', '267.400'], '840,000')
('SU000419шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002627шт', ['252,00', '1.872.360'], '2_016,000')
('SU002622шт', ['84,00', '597.240'], '1_344,000')
('SU002623шт', ['252,00', '2.336.040'], '2_016,000')
('SU002562шт', ['140,00', '450.800'], '1_680,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU002516шт', ['41,00', '132.020'], '492,000')
('SU002516шт', ['29,00', '93.380'], '348,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU002920шт', ['84,00', '489.720'], '672,000')
('SU002066шт', ['84,00', '624.120'], '672,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003025кг', ['126,00', '304.920'], '282,240')
('SU003018кг', ['126,00', '400.680'], '378,000')
('SU003015кг', ['126,00', '488.880'], '466,200')
('SU003019кг', ['126,00', '488.880'], '466,200')

