ООО НВ Тс142074-24 07.07.2024 Фефелов 11850кг.pdf
('SU002762шт', ['126,00', '211.680'], '756,000')
('SU002763шт', ['126,00', '211.680'], '756,000')
('SU002763шт', ['126,00', '211.680'], '756,000')
('SU002760шт', ['126,00', '211.680'], '756,000')
('SU002346шт', ['84,00', '526.680'], '672,000')
('SU002321шт', ['84,00', '526.680'], '672,000')
('SU002345шт', ['84,00', '526.680'], '672,000')
('SU002771шт', ['84,00', '597.240'], '1_344,000')
('SU002708шт', ['84,00', '624.120'], '672,000')
('SU002707шт', ['84,00', '597.240'], '1_344,000')
('SU002560шт', ['70,00', '267.400'], '840,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['70,00', '267.400'], '840,000')
('SU002568шт', ['70,00', '267.400'], '840,000')
('SU000419шт', ['70,00', '267.400'], '840,000')
('SU002572шт', ['140,00', '534.800'], '1_680,000')
('SU002573шт', ['126,00', '294.840'], '3_024,000')
('SU002558шт', ['140,00', '534.800'], '1_400,000')
('SU002627шт', ['168,00', '1.248.240'], '1_344,000')
('SU002622шт', ['84,00', '597.240'], '1_344,000')
('SU002623шт', ['252,00', '2.336.040'], '2_016,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['140,00', '450.800'], '1_680,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000195шт', ['70,00', '229.600'], '840,000')
('SU002669шт', ['70,00', '225.400'], '840,000')
('SU002514шт', ['140,00', '450.800'], '1_680,000')

