ООО КСК ТРЕЙД Тс145862-24 13.07.2024 Добрилко 17089кг.pdf
('SU002828кг', ['11,00', '124.085'], '118,805')
('SU002814шт', ['50,00', '145.000'], '300,000')
('SU002829кг', ['38,00', '437.085'], '419,035')
('SU002815шт', ['120,00', '565.200'], '1_200,000')
('SU000722кг', ['13,00', '155.194'], '148,954')
('SU002830кг', ['24,00', '272.175'], '262,575')
('SU002928кг', ['8,00', '90.282'], '86,442')
('SU000125шт', ['20,00', '64.000'], '120,000')
('SU001485шт', ['70,00', '296.800'], '700,000')
('SU002816шт', ['95,00', '450.300'], '950,000')
('SU002816шт', ['5,00', '23.700'], '50,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002734шт', ['120,00', '568.800'], '1_200,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU001523кг', ['14,00', '81.796'], '76,084')
('SU001351кг', ['4,00', '36.742'], '34,582')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU001718шт', ['150,00', '444.000'], '900,000')
('SU001354шт', ['10,00', '32.720'], '60,000')
('SU002835кг', ['13,00', '55.286'], '52,166')
('SU002367шт', ['17,00', '38.896'], '102,000')
('SU001721кг', ['45,00', '429.484'], '404,644')
('SU001720шт', ['150,00', '444.000'], '900,000')
('SU003336шт', ['7,00', '14.504'], '42,000')
('SU002756кг', ['15,00', '68.608'], '65,068')
('SU002876кг', ['10,00', '45.722'], '43,242')
('SU002847кг', ['8,00', '36.364'], '34,380')
('SU002660шт', ['50,00', '112.400'], '300,000')
('SU002877шт', ['84,00', '188.832'], '504,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['15,00', '77.097'], '73,047')
('SU002943кг', ['19,00', '97.897'], '92,767')
('SU002945кг', ['43,00', '219.947'], '208,337')
('SU002947кг', ['24,00', '123.407'], '116,927')
('SU002725кг', ['14,00', '130.539'], '122,811')
('SU002801шт', ['117,00', '309.816'], '702,000')
('SU002799шт', ['167,00', '443.218'], '1_002,000')
('SU002842шт', ['134,00', '356.440'], '804,000')
('SU002618шт', ['234,00', '622.440'], '1_404,000')
('SU002686шт', ['42,00', '112.224'], '252,000')
('SU002844шт', ['117,00', '311.220'], '702,000')
('SU002759шт', ['22,00', '58.520'], '132,000')
('SU002758шт', ['27,00', '71.820'], '162,000')
('SU003265кг', ['17,00', '203.255'], '195,605')
('SU003266шт', ['4,00', '16.960'], '40,000')
('SU002617шт', ['67,00', '150.616'], '402,000')
('SU003273кг', ['5,00', '55.380'], '53,005')
('SU003271кг', ['4,00', '47.970'], '46,210')
('SU003274шт', ['5,00', '21.200'], '50,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU001051кг', ['5,00', '41.320'], '38,920')
('SU000227кг', ['20,00', '169.354'], '158,314')
('SU001921кг', ['12,00', '35.913'], '33,129')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU002368шт', ['15,00', '33.000'], '300,000')
('SU003167шт', ['167,00', '392.116'], '1_002,000')
('SU003168шт', ['117,00', '276.120'], '702,000')
('SU003420кг', ['153,00', '2.479.825'], '2_407,150')
('SU003422кг', ['32,00', '489.125'], '473,765')
('SU003422кг', ['9,00', '143.550'], '139,275')
('SU003423кг', ['59,00', '934.815'], '906,790')
('SU003421шт', ['10,00', '52.100'], '100,000')
('SU000126кг', ['80,00', '1.233.600'], '1_197,600')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['17,00', '136.157'], '126,977')
('SU002287кг', ['8,00', '68.938'], '64,522')
('SU002073кг', ['4,00', '50.393'], '48,473')
('SU002074кг', ['8,00', '63.105'], '58,785')
('SU002476шт', ['5,00', '14.500'], '30,000')
('SU002614кг', ['12,00', '54.435'], '51,507')
('SU002613кг', ['5,00', '22.828'], '21,648')
('SU003035шт', ['50,00', '97.000'], '300,000')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['17,00', '38.114'], '102,000')
('SU002606шт', ['17,00', '38.216'], '102,000')
('SU003277шт', ['10,00', '13.400'], '200,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU002612кг', ['15,00', '67.243'], '63,703')
('SU002604шт', ['10,00', '22.480'], '60,000')
('SU003314шт', ['5,00', '15.900'], '100,000')
('SU003345шт', ['7,00', '9.520'], '42,000')
('SU003344шт', ['7,00', '9.520'], '42,000')
('SU003342шт', ['20,00', '27.200'], '120,000')
('SU002011кг', ['19,00', '108.060'], '101,220')
('SU002634кг', ['31,00', '168.370'], '157,520')
('SU002010кг', ['25,00', '140.980'], '132,230')
('SU002632шт', ['25,00', '96.000'], '150,000')
('SU002631шт', ['50,00', '192.000'], '300,000')
('SU002035кг', ['19,00', '107.415'], '100,575')
('SU002150кг', ['12,00', '67.370'], '63,170')
('SU002158кг', ['12,00', '67.875'], '63,555')
('SU002151кг', ['28,00', '158.124'], '148,044')
('SU002916шт', ['9,00', '34.560'], '54,000')
('SU002919шт', ['5,00', '19.230'], '30,000')
('SU002918шт', ['20,00', '76.200'], '120,000')
('SU002655кг', ['75,00', '640.175'], '598,775')

