ООО КСК ТРЕЙД Тс145929-24 13.07.2024 Штырков 17229кг.pdf
('SU002828кг', ['11,00', '124.058'], '118,778')
('SU002814шт', ['50,00', '145.000'], '300,000')
('SU002829кг', ['38,00', '436.595'], '418,545')
('SU002815шт', ['110,00', '521.400'], '1_100,000')
('SU000722кг', ['13,00', '154.690'], '148,450')
('SU002830кг', ['24,00', '271.875'], '262,275')
('SU002928кг', ['5,00', '56.666'], '54,266')
('SU002928кг', ['3,00', '36.006'], '34,566')
('SU000125шт', ['20,00', '64.000'], '120,000')
('SU001485шт', ['60,00', '254.400'], '600,000')
('SU002816шт', ['100,00', '474.000'], '1_000,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002734шт', ['120,00', '568.800'], '1_200,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU001523кг', ['14,00', '81.480'], '75,768')
('SU001351кг', ['4,00', '36.420'], '34,260')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU001718шт', ['150,00', '444.000'], '900,000')
('SU001354шт', ['10,00', '32.720'], '60,000')
('SU002835кг', ['3,00', '12.609'], '11,889')
('SU002835кг', ['5,00', '43.988'], '41,288')
('SU002367шт', ['17,00', '38.896'], '102,000')
('SU001721кг', ['47,00', '446.354'], '420,410')
('SU001720шт', ['150,00', '444.000'], '900,000')
('SU003336шт', ['7,00', '14.504'], '42,000')
('SU002756кг', ['15,00', '68.631'], '65,091')
('SU002876кг', ['10,00', '45.810'], '43,330')
('SU002847кг', ['8,00', '36.372'], '34,388')
('SU002660шт', ['50,00', '112.400'], '300,000')
('SU002877шт', ['84,00', '188.832'], '504,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['15,00', '77.189'], '73,139')
('SU002943кг', ['19,00', '97.802'], '92,672')
('SU002945кг', ['43,00', '220.306'], '208,696')
('SU002947кг', ['24,00', '123.473'], '116,993')
('SU002725кг', ['14,00', '130.793'], '123,065')
('SU002801шт', ['117,00', '309.816'], '702,000')
('SU002799шт', ['167,00', '443.218'], '1_002,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['234,00', '622.440'], '1_404,000')
('SU002686шт', ['42,00', '112.224'], '252,000')
('SU002844шт', ['100,00', '266.000'], '600,000')
('SU002759шт', ['22,00', '58.520'], '132,000')
('SU002758шт', ['27,00', '71.820'], '162,000')
('SU003265кг', ['16,00', '192.595'], '185,395')
('SU003266шт', ['4,00', '16.960'], '40,000')
('SU002617шт', ['67,00', '150.616'], '402,000')
('SU003273кг', ['5,00', '55.325'], '52,950')
('SU003271кг', ['4,00', '47.815'], '46,055')
('SU003274шт', ['5,00', '21.200'], '50,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU001051кг', ['5,00', '41.744'], '39,344')
('SU000227кг', ['20,00', '168.826'], '157,786')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['30,00', '61.440'], '180,000')
('SU003167шт', ['167,00', '392.116'], '1_002,000')
('SU003168шт', ['117,00', '276.120'], '702,000')
('SU002092шт', ['10,00', '28.100'], '150,000')
('SU003420кг', ['160,00', '2.587.040'], '2_511,040')
('SU003422кг', ['39,00', '622.735'], '604,210')
('SU003423кг', ['59,00', '931.100'], '903,075')
('SU003421шт', ['10,00', '52.100'], '100,000')
('SU000126кг', ['88,00', '1.359.294'], '1_317,204')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['16,00', '128.294'], '119,654')
('SU000246кг', ['1,00', '8.894'], '8,342')
('SU002287кг', ['8,00', '68.203'], '63,787')
('SU002073кг', ['3,00', '37.855'], '36,415')
('SU002074кг', ['8,00', '65.054'], '60,734')
('SU002614кг', ['12,00', '54.453'], '51,549')
('SU002613кг', ['5,00', '22.876'], '21,696')
('SU003035шт', ['50,00', '97.000'], '300,000')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['17,00', '38.114'], '102,000')
('SU002606шт', ['17,00', '38.216'], '102,000')
('SU003277шт', ['8,00', '10.720'], '160,000')
('SU003278шт', ['8,00', '10.720'], '160,000')
('SU002612кг', ['15,00', '67.314'], '63,774')
('SU002604шт', ['10,00', '22.480'], '60,000')
('SU003314шт', ['5,00', '15.900'], '100,000')
('SU003345шт', ['7,00', '9.520'], '42,000')
('SU003344шт', ['7,00', '9.520'], '42,000')
('SU003342шт', ['20,00', '27.200'], '120,000')
('SU002011кг', ['19,00', '106.950'], '100,110')
('SU002634кг', ['30,00', '163.070'], '152,570')
('SU002010кг', ['26,00', '146.030'], '136,930')
('SU002632шт', ['25,00', '96.000'], '150,000')
('SU002631шт', ['50,00', '192.000'], '300,000')
('SU002035кг', ['19,00', '107.550'], '100,710')
('SU002150кг', ['12,00', '67.710'], '63,510')
('SU002158кг', ['12,00', '67.868'], '63,548')
('SU002151кг', ['29,00', '163.813'], '153,373')
('SU002916шт', ['9,00', '34.560'], '54,000')
('SU002919шт', ['5,00', '19.194'], '30,000')
('SU002918шт', ['20,00', '76.200'], '120,000')
('SU002808кг', ['3,00', '37.140'], '35,790')
('SU002655кг', ['76,00', '644.237'], '602,285')

