ООО КСК ТРЕЙД Тс149306-24 16.07.2024 Митин 17301кг.pdf
('SU002828кг', ['12,00', '134.869'], '129,109')
('SU002814шт', ['59,00', '171.100'], '354,000')
('SU002829кг', ['28,00', '323.140'], '309,840')
('SU002815шт', ['78,00', '369.720'], '780,000')
('SU002815шт', ['12,00', '56.520'], '120,000')
('SU000722кг', ['15,00', '177.620'], '171,320')
('SU002830кг', ['27,00', '302.426'], '289,466')
('SU000125шт', ['15,00', '48.000'], '90,000')
('SU001485шт', ['60,00', '254.400'], '600,000')
('SU002816шт', ['60,00', '284.400'], '600,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002734шт', ['150,00', '711.000'], '1_500,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU001523кг', ['25,00', '147.275'], '137,075')
('SU001351кг', ['6,00', '49.052'], '45,812')
('SU002984шт', ['28,00', '81.088'], '224,000')
('SU001718шт', ['167,00', '494.320'], '1_002,000')
('SU001354шт', ['15,00', '49.080'], '90,000')
('SU002835кг', ['6,00', '49.251'], '46,011')
('SU002367шт', ['22,00', '50.336'], '132,000')
('SU001721кг', ['62,00', '540.616'], '506,392')
('SU001720шт', ['184,00', '544.640'], '1_104,000')
('SU003336шт', ['4,00', '8.288'], '24,000')
('SU002756кг', ['20,00', '90.715'], '85,995')
('SU002876кг', ['5,00', '22.757'], '21,517')
('SU002847кг', ['11,00', '49.940'], '47,344')
('SU002660шт', ['67,00', '150.616'], '402,000')
('SU002877шт', ['67,00', '150.616'], '402,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['16,00', '78.051'], '73,731')
('SU002943кг', ['17,00', '86.580'], '81,990')
('SU002945кг', ['36,00', '184.126'], '174,406')
('SU002947кг', ['22,00', '112.542'], '106,602')
('SU002725кг', ['21,00', '189.403'], '177,811')
('SU002801шт', ['100,00', '264.800'], '600,000')
('SU002799шт', ['150,00', '398.100'], '900,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['184,00', '489.440'], '1_104,000')
('SU002686шт', ['50,00', '133.600'], '300,000')
('SU002844шт', ['100,00', '266.000'], '600,000')
('SU002759шт', ['20,00', '53.200'], '120,000')
('SU002758шт', ['25,00', '66.500'], '150,000')
('SU003265кг', ['9,00', '99.895'], '95,620')
('SU003266шт', ['3,00', '12.720'], '30,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU003273кг', ['6,00', '72.025'], '69,265')
('SU003271кг', ['8,00', '96.970'], '93,370')
('SU003274шт', ['5,00', '21.200'], '50,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU001051кг', ['7,00', '59.057'], '55,697')
('SU000227кг', ['39,00', '333.557'], '312,029')
('SU001430кг', ['5,00', '42.330'], '39,570')
('SU001921кг', ['8,00', '23.794'], '21,938')
('SU001869шт', ['100,00', '281.000'], '1_500,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['14,00', '28.672'], '84,000')
('SU003167шт', ['234,00', '549.432'], '1_404,000')
('SU003168шт', ['167,00', '394.120'], '1_002,000')
('SU002092шт', ['20,00', '56.200'], '300,000')
('SU003420кг', ['117,00', '1.865.910'], '1_810,335')
('SU003422кг', ['65,00', '1.046.845'], '1_015,970')
('SU003423кг', ['46,00', '736.960'], '715,065')
('SU003421шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['81,00', '1.247.540'], '1_209,470')
('SU002027шт', ['2,00', '8.480'], '20,000')
('SU000246кг', ['13,00', '104.768'], '97,592')
('SU002287кг', ['8,00', '67.705'], '63,289')
('SU003425кг', ['4,00', '50.130'], '48,210')
('SU002074кг', ['3,00', '26.087'], '24,431')
('SU002476шт', ['4,00', '11.600'], '24,000')
('SU002614кг', ['20,00', '91.016'], '86,164')
('SU002613кг', ['17,00', '77.053'], '72,837')
('SU003035шт', ['67,00', '129.980'], '402,000')
('SU002538шт', ['5,00', '11.240'], '30,000')
('SU002538шт', ['35,00', '78.470'], '210,000')
('SU002602шт', ['19,00', '42.598'], '114,000')
('SU002606шт', ['29,00', '65.018'], '174,000')
('SU003277шт', ['8,00', '10.720'], '160,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU002612кг', ['22,00', '98.054'], '92,598')
('SU002604шт', ['10,00', '22.480'], '60,000')
('SU003279шт', ['5,00', '7.300'], '60,000')
('SU003314шт', ['3,00', '9.540'], '60,000')
('SU003345шт', ['5,00', '6.800'], '30,000')
('SU003344шт', ['7,00', '9.520'], '42,000')
('SU003342шт', ['17,00', '23.120'], '102,000')
('SU002011кг', ['19,00', '107.575'], '100,735')
('SU002634кг', ['24,00', '132.200'], '123,800')
('SU002010кг', ['25,00', '141.210'], '132,460')
('SU002632шт', ['25,00', '96.000'], '150,000')
('SU002631шт', ['32,00', '122.880'], '192,000')
('SU002035кг', ['23,00', '129.380'], '121,330')
('SU002150кг', ['12,00', '67.630'], '63,430')
('SU002158кг', ['12,00', '67.795'], '63,475')
('SU002151кг', ['29,00', '163.517'], '152,897')
('SU002916шт', ['7,00', '26.880'], '42,000')
('SU002919шт', ['4,00', '15.384'], '24,000')
('SU002918шт', ['19,00', '72.390'], '114,000')
('SU002808кг', ['2,00', '25.075'], '24,155')
('SU002655кг', ['87,00', '750.387'], '702,363')

