ООО КСК ТРЕЙД Тс150721-24 19.07.2024 Добыш 17121кг.pdf
('SU002828кг', ['9,00', '102.125'], '97,805')
('SU002814шт', ['34,00', '98.600'], '204,000')
('SU002829кг', ['12,00', '135.905'], '130,145')
('SU002829кг', ['16,00', '182.120'], '174,520')
('SU002815шт', ['112,00', '527.520'], '1_120,000')
('SU000722кг', ['1,00', '11.452'], '10,972')
('SU000722кг', ['9,00', '108.456'], '104,136')
('SU001485шт', ['149,00', '631.760'], '1_490,000')
('SU002816шт', ['47,00', '222.780'], '470,000')
('SU002816шт', ['120,00', '565.200'], '1_200,000')
('SU002734шт', ['246,00', '1.166.040'], '2_460,000')
('SU002985шт', ['13,00', '39.728'], '104,000')
('SU001523кг', ['3,00', '26.002'], '24,346')
('SU001523кг', ['18,00', '169.579'], '159,643')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU001718шт', ['328,00', '970.880'], '1_968,000')
('SU001354шт', ['9,00', '29.448'], '54,000')
('SU001721кг', ['1,00', '8.628'], '8,076')
('SU001721кг', ['43,00', '371.212'], '347,476')
('SU001720шт', ['367,00', '1.086.320'], '2_202,000')
('SU002876кг', ['5,00', '22.981'], '21,801')
('SU002660шт', ['32,00', '71.936'], '192,000')
('SU002877шт', ['34,00', '76.432'], '204,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['26,00', '134.483'], '127,463')
('SU002945кг', ['43,00', '221.271'], '209,661')
('SU002725кг', ['16,00', '142.304'], '133,472')
('SU002801шт', ['59,00', '156.232'], '354,000')
('SU002799шт', ['117,00', '310.518'], '702,000')
('SU002842шт', ['352,00', '936.320'], '2_112,000')
('SU002618шт', ['325,00', '864.500'], '1_950,000')
('SU002686шт', ['50,00', '133.600'], '300,000')
('SU002844шт', ['67,00', '178.220'], '402,000')
('SU002759шт', ['17,00', '45.220'], '102,000')
('SU002617шт', ['100,00', '224.800'], '600,000')
('SU003273кг', ['19,00', '227.930'], '219,260')
('SU003274шт', ['6,00', '25.440'], '60,000')
('SU000227кг', ['7,00', '59.250'], '55,386')
('SU001430кг', ['11,00', '90.205'], '84,133')
('SU002252шт', ['25,00', '51.200'], '150,000')
('SU003167шт', ['350,00', '823.900'], '2_100,000')
('SU003168шт', ['534,00', '1.260.240'], '3_204,000')
('SU003420кг', ['91,00', '1.464.440'], '1_421,215')
('SU003422кг', ['20,00', '319.100'], '309,600')
('SU003423кг', ['20,00', '320.360'], '310,860')
('SU000246кг', ['8,00', '70.224'], '65,808')
('SU002287кг', ['11,00', '95.793'], '89,721')
('SU002476шт', ['14,00', '40.600'], '84,000')
('SU003035шт', ['15,00', '29.100'], '90,000')
('SU002538шт', ['50,00', '112.400'], '300,000')
('SU002602шт', ['9,00', '20.178'], '54,000')
('SU002606шт', ['25,00', '56.050'], '150,000')
('SU003277шт', ['15,00', '20.100'], '300,000')
('SU003281шт', ['9,00', '13.140'], '108,000')
('SU002604шт', ['6,00', '13.488'], '36,000')
('SU002604шт', ['43,00', '96.406'], '258,000')
('SU003314шт', ['3,00', '9.540'], '60,000')
('SU003345шт', ['9,00', '12.240'], '54,000')
('SU002011кг', ['14,00', '79.390'], '74,350')
('SU002010кг', ['16,00', '90.130'], '84,530')
('SU002632шт', ['12,00', '46.080'], '72,000')
('SU002631шт', ['7,00', '26.880'], '42,000')
('SU002035кг', ['19,00', '106.705'], '99,865')
('SU002150кг', ['7,00', '39.350'], '36,900')
('SU002151кг', ['24,00', '135.567'], '126,063')
('SU002916шт', ['20,00', '76.800'], '120,000')
('SU002918шт', ['12,00', '46.152'], '72,000')
('SU003290кг', ['19,00', '218.120'], '209,570')
('SU002807кг', ['11,00', '138.550'], '133,490')
('SU002808кг', ['18,00', '222.105'], '214,005')
('SU003289кг', ['13,00', '146.665'], '140,425')
('SU003296шт', ['20,00', '84.800'], '200,000')
('SU002974шт', ['20,00', '84.800'], '200,000')
('SU003295шт', ['12,00', '50.880'], '120,000')
('SU002806кг', ['19,00', '213.435'], '204,695')
('SU003398кг', ['14,00', '157.935'], '151,635')
('SU003298шт', ['15,00', '63.600'], '150,000')
('SU002805кг', ['32,00', '152.762'], '145,210')
('SU002809кг', ['32,00', '152.388'], '144,836')
('SU002856шт', ['34,00', '61.540'], '204,000')
('SU002655кг', ['25,00', '218.040'], '204,240')
('SU002970кг', ['17,00', '143.159'], '133,979')
('SU002971кг', ['17,00', '144.070'], '135,910')

