ООО ЛП Тс149883-24 19.07.2024 Юсупов 6900кг.pdf Пушкарный+
('SU001340кг', ['280,00', '2.455.803'], '2_299,563')
('SU001340кг', ['566,00', '4.920.204'], '4_600,980')

ООО ЛП Тс149888-24 19.07.2024 Юсупов 5257кг.pdf Сочи+
('SU002050уп', ['9,00', '7.740'], '108,000')
('SU002828кг', ['12,00', '136.177'], '130,417')
('SU002814шт', ['50,00', '145.000'], '300,000')
('SU002815шт', ['20,00', '94.200'], '200,000')
('SU000722кг', ['3,00', '34.387'], '32,947')
('SU000722кг', ['17,00', '203.000'], '195,350')
('SU000125шт', ['10,00', '32.000'], '60,000')
('SU001485шт', ['60,00', '254.400'], '600,000')
('SU002312шт', ['50,00', '212.000'], '500,000')
('SU002816шт', ['50,00', '235.500'], '500,000')
('SU002734шт', ['50,00', '237.000'], '500,000')
('SU002985шт', ['19,00', '58.064'], '152,000')
('SU001523кг', ['2,00', '18.151'], '17,047')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU001718шт', ['100,00', '296.000'], '600,000')
('SU003313шт', ['7,00', '14.504'], '42,000')
('SU002825шт', ['7,00', '14.462'], '42,000')
('SU001720шт', ['100,00', '296.000'], '600,000')
('SU002660шт', ['6,00', '13.488'], '36,000')
('SU002848шт', ['10,00', '22.360'], '60,000')
('SU002941кг', ['37,00', '187.348'], '177,358')
('SU002801шт', ['30,00', '79.440'], '180,000')
('SU002799шт', ['30,00', '79.620'], '180,000')
('SU002621шт', ['60,00', '159.600'], '360,000')
('SU003266шт', ['5,00', '21.200'], '50,000')
('SU003276шт', ['3,00', '11.820'], '30,000')
('SU003272шт', ['20,00', '84.200'], '200,000')
('SU003393шт', ['3,00', '12.720'], '30,000')
('SU001820кг', ['11,00', '48.568'], '45,972')
('SU001822кг', ['52,00', '238.106'], '225,834')
('SU002579шт', ['20,00', '44.960'], '120,000')
('SU001340кг', ['93,00', '808.918'], '756,466')
('SU000227кг', ['8,00', '68.703'], '64,287')
('SU001921кг', ['5,00', '15.380'], '14,220')
('SU001869шт', ['1,00', '2.810'], '15,000')
('SU002368шт', ['10,00', '22.000'], '200,000')
('SU001835кг', ['3,00', '24.672'], '23,016')
('SU003167шт', ['73,00', '171.404'], '438,000')
('SU003168шт', ['26,00', '61.360'], '156,000')
('SU002092шт', ['3,00', '8.430'], '45,000')
('SU003422кг', ['5,00', '80.540'], '78,165')
('SU003423кг', ['7,00', '112.205'], '108,880')
('SU003421шт', ['2,00', '10.420'], '20,000')
('SU000126кг', ['29,00', '445.970'], '432,920')
('SU002027шт', ['2,00', '8.480'], '20,000')
('SU002074кг', ['13,00', '112.114'], '104,938')
('SU003035шт', ['11,00', '21.340'], '66,000')
('SU002538шт', ['20,00', '44.960'], '120,000')
('SU002606шт', ['20,00', '44.960'], '120,000')
('SU003277шт', ['13,00', '17.420'], '260,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU003281шт', ['13,00', '18.980'], '156,000')
('SU003314шт', ['3,00', '9.540'], '60,000')
('SU002916шт', ['2,00', '7.680'], '12,000')
('SU002918шт', ['7,00', '26.814'], '42,000')
('SU002809кг', ['23,00', '110.264'], '104,836')

ООО ЛП Тс149882-24 19.07.2024 Юсупов 5069кг.pdf Кумыкова+
('SU002828кг', ['14,00', '159.205'], '152,485')
('SU002814шт', ['19,00', '55.100'], '114,000')
('SU002829кг', ['32,00', '373.905'], '358,705')
('SU002815шт', ['20,00', '94.200'], '200,000')
('SU000124кг', ['5,00', '59.383'], '56,983')
('SU000722кг', ['19,00', '215.957'], '206,837')
('SU002830кг', ['7,00', '78.205'], '74,845')
('SU001485шт', ['10,00', '42.400'], '100,000')
('SU002816шт', ['12,00', '56.520'], '120,000')
('SU000664кг', ['12,00', '36.953'], '34,073')
('SU002985шт', ['4,00', '12.224'], '32,000')
('SU001523кг', ['9,00', '81.393'], '76,425')
('SU002984шт', ['4,00', '11.584'], '32,000')
('SU001718шт', ['4,00', '11.840'], '24,000')
('SU001721кг', ['13,00', '113.662'], '106,486')
('SU001720шт', ['4,00', '11.840'], '24,000')
('SU003427кг', ['10,00', '95.608'], '89,708')
('SU002660шт', ['9,00', '20.232'], '54,000')
('SU002945кг', ['5,00', '25.432'], '24,082')
('SU002617шт', ['9,00', '20.232'], '54,000')
('SU001822кг', ['4,00', '18.247'], '17,303')
('SU002579шт', ['5,00', '11.240'], '30,000')
('SU001340кг', ['44,00', '382.430'], '357,614')
('SU001920кг', ['3,00', '9.552'], '8,808')
('SU001869шт', ['3,00', '8.430'], '45,000')
('SU003168шт', ['9,00', '21.240'], '54,000')
('SU003420кг', ['36,00', '580.790'], '563,690')
('SU003422кг', ['7,00', '112.920'], '109,595')
('SU003423кг', ['17,00', '272.985'], '264,910')
('SU003426шт', ['25,00', '105.250'], '250,000')
('SU000126кг', ['21,00', '323.520'], '314,070')
('SU003425кг', ['47,00', '588.770'], '567,810')
('SU003424кг', ['10,00', '113.080'], '108,280')
('SU002360кг', ['8,00', '36.402'], '34,418')
('SU002074кг', ['93,00', '808.772'], '757,436')
('SU002205шт', ['59,00', '156.232'], '354,000')
('SU002614кг', ['10,00', '45.187'], '42,707')
('SU002613кг', ['5,00', '22.771'], '21,531')
('SU002538шт', ['9,00', '20.232'], '54,000')
('SU002612кг', ['4,00', '18.182'], '17,238')
('SU002035кг', ['11,00', '61.650'], '57,690')
('SU002151кг', ['6,00', '33.835'], '31,675')

