ООО КСК ТРЕЙД Тс157504-24 28.07.2024 Добрилко 13040кг.pdf
('SU002763шт', ['154,00', '258.720'], '924,000')
('SU002345шт', ['36,00', '225.720'], '288,000')
('SU002914шт', ['20,00', '31.800'], '120,000')
('SU002915шт', ['30,00', '47.700'], '180,000')
('SU002771шт', ['12,00', '85.320'], '192,000')
('SU002708шт', ['60,00', '445.800'], '480,000')
('SU002707шт', ['48,00', '341.280'], '768,000')
('SU002838шт', ['36,00', '267.480'], '288,000')
('SU002625шт', ['24,00', '170.640'], '384,000')
('SU002624шт', ['36,00', '267.480'], '288,000')
('SU002798кг', ['36,00', '104.400'], '97,200')
('SU002595кг', ['120,00', '625.560'], '600,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002568шт', ['42,00', '160.440'], '504,000')
('SU000419шт', ['84,00', '320.880'], '1_008,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['28,00', '106.960'], '336,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU002626шт', ['72,00', '511.920'], '1_152,000')
('SU002627шт', ['156,00', '1.159.080'], '1_248,000')
('SU002622шт', ['72,00', '511.920'], '1_152,000')
('SU002623шт', ['240,00', '2.224.800'], '1_920,000')
('SU002731шт', ['36,00', '238.680'], '288,000')
('SU002562шт', ['42,00', '135.240'], '504,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['140,00', '450.800'], '1_680,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002314кг', ['12,00', '62.400'], '60,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU002516шт', ['112,00', '360.640'], '1_344,000')
('SU002514шт', ['140,00', '450.800'], '1_680,000')
('SU003001шт', ['70,00', '225.400'], '840,000')
('SU002920шт', ['96,00', '559.680'], '768,000')
('SU003077шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['60,00', '445.800'], '480,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003319шт', ['12,00', '86.760'], '120,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003020кг', ['31,00', '193.130'], '186,000')
('SU003020кг', ['5,00', '31.150'], '30,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['12,00', '62.760'], '60,000')
('SU003025кг', ['42,00', '101.640'], '94,080')
('SU003448кг', ['70,00', '222.600'], '210,000')
('SU003013кг', ['24,00', '137.520'], '132,000')

ООО КСК ТРЕЙД Тс157258-24 28.07.2024 Добрилко 163кг.pdf
('SU002593шт', ['20,00', '37.200'], '120,000')
('SU002565шт', ['1,00', '3.220'], '12,000')
('SU002565шт', ['18,00', '57.960'], '216,000')
('SU002082шт', ['9,00', '15.120'], '54,000')
('SU002559шт', ['2,00', '7.640'], '24,000')
('SU003379шт', ['1,00', '2.800'], '9,000')
('SU000419шт', ['10,00', '38.200'], '120,000')
('SU003016кг', ['2,00', '7.760'], '7,400')
('SU003017кг', ['1,00', '3.880'], '3,700')
('SU003373шт', ['1,00', '1.350'], '6,000')
('SU002082шт', ['1,00', '1.680'], '6,000')
('SU003023кг', ['1,00', '3.880'], '3,700')

ООО КСК ТРЕЙД Тс157273-24 28.07.2024 Добрилко 81кг.pdf
('SU002333шт', ['7,00', '15.540'], '42,000')
('SU002593шт', ['1,00', '1.860'], '6,000')
('SU002763шт', ['1,00', '1.680'], '6,000')
('SU002761шт', ['1,00', '1.680'], '6,000')
('SU003001шт', ['1,00', '3.220'], '12,000')
('SU002761шт', ['5,00', '8.400'], '30,000')
('SU003194шт', ['1,00', '3.220'], '12,000')
('SU002669шт', ['1,00', '3.700'], '12,000')
('SU002474шт', ['1,00', '1.920'], '6,000')
('SU002084шт', ['1,00', '1.680'], '6,000')
('SU003021кг', ['1,00', '3.180'], '3,000')
('SU003023кг', ['2,00', '7.760'], '7,400')
('SU000419шт', ['4,00', '15.280'], '48,000')
('SU002086шт', ['2,00', '3.960'], '12,000')
('SU002076шт', ['1,00', '1.980'], '6,000')
('SU000419шт', ['2,00', '7.640'], '24,000')
('SU003016кг', ['1,00', '3.880'], '3,700')
('SU003011кг', ['1,00', '2.880'], '2,700')
('SU002915шт', ['1,00', '1.590'], '6,000')

ООО КСК ТРЕЙД Тс157273-24 28.07.2024 Добрилко 81кг.pdf
('SU002333шт', ['7,00', '15.540'], '42,000')
('SU002593шт', ['1,00', '1.860'], '6,000')
('SU002763шт', ['1,00', '1.680'], '6,000')
('SU002761шт', ['1,00', '1.680'], '6,000')
('SU003001шт', ['1,00', '3.220'], '12,000')
('SU002761шт', ['5,00', '8.400'], '30,000')
('SU003194шт', ['1,00', '3.220'], '12,000')
('SU002669шт', ['1,00', '3.700'], '12,000')
('SU002474шт', ['1,00', '1.920'], '6,000')
('SU002084шт', ['1,00', '1.680'], '6,000')
('SU003021кг', ['1,00', '3.180'], '3,000')
('SU003023кг', ['2,00', '7.760'], '7,400')
('SU000419шт', ['4,00', '15.280'], '48,000')
('SU002086шт', ['2,00', '3.960'], '12,000')
('SU002076шт', ['1,00', '1.980'], '6,000')
('SU000419шт', ['2,00', '7.640'], '24,000')
('SU003016кг', ['1,00', '3.880'], '3,700')
('SU003011кг', ['1,00', '2.880'], '2,700')
('SU002915шт', ['1,00', '1.590'], '6,000')

ООО КСК ТРЕЙД Тс157281-24 28.07.2024 Добрилко 57кг.pdf
('SU002334шт', ['1,00', '1.980'], '6,000')
('SU002668шт', ['3,00', '6.300'], '18,000')
('SU002083шт', ['5,00', '8.400'], '30,000')
('SU003090шт', ['1,00', '1.680'], '6,000')
('SU002082шт', ['2,00', '3.360'], '12,000')
('SU002077шт', ['6,00', '11.880'], '36,000')
('SU003019кг', ['1,00', '3.880'], '3,700')
('SU002079шт', ['1,00', '1.680'], '6,000')
('SU002573шт', ['1,00', '2.340'], '24,000')
('SU002712шт', ['4,00', '6.360'], '24,000')
('SU002914шт', ['7,00', '11.130'], '42,000')
('SU002915шт', ['6,00', '9.540'], '36,000')

ООО КСК ТРЕЙД Тс157273-24 28.07.2024 Добрилко 81кг.pdf
('SU002333шт', ['7,00', '15.540'], '42,000')
('SU002593шт', ['1,00', '1.860'], '6,000')
('SU002763шт', ['1,00', '1.680'], '6,000')
('SU002761шт', ['1,00', '1.680'], '6,000')
('SU003001шт', ['1,00', '3.220'], '12,000')
('SU002761шт', ['5,00', '8.400'], '30,000')
('SU003194шт', ['1,00', '3.220'], '12,000')
('SU002669шт', ['1,00', '3.700'], '12,000')
