ООО ЛП Тс155077-24 26.07.2024 Халимбеков 3502кг.pdf Пушкарный
('SU001340кг', ['15,00', '128.410'], '120,040')
('SU001340кг', ['449,00', '3.635.388'], '3_382,152')

ООО ЛП Тс155117-24 26.07.2024 Халимбеков 5238кг.pdf Коныгин
('SU002828кг', ['14,00', '157.579'], '151,179')
('SU000722кг', ['7,00', '83.890'], '80,530')
('SU001485шт', ['5,00', '21.200'], '50,000')
('SU001523кг', ['12,00', '109.311'], '102,687')
('SU003392кг', ['4,00', '44.846'], '42,926')
('SU001820кг', ['18,00', '79.680'], '75,432')
('SU001822кг', ['5,00', '22.679'], '21,403')
('SU001340кг', ['122,00', '980.008'], '911,200')
('SU000227кг', ['13,00', '109.691'], '102,515')
('SU001921кг', ['2,00', '6.192'], '5,728')
('SU003387кг', ['1,00', '11.190'], '10,710')
('SU003388шт', ['6,00', '25.440'], '60,000')
('SU001835кг', ['9,00', '78.499'], '73,423')
('SU003420кг', ['71,00', '1.144.790'], '1_111,065')
('SU003422кг', ['9,00', '144.805'], '140,530')
('SU003423кг', ['5,00', '79.305'], '76,930')
('SU000126кг', ['47,00', '727.535'], '704,975')
('SU002360кг', ['16,00', '73.471'], '69,695')
('SU002074кг', ['20,00', '173.417'], '162,617')
('SU002614кг', ['12,00', '54.588'], '51,612')
('SU002615кг', ['6,00', '27.393'], '25,905')
('SU002613кг', ['54,00', '245.710'], '232,642')
('SU002612кг', ['10,00', '44.740'], '42,260')
('SU002634кг', ['90,00', '489.920'], '458,420')
('SU002010кг', ['25,00', '141.220'], '132,470')
('SU002035кг', ['38,00', '214.793'], '201,483')
('SU002150кг', ['3,00', '16.850'], '15,800')
('SU002158кг', ['18,00', '101.792'], '95,312')
('SU002808кг', ['3,00', '37.535'], '36,095')
('SU002809кг', ['13,00', '62.302'], '59,078')

ООО ЛП Тс155139-24 26.07.2024 Халимбеков 8236кг.pdf Сочи
('SU002828кг', ['29,00', '326.085'], '312,765')
('SU002814шт', ['49,00', '142.100'], '294,000')
('SU002829кг', ['17,00', '196.475'], '188,400')
('SU002815шт', ['84,00', '398.160'], '840,000')
('SU002830кг', ['8,00', '90.285'], '86,445')
('SU000125шт', ['24,00', '76.800'], '144,000')
('SU001485шт', ['84,00', '356.160'], '840,000')
('SU002312шт', ['12,00', '50.880'], '120,000')
('SU002816шт', ['74,00', '350.760'], '740,000')
('SU002816шт', ['10,00', '47.400'], '100,000')
('SU002983шт', ['12,00', '40.800'], '96,000')
('SU003582шт', ['36,00', '170.640'], '360,000')
('SU003037шт', ['6,00', '15.000'], '48,000')
('SU002985шт', ['8,00', '24.448'], '64,000')
('SU001523кг', ['3,00', '27.455'], '25,799')
('SU001527шт', ['6,00', '19.848'], '36,000')
('SU002984шт', ['36,00', '104.256'], '288,000')
('SU001718шт', ['96,00', '284.160'], '576,000')
('SU003313шт', ['7,00', '14.504'], '42,000')
('SU001354шт', ['36,00', '117.792'], '216,000')
('SU002825шт', ['7,00', '14.462'], '42,000')
('SU001720шт', ['55,00', '162.800'], '330,000')
('SU001720шт', ['41,00', '121.360'], '246,000')
('SU002660шт', ['37,00', '83.176'], '222,000')
('SU002848шт', ['37,00', '82.732'], '222,000')
('SU002941кг', ['15,00', '77.783'], '73,733')
('SU002943кг', ['15,00', '76.672'], '72,622')
('SU002725кг', ['17,00', '152.128'], '142,744')
('SU002801шт', ['25,00', '66.200'], '150,000')
('SU002799шт', ['36,00', '95.544'], '216,000')
('SU002618шт', ['129,00', '343.140'], '774,000')
('SU002621шт', ['36,00', '95.976'], '216,000')
('SU002758шт', ['13,00', '34.580'], '78,000')
('SU002617шт', ['37,00', '83.176'], '222,000')
('SU003271кг', ['1,00', '12.112'], '11,632')
('SU003274шт', ['24,00', '101.760'], '240,000')
('SU003276шт', ['2,00', '7.880'], '20,000')
('SU001822кг', ['94,00', '426.535'], '403,127')
('SU002579шт', ['19,00', '42.712'], '114,000')
('SU001340кг', ['106,00', '877.574'], '817,790')
('SU003333шт', ['36,00', '117.792'], '216,000')
('SU000227кг', ['24,00', '203.032'], '189,784')
('SU001869шт', ['13,00', '36.530'], '195,000')
('SU002841шт', ['5,00', '11.150'], '100,000')
('SU002368шт', ['4,00', '8.800'], '80,000')
('SU002252шт', ['13,00', '26.624'], '78,000')
('SU001835кг', ['4,00', '35.746'], '33,490')
('SU003167шт', ['97,00', '227.756'], '582,000')
('SU003168шт', ['24,00', '56.640'], '144,000')
('SU003420кг', ['62,00', '997.925'], '968,475')
('SU003422кг', ['5,00', '80.395'], '78,020')
('SU003423кг', ['8,00', '128.040'], '124,240')
('SU003421шт', ['2,00', '10.420'], '20,000')
('SU000126кг', ['33,00', '508.360'], '492,520')
('SU002027шт', ['1,00', '4.240'], '10,000')
('SU002074кг', ['7,00', '60.563'], '56,783')
('SU002205шт', ['25,00', '66.200'], '150,000')
('SU003035шт', ['12,00', '23.280'], '72,000')
('SU002602шт', ['10,00', '22.420'], '60,000')
('SU003277шт', ['10,00', '13.400'], '200,000')
('SU003278шт', ['5,00', '6.700'], '100,000')
('SU002916шт', ['12,00', '46.080'], '72,000')
('SU002918шт', ['12,00', '46.008'], '72,000')
('SU002809кг', ['45,00', '216.579'], '205,419')

