ООО НВ Тс157713-24 30.07.2024 Гулаков 5298кг.pdf Луганск+
('SU002762шт', ['42,00', '70.560'], '252,000')
('SU002763шт', ['168,00', '282.240'], '1_008,000')
('SU002760шт', ['56,00', '94.080'], '336,000')
('SU002914шт', ['10,00', '15.900'], '60,000')
('SU002915шт', ['50,00', '79.500'], '300,000')
('SU002707шт', ['12,00', '85.320'], '192,000')
('SU002838шт', ['12,00', '89.160'], '96,000')
('SU002624шт', ['36,00', '267.480'], '288,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['70,00', '267.400'], '840,000')
('SU000419шт', ['126,00', '481.320'], '1_512,000')
('SU002572шт', ['42,00', '160.440'], '504,000')
('SU002559шт', ['84,00', '320.880'], '1_008,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU002558шт', ['42,00', '160.440'], '420,000')
('SU002623шт', ['36,00', '333.720'], '288,000')
('SU002562шт', ['140,00', '450.800'], '1_680,000')
('SU002561шт', ['84,00', '270.480'], '1_008,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU002565шт', ['42,00', '135.240'], '504,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['56,00', '180.320'], '672,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003439кг', ['182,00', '706.160'], '673,400')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003020кг', ['23,00', '143.290'], '138,000')
('SU003020кг', ['1,00', '6.230'], '6,000')
('SU003448кг', ['70,00', '222.600'], '210,000')
('SU003013кг', ['36,00', '206.280'], '198,000')

ООО НВ Тс157703-24 30.07.2024 Гулаков 1735кг.pdf Донецк+
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002345шт', ['24,00', '150.480'], '192,000')
('SU002914шт', ['10,00', '15.900'], '60,000')
('SU002838шт', ['24,00', '178.320'], '192,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002626шт', ['12,00', '85.320'], '192,000')
('SU002562шт', ['14,00', '45.080'], '168,000')
('SU002561шт', ['13,00', '41.860'], '156,000')
('SU002561шт', ['1,00', '3.220'], '12,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU002565шт', ['21,00', '67.620'], '252,000')
('SU002565шт', ['7,00', '22.540'], '84,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003024кг', ['90,00', '171.000'], '162,000')
('SU003020кг', ['10,00', '62.300'], '60,000')
('SU003020кг', ['2,00', '12.460'], '12,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ Тс157708-24 30.07.2024 Гулаков 3868кг.pdf Бердянск+
('SU002763шт', ['70,00', '117.600'], '420,000')
('SU002760шт', ['14,00', '23.520'], '84,000')
('SU002624шт', ['72,00', '534.960'], '576,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002568шт', ['28,00', '106.960'], '336,000')
('SU000419шт', ['28,00', '106.960'], '336,000')
('SU002572шт', ['28,00', '106.960'], '336,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002627шт', ['24,00', '178.320'], '192,000')
('SU002622шт', ['12,00', '85.320'], '192,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU002565шт', ['42,00', '135.240'], '504,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['36,00', '188.280'], '180,000')
('SU003020кг', ['10,00', '62.300'], '60,000')
('SU003020кг', ['50,00', '311.500'], '300,000')
('SU003010кг', ['156,00', '815.880'], '780,000')

