ООО НВ Тс163686-24 05.08.2024 Сарамурзаев 3990кг.pdf Мелитополь
('SU002595кг', ['192,00', '1.000.896'], '960,000')
('SU000197кг', ['216,00', '1.123.200'], '1_080,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003020кг', ['200,00', '1.246.000'], '1_200,000')
('SU003013кг', ['60,00', '343.800'], '330,000')

ООО НВ Тс163698-24 05.08.2024 Сарамурзаев 2540кг.pdf Донецк
('SU002762шт', ['42,00', '70.560'], '252,000')
('SU002761шт', ['28,00', '47.040'], '168,000')
('SU002763шт', ['42,00', '70.560'], '252,000')
('SU002838шт', ['24,00', '178.320'], '192,000')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['14,00', '53.480'], '168,000')
('SU000419шт', ['14,00', '53.480'], '168,000')
('SU002559шт', ['28,00', '106.960'], '336,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU002562шт', ['14,00', '45.080'], '168,000')
('SU002562шт', ['14,00', '45.080'], '168,000')
('SU002561шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU002516шт', ['56,00', '180.320'], '672,000')
('SU002514шт', ['42,00', '135.240'], '504,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003065шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003010кг', ['24,00', '125.520'], '120,000')

ООО НВ Тс163691-24 05.08.2024 Сарамурзаев 6189кг.pdf Бердянск
('SU002762шт', ['14,00', '23.520'], '84,000')
('SU002761шт', ['84,00', '141.120'], '504,000')
('SU002763шт', ['14,00', '23.520'], '84,000')
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['156,00', '813.228'], '780,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002568шт', ['56,00', '213.920'], '672,000')
('SU000419шт', ['14,00', '53.480'], '168,000')
('SU002572шт', ['28,00', '106.960'], '336,000')
('SU002559шт', ['84,00', '320.880'], '1_008,000')
('SU002571шт', ['42,00', '170.520'], '336,000')
('SU002622шт', ['12,00', '85.320'], '192,000')
('SU002623шт', ['72,00', '667.440'], '576,000')
('SU002562шт', ['84,00', '270.480'], '1_008,000')
('SU002561шт', ['16,00', '51.520'], '192,000')
('SU002561шт', ['40,00', '128.800'], '480,000')
('SU002565шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['72,00', '419.760'], '576,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['60,00', '313.800'], '300,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003454кг', ['70,00', '271.600'], '259,000')

