ООО КСК ТРЕЙД Тс176558-24 18.08.2024 Кива 16999кг.pdf
('SU000722кг', ['14,00', '167.345'], '160,625')
('SU001485шт', ['90,00', '381.600'], '900,000')
('SU002829кг', ['19,00', '220.970'], '211,945')
('SU002815шт', ['100,00', '474.000'], '1_000,000')
('SU002828кг', ['8,00', '89.630'], '86,030')
('SU002814шт', ['84,00', '243.600'], '504,000')
('SU002830кг', ['29,00', '323.069'], '309,689')
('SU003584шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['15,00', '139.520'], '131,240')
('SU001718шт', ['167,00', '494.320'], '1_002,000')
('SU002734шт', ['110,00', '521.400'], '1_100,000')
('SU001721кг', ['68,00', '648.228'], '610,692')
('SU001720шт', ['167,00', '494.320'], '1_002,000')
('SU003336шт', ['22,00', '45.584'], '132,000')
('SU002367шт', ['27,00', '61.776'], '162,000')
('SU000125шт', ['12,00', '38.400'], '72,000')
('SU001351кг', ['9,00', '73.975'], '69,115')
('SU001354шт', ['5,00', '16.360'], '30,000')
('SU002756кг', ['12,00', '53.362'], '50,530')
('SU002876кг', ['15,00', '67.659'], '63,939')
('SU002847кг', ['22,00', '100.065'], '94,609')
('SU002660шт', ['41,00', '92.168'], '246,000')
('SU002877шт', ['67,00', '150.616'], '402,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['34,00', '174.835'], '165,655')
('SU002943кг', ['26,00', '133.741'], '126,721')
('SU002945кг', ['53,00', '269.483'], '255,173')
('SU002947кг', ['28,00', '144.161'], '136,601')
('SU002725кг', ['29,00', '270.001'], '253,993')
('SU002842шт', ['134,00', '356.440'], '804,000')
('SU002618шт', ['167,00', '445.222'], '1_002,000')
('SU002686шт', ['50,00', '133.600'], '300,000')
('SU002844шт', ['134,00', '356.440'], '804,000')
('SU002759шт', ['20,00', '53.200'], '120,000')
('SU002758шт', ['14,00', '37.240'], '84,000')
('SU003266шт', ['3,00', '12.720'], '30,000')
('SU003274шт', ['10,00', '42.310'], '100,000')
('SU003272шт', ['30,00', '126.300'], '300,000')
('SU002801шт', ['50,00', '132.400'], '300,000')
('SU002799шт', ['73,00', '193.304'], '438,000')
('SU002799шт', ['77,00', '204.358'], '462,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU001051кг', ['4,00', '33.601'], '31,393')
('SU000227кг', ['26,00', '219.672'], '205,320')
('SU001430кг', ['3,00', '26.720'], '25,064')
('SU002841шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['22,00', '45.056'], '132,000')
('SU003167шт', ['167,00', '392.116'], '1_002,000')
('SU003168шт', ['84,00', '198.240'], '504,000')
('SU003422кг', ['52,00', '836.495'], '811,795')
('SU003423кг', ['46,00', '738.100'], '716,250')
('SU003420кг', ['100,00', '1.613.605'], '1_566,105')
('SU000126кг', ['114,00', '1.764.813'], '1_710,093')
('SU002287кг', ['7,00', '58.313'], '54,449')
('SU002074кг', ['4,00', '34.820'], '32,612')
('SU002614кг', ['15,00', '68.450'], '65,000')
('SU002613кг', ['17,00', '77.313'], '73,097')
('SU002538шт', ['45,00', '100.890'], '270,000')
('SU002602шт', ['9,00', '20.178'], '54,000')
('SU002606шт', ['34,00', '76.432'], '204,000')
('SU003035шт', ['84,00', '162.960'], '504,000')
('SU003278шт', ['10,00', '13.400'], '200,000')
('SU002612кг', ['17,00', '76.769'], '72,553')
('SU002604шт', ['15,00', '33.720'], '90,000')
('SU003345шт', ['12,00', '16.320'], '72,000')
('SU003342шт', ['30,00', '40.800'], '180,000')
('SU002011кг', ['19,00', '107.070'], '100,230')
('SU002010кг', ['35,00', '197.630'], '185,380')
('SU002634кг', ['20,00', '110.280'], '103,280')
('SU002632шт', ['25,00', '96.000'], '150,000')
('SU002631шт', ['100,00', '384.000'], '600,000')
('SU002035кг', ['30,00', '168.339'], '157,539')
('SU002150кг', ['10,00', '56.400'], '52,900')
('SU002158кг', ['12,00', '67.585'], '63,265')
('SU002151кг', ['14,00', '78.914'], '73,454')
('SU002916шт', ['15,00', '57.600'], '90,000')
('SU002919шт', ['5,00', '19.050'], '30,000')
('SU002918шт', ['14,00', '53.340'], '84,000')
('SU002808кг', ['5,00', '62.590'], '60,315')
('SU003296шт', ['1,00', '4.240'], '10,000')
('SU002974шт', ['1,00', '4.240'], '10,000')
('SU003295шт', ['1,00', '4.240'], '10,000')
('SU003298шт', ['1,00', '4.240'], '10,000')
('SU002805кг', ['3,00', '14.282'], '13,538')
('SU002809кг', ['3,00', '14.395'], '13,651')
('SU002856шт', ['2,00', '3.620'], '12,000')
('SU002655кг', ['117,00', '1.017.451'], '952,867')

