ООО КСК ТРЕЙД Тс176859-24 20.08.2024 Гусейнов 17328кг.pdf
('SU000722кг', ['14,00', '157.710'], '150,990')
('SU001485шт', ['56,00', '237.440'], '560,000')
('SU002829кг', ['28,00', '324.475'], '311,175')
('SU002815шт', ['90,00', '423.900'], '900,000')
('SU002828кг', ['10,00', '113.043'], '108,243')
('SU002814шт', ['67,00', '194.300'], '402,000')
('SU002835кг', ['2,00', '12.913'], '12,133')
('SU002835кг', ['4,00', '33.370'], '31,210')
('SU002830кг', ['28,00', '318.396'], '304,956')
('SU003584шт', ['90,00', '423.900'], '900,000')
('SU001523кг', ['18,00', '167.568'], '157,632')
('SU001718шт', ['167,00', '494.320'], '1_002,000')
('SU002928кг', ['6,00', '67.301'], '64,421')
('SU002734шт', ['90,00', '426.600'], '900,000')
('SU001721кг', ['56,00', '501.678'], '470,766')
('SU001720шт', ['167,00', '494.320'], '1_002,000')
('SU003336шт', ['5,00', '10.360'], '30,000')
('SU002367шт', ['17,00', '38.896'], '102,000')
('SU002983шт', ['32,00', '108.800'], '256,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU000125шт', ['14,00', '44.800'], '84,000')
('SU001351кг', ['4,00', '35.856'], '33,696')
('SU001354шт', ['14,00', '45.808'], '84,000')
('SU002756кг', ['12,00', '53.862'], '51,030')
('SU002876кг', ['10,00', '45.504'], '43,144')
('SU002847кг', ['12,00', '54.350'], '51,374')
('SU002660шт', ['59,00', '132.632'], '354,000')
('SU002877шт', ['59,00', '132.632'], '354,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['24,00', '123.407'], '116,927')
('SU002943кг', ['17,00', '87.182'], '82,592')
('SU002945кг', ['43,00', '218.914'], '207,304')
('SU002947кг', ['22,00', '111.957'], '106,017')
('SU002725кг', ['20,00', '187.631'], '176,591')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['167,00', '444.220'], '1_002,000')
('SU002686шт', ['50,00', '133.600'], '300,000')
('SU002844шт', ['117,00', '311.220'], '702,000')
('SU002759шт', ['19,00', '50.540'], '114,000')
('SU002758шт', ['24,00', '63.840'], '144,000')
('SU003265кг', ['9,00', '100.575'], '96,300')
('SU003266шт', ['3,00', '12.720'], '30,000')
('SU003271кг', ['8,00', '95.996'], '92,156')
('SU003274шт', ['8,00', '33.920'], '80,000')
('SU003272шт', ['15,00', '63.150'], '150,000')
('SU002801шт', ['92,00', '243.616'], '552,000')
('SU002799шт', ['150,00', '398.100'], '900,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU001051кг', ['7,00', '59.950'], '56,590')
('SU000227кг', ['39,00', '332.693'], '311,165')
('SU001430кг', ['5,00', '42.687'], '39,927')
('SU001921кг', ['11,00', '35.087'], '32,535')
('SU002092шт', ['27,00', '75.870'], '405,000')
('SU001869шт', ['67,00', '188.270'], '1_005,000')
('SU002841шт', ['15,00', '33.000'], '300,000')
('SU002368шт', ['35,00', '77.000'], '700,000')
('SU002252шт', ['17,00', '34.816'], '102,000')
('SU003167шт', ['250,00', '587.000'], '1_500,000')
('SU003168шт', ['150,00', '354.000'], '900,000')
('SU003422кг', ['65,00', '1.038.980'], '1_008,105')
('SU003423кг', ['66,00', '1.051.105'], '1_019,755')
('SU003420кг', ['109,00', '1.767.450'], '1_715,675')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['94,00', '1.464.850'], '1_422,550')
('SU002027шт', ['2,00', '8.480'], '20,000')
('SU002287кг', ['7,00', '59.751'], '55,887')
('SU003425кг', ['5,00', '63.254'], '60,854')
('SU002074кг', ['4,00', '32.501'], '30,341')
('SU002614кг', ['8,00', '36.398'], '34,462')
('SU002613кг', ['10,00', '45.129'], '42,649')
('SU002538шт', ['34,00', '76.228'], '204,000')
('SU002602шт', ['15,00', '33.720'], '90,000')
('SU002606шт', ['50,00', '112.100'], '300,000')
('SU003035шт', ['67,00', '129.980'], '402,000')
('SU003278шт', ['8,00', '10.720'], '160,000')
('SU002612кг', ['15,00', '67.784'], '64,154')
('SU002604шт', ['10,00', '22.480'], '60,000')
('SU003345шт', ['4,00', '5.440'], '24,000')
('SU003344шт', ['4,00', '5.440'], '24,000')
('SU003342шт', ['12,00', '16.320'], '72,000')
('SU002011кг', ['21,00', '118.925'], '111,365')
('SU002010кг', ['29,00', '163.620'], '153,470')
('SU002634кг', ['15,00', '82.160'], '76,910')
('SU002632шт', ['27,00', '103.680'], '162,000')
('SU002631шт', ['47,00', '180.480'], '282,000')
('SU002035кг', ['21,00', '118.554'], '110,994')
('SU002150кг', ['14,00', '78.910'], '74,010')
('SU002158кг', ['12,00', '67.662'], '63,342')
('SU002151кг', ['25,00', '141.467'], '132,017')
('SU002916шт', ['10,00', '38.400'], '60,000')
('SU002919шт', ['5,00', '19.050'], '30,000')
('SU002918шт', ['14,00', '53.340'], '84,000')
('SU003290кг', ['1,00', '11.400'], '10,920')
('SU002808кг', ['3,00', '37.275'], '35,895')
('SU003296шт', ['1,00', '4.240'], '10,000')
('SU002974шт', ['1,00', '4.240'], '10,000')
('SU003295шт', ['1,00', '4.240'], '10,000')
('SU003398кг', ['1,00', '11.288'], '10,808')
