ООО НВ Тс176852-24 20.08.2024 Сарамурзаев 138кг.pdf
('SU002593шт', ['90,00', '167.400'], '540,000')
('SU002762шт', ['1,00', '1.680'], '6,000')
('SU002515шт', ['1,00', '1.680'], '6,000')

ООО НВ Тс176717-24 20.08.2024 Сарамурзаев 6097кг.pdf Луганск+
('SU002761шт', ['14,00', '23.520'], '84,000')
('SU002760шт', ['10,00', '16.800'], '60,000')
('SU002760шт', ['4,00', '6.720'], '24,000')
('SU002321шт', ['12,00', '75.240'], '96,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002914шт', ['10,00', '15.900'], '60,000')
('SU002708шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['120,00', '625.560'], '600,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['14,00', '53.480'], '168,000')
('SU000419шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['28,00', '106.960'], '336,000')
('SU002559шт', ['28,00', '106.960'], '336,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['48,00', '158.880'], '1_056,000')
('SU002627шт', ['12,00', '89.160'], '96,000')
('SU002623шт', ['36,00', '333.720'], '288,000')
('SU002562шт', ['28,00', '90.160'], '336,000')
('SU002561шт', ['28,00', '90.160'], '336,000')
('SU002565шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['56,00', '180.320'], '672,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['60,00', '313.800'], '300,000')
('SU003021кг', ['14,00', '44.520'], '42,000')
('SU003454кг', ['84,00', '325.920'], '310,800')
('SU003013кг', ['1,00', '5.730'], '5,500')
('SU003013кг', ['59,00', '338.070'], '324,500')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['378,00', '1.466.640'], '1_398,600')

ООО НВ Тс176706-24 20.08.2024 Сарамурзаев 6478кг.pdf Мелитополь +
('SU002763шт', ['126,00', '211.680'], '756,000')
('SU002914шт', ['40,00', '63.600'], '240,000')
('SU002915шт', ['20,00', '31.800'], '120,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU002560шт', ['56,00', '213.920'], '672,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['126,00', '481.320'], '1_512,000')
('SU000419шт', ['56,00', '213.920'], '672,000')
('SU002559шт', ['56,00', '213.920'], '672,000')
('SU002623шт', ['96,00', '889.920'], '768,000')
('SU002562шт', ['56,00', '180.320'], '672,000')
('SU002561шт', ['84,00', '270.480'], '1_008,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['168,00', '873.600'], '840,000')
('SU002516шт', ['42,00', '135.240'], '504,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002268шт', ['156,00', '815.880'], '780,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003010кг', ['144,00', '753.120'], '720,000')
('SU003448кг', ['84,00', '267.120'], '252,000')

ООО НВ Тс176828-24 20.08.2024 Сарамурзаев 164кг.pdf
('SU002176уп', ['2,00', '4.240'], '16,000')
('SU002177уп', ['1,00', '2.120'], '8,000')
('SU002622шт', ['2,00', '14.220'], '32,000')
('SU003024кг', ['1,00', '1.900'], '1,800')
('SU002762шт', ['2,00', '3.360'], '12,000')
('SU003021кг', ['1,00', '3.180'], '3,000')
('SU003023кг', ['1,00', '3.880'], '3,700')
('SU003166кг', ['14,00', '44.520'], '42,000')
('SU002082шт', ['1,00', '1.680'], '6,000')
('SU003383шт', ['1,00', '2.800'], '9,000')
('SU003378шт', ['28,00', '78.400'], '252,000')
('SU002565шт', ['2,00', '6.440'], '24,000')
('SU003010кг', ['1,00', '5.230'], '5,000')
('SU002915шт', ['1,00', '1.590'], '6,000')

