ООО НВ Тс187337-24 01.09.2024 Исаев 1042кг.pdf Донецк+
('SU002763шт', ['28,00', '47.040'], '168,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002626шт', ['12,00', '85.320'], '192,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс187328-24 01.09.2024 Исаев 5471кг.pdf Бердянск +
('SU002763шт', ['80,00', '134.400'], '480,000')
('SU002763шт', ['4,00', '6.720'], '24,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['108,00', '563.004'], '540,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU000419шт', ['14,00', '53.480'], '168,000')
('SU002572шт', ['42,00', '160.440'], '504,000')
('SU002559шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['42,00', '170.520'], '336,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU002626шт', ['12,00', '85.320'], '192,000')
('SU002627шт', ['36,00', '267.480'], '288,000')
('SU002622шт', ['24,00', '170.640'], '384,000')
('SU002623шт', ['60,00', '556.200'], '480,000')
('SU002562шт', ['14,00', '45.080'], '168,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['42,00', '135.240'], '504,000')
('SU000197кг', ['168,00', '873.600'], '840,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003010кг', ['108,00', '564.840'], '540,000')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ Тс187321-24 01.09.2024 Исаев 6411кг.pdf Луганск+
('SU002762шт', ['56,00', '94.080'], '336,000')
('SU002763шт', ['84,00', '141.120'], '504,000')
('SU002345шт', ['11,00', '68.970'], '88,000')
('SU002914шт', ['30,00', '47.700'], '180,000')
('SU002771шт', ['36,00', '255.960'], '576,000')
('SU002708шт', ['48,00', '356.640'], '384,000')
('SU002707шт', ['12,00', '85.320'], '192,000')
('SU002838шт', ['48,00', '356.640'], '384,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU002568шт', ['28,00', '106.960'], '336,000')
('SU000419шт', ['42,00', '160.440'], '504,000')
('SU002559шт', ['42,00', '160.440'], '504,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['60,00', '198.600'], '1_320,000')
('SU002626шт', ['36,00', '255.960'], '576,000')
('SU002627шт', ['36,00', '267.480'], '288,000')
('SU002622шт', ['48,00', '341.280'], '768,000')
('SU002623шт', ['72,00', '667.440'], '576,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002562шт', ['14,00', '45.080'], '168,000')
('SU002561шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002669шт', ['28,00', '90.160'], '336,000')
('SU002516шт', ['42,00', '135.240'], '504,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['36,00', '209.880'], '288,000')
('SU003065шт', ['36,00', '209.880'], '288,000')
('SU003067шт', ['48,00', '279.840'], '384,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['90,00', '171.000'], '162,000')
('SU003012кг', ['56,00', '161.280'], '151,200')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003439кг', ['98,00', '380.240'], '362,600')

