ООО НВ Тс192911-24 09.09.2024 Хохлов 4609кг.pdf Донецк +
('SU002763шт', ['56,00', '94.080'], '336,000')
('SU002345шт', ['48,00', '300.960'], '384,000')
('SU002838шт', ['48,00', '356.640'], '384,000')
('SU002595кг', ['108,00', '563.004'], '540,000')
('SU002563шт', ['21,00', '80.220'], '252,000')
('SU002563шт', ['7,00', '26.740'], '84,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['36,00', '119.160'], '792,000')
('SU002626шт', ['24,00', '170.640'], '384,000')
('SU002622шт', ['24,00', '170.640'], '384,000')
('SU002562шт', ['14,00', '45.080'], '168,000')
('SU002561шт', ['11,00', '35.420'], '132,000')
('SU002561шт', ['17,00', '54.740'], '204,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['42,00', '135.240'], '504,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['24,00', '139.920'], '192,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003021кг', ['14,00', '44.520'], '42,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003439кг', ['112,00', '434.560'], '414,400')

ООО НВ Тс192903-24 09.09.2024 Хохлов 3976кг.pdf Бердянск +
('SU002762шт', ['14,00', '23.520'], '84,000')
('SU002763шт', ['70,00', '117.600'], '420,000')
('SU002760шт', ['9,00', '15.120'], '54,000')
('SU002760шт', ['5,00', '8.400'], '30,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002838шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002568шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['14,00', '53.480'], '168,000')
('SU002559шт', ['13,00', '49.660'], '156,000')
('SU002559шт', ['15,00', '57.300'], '180,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU002623шт', ['96,00', '889.920'], '768,000')
('SU002562шт', ['12,00', '38.640'], '144,000')
('SU002562шт', ['2,00', '6.440'], '24,000')
('SU002561шт', ['28,00', '90.160'], '336,000')
('SU002565шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002516шт', ['27,00', '86.940'], '324,000')
('SU002516шт', ['1,00', '3.220'], '12,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003319шт', ['12,00', '86.760'], '120,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003086шт', ['36,00', '224.280'], '216,000')
('SU003024кг', ['17,00', '32.300'], '30,600')
('SU003024кг', ['1,00', '1.900'], '1,800')
('SU003020кг', ['1,00', '6.230'], '6,000')
('SU003020кг', ['11,00', '68.530'], '66,000')
('SU003010кг', ['60,00', '313.800'], '300,000')
('SU003454кг', ['5,00', '19.400'], '18,500')
('SU003454кг', ['9,00', '34.920'], '33,300')
('SU003382шт', ['14,00', '40.320'], '126,000')

ООО НВ Тс192907-24 09.09.2024 Хохлов 3931кг.pdf Луганск +
('SU002762шт', ['14,00', '23.520'], '84,000')
('SU002761шт', ['56,00', '94.080'], '336,000')
('SU002346шт', ['36,00', '225.720'], '288,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002914шт', ['50,00', '79.500'], '300,000')
('SU002915шт', ['50,00', '79.500'], '300,000')
('SU002838шт', ['12,00', '89.160'], '96,000')
('SU002624шт', ['24,00', '178.320'], '192,000')
('SU002568шт', ['14,00', '53.480'], '168,000')
('SU000419шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['14,00', '53.480'], '168,000')
('SU002572шт', ['14,00', '53.480'], '168,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['14,00', '53.480'], '168,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['48,00', '158.880'], '1_056,000')
('SU002562шт', ['28,00', '90.160'], '336,000')
('SU002561шт', ['28,00', '90.160'], '336,000')
('SU002565шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU003001шт', ['10,00', '32.200'], '120,000')
('SU003001шт', ['4,00', '12.880'], '48,000')
('SU003024кг', ['36,00', '68.400'], '64,800')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['60,00', '313.800'], '300,000')
('SU003448кг', ['98,00', '311.640'], '294,000')
('SU003439кг', ['112,00', '434.560'], '414,400')

