ООО ЛП Тс192821-24 10.09.2024 Сарва 17089кг.pdf
('SU001485шт', ['10,00', '42.400'], '100,000')
('SU002815шт', ['22,00', '103.620'], '220,000')
('SU002828кг', ['17,00', '193.800'], '185,640')
('SU002828кг', ['21,00', '237.166'], '227,086')
('SU002830кг', ['24,00', '216.208'], '205,888')
('SU001523кг', ['4,00', '36.191'], '33,983')
('SU001523кг', ['42,00', '393.628'], '370,444')
('SU001718шт', ['134,00', '396.640'], '804,000')
('SU002734шт', ['10,00', '47.400'], '100,000')
('SU002735шт', ['17,00', '44.200'], '102,000')
('SU001720шт', ['267,00', '790.320'], '1_602,000')
('SU000124кг', ['9,00', '107.661'], '103,341')
('SU000125шт', ['17,00', '54.400'], '102,000')
('SU002725кг', ['26,00', '220.498'], '206,458')
('SU002621шт', ['22,00', '58.652'], '132,000')
('SU002621шт', ['312,00', '829.920'], '1_872,000')
('SU002686шт', ['9,00', '24.048'], '54,000')
('SU003427кг', ['6,00', '57.949'], '54,409')
('SU002799шт', ['17,00', '45.118'], '102,000')
('SU001340кг', ['1,00', '8.995'], '8,443')
('SU001340кг', ['13,00', '103.188'], '95,856')
('SU001051кг', ['20,00', '164.828'], '153,788')
('SU001869шт', ['17,00', '47.770'], '255,000')
('SU003167шт', ['400,00', '941.600'], '2_400,000')
('SU003168шт', ['200,00', '472.000'], '1_200,000')
('SU003423кг', ['98,00', '1.552.140'], '1_505,590')
('SU002787шт', ['5,00', '21.200'], '50,000')
('SU003432шт', ['10,00', '52.100'], '100,000')
('SU003421шт', ['10,00', '52.100'], '100,000')
('SU002027шт', ['10,00', '42.400'], '100,000')
('SU002074кг', ['42,00', '365.819'], '342,635')
('SU002074кг', ['702,00', '5.551.586'], '5_164,082')
('SU002205шт', ['84,00', '222.432'], '504,000')
('SU002615кг', ['12,00', '54.521'], '51,545')
('SU002613кг', ['47,00', '214.107'], '203,015')
('SU002538шт', ['9,00', '20.178'], '54,000')
('SU002612кг', ['12,00', '54.131'], '51,155')
('SU002011кг', ['38,00', '215.567'], '201,887')
('SU002182кг', ['48,00', '271.490'], '254,690')
('SU002634кг', ['588,00', '3.206.630'], '3_000,830')
('SU002808кг', ['38,00', '472.675'], '456,335')
('SU002655кг', ['37,00', '326.215'], '305,791')

ООО ЛП Тс192821-24 10.09.2024 Сарва 17089кг.pdf
('SU001485шт', ['10,00', '42.400'], '100,000')
('SU002815шт', ['22,00', '103.620'], '220,000')
('SU002828кг', ['17,00', '193.800'], '185,640')
('SU002828кг', ['21,00', '237.166'], '227,086')
('SU002830кг', ['24,00', '216.208'], '205,888')
('SU001523кг', ['4,00', '36.191'], '33,983')
('SU001523кг', ['42,00', '393.628'], '370,444')
('SU001718шт', ['134,00', '396.640'], '804,000')
('SU002734шт', ['10,00', '47.400'], '100,000')
('SU002735шт', ['17,00', '44.200'], '102,000')
('SU001720шт', ['267,00', '790.320'], '1_602,000')
('SU000124кг', ['9,00', '107.661'], '103,341')
('SU000125шт', ['17,00', '54.400'], '102,000')
('SU002725кг', ['26,00', '220.498'], '206,458')
('SU002621шт', ['22,00', '58.652'], '132,000')
('SU002621шт', ['312,00', '829.920'], '1_872,000')
('SU002686шт', ['9,00', '24.048'], '54,000')
('SU003427кг', ['6,00', '57.949'], '54,409')
('SU002799шт', ['17,00', '45.118'], '102,000')
('SU001340кг', ['1,00', '8.995'], '8,443')
('SU001340кг', ['13,00', '103.188'], '95,856')
('SU001051кг', ['20,00', '164.828'], '153,788')
('SU001869шт', ['17,00', '47.770'], '255,000')
('SU003167шт', ['400,00', '941.600'], '2_400,000')
('SU003168шт', ['200,00', '472.000'], '1_200,000')
('SU003423кг', ['98,00', '1.552.140'], '1_505,590')
('SU002787шт', ['5,00', '21.200'], '50,000')
('SU003432шт', ['10,00', '52.100'], '100,000')
('SU003421шт', ['10,00', '52.100'], '100,000')
('SU002027шт', ['10,00', '42.400'], '100,000')
('SU002074кг', ['42,00', '365.819'], '342,635')
('SU002074кг', ['702,00', '5.551.586'], '5_164,082')
('SU002205шт', ['84,00', '222.432'], '504,000')
('SU002615кг', ['12,00', '54.521'], '51,545')
('SU002613кг', ['47,00', '214.107'], '203,015')
('SU002538шт', ['9,00', '20.178'], '54,000')
('SU002612кг', ['12,00', '54.131'], '51,155')
('SU002011кг', ['38,00', '215.567'], '201,887')
('SU002182кг', ['48,00', '271.490'], '254,690')
('SU002634кг', ['588,00', '3.206.630'], '3_000,830')
('SU002808кг', ['38,00', '472.675'], '456,335')
('SU002655кг', ['37,00', '326.215'], '305,791')

