ООО НВ Тс199429-24 16.09.2024 Балабин 3373кг.pdf
('SU002762шт', ['28,00', '47.040'], '168,000')
('SU002763шт', ['14,00', '23.520'], '84,000')
('SU002760шт', ['14,00', '23.520'], '84,000')
('SU002345шт', ['48,00', '300.960'], '384,000')
('SU002914шт', ['20,00', '31.800'], '120,000')
('SU002915шт', ['20,00', '31.800'], '120,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002568шт', ['14,00', '53.480'], '168,000')
('SU000419шт', ['14,00', '53.480'], '168,000')
('SU002572шт', ['14,00', '53.480'], '168,000')
('SU002559шт', ['28,00', '106.960'], '336,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002626шт', ['24,00', '170.640'], '384,000')
('SU002562шт', ['56,00', '180.320'], '672,000')
('SU002561шт', ['126,00', '405.720'], '1_512,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['28,00', '108.640'], '103,600')

ООО НВ Тс199517-24 16.09.2024 Балабин 9816кг.pdf
('SU002762шт', ['56,00', '94.080'], '336,000')
('SU002761шт', ['42,00', '70.560'], '252,000')
('SU002763шт', ['98,00', '164.640'], '588,000')
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002914шт', ['10,00', '15.900'], '60,000')
('SU002915шт', ['10,00', '15.900'], '60,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['300,00', '1.563.900'], '1_500,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002568шт', ['42,00', '160.440'], '504,000')
('SU000419шт', ['14,00', '53.480'], '168,000')
('SU000419шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002559шт', ['14,00', '53.480'], '168,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002627шт', ['60,00', '445.800'], '480,000')
('SU002623шт', ['192,00', '1.779.840'], '1_536,000')
('SU002562шт', ['84,00', '270.480'], '1_008,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['36,00', '115.920'], '432,000')
('SU002565шт', ['6,00', '19.320'], '72,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['348,00', '1.809.600'], '1_740,000')
('SU002516шт', ['1,00', '3.220'], '12,000')
('SU002516шт', ['13,00', '41.860'], '156,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['48,00', '279.840'], '384,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003320шт', ['36,00', '260.280'], '360,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003010кг', ['168,00', '878.640'], '840,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003376шт', ['18,00', '50.400'], '162,000')

