ООО КСК ТРЕЙД Тс212238-24 01.10.2024 Черкасов 38кг.pdf
('SU001430кг', ['5,00', '41.563'], '38,803')

ООО КСК ТРЕЙД Тс210413-24 01.10.2024 Черкасов 17346кг.pdf
('SU000722кг', ['20,00', '224.688'], '215,088')
('SU001485шт', ['40,00', '169.600'], '400,000')
('SU002829кг', ['19,00', '218.026'], '208,906')
('SU002815шт', ['100,00', '471.000'], '1_000,000')
('SU002828кг', ['11,00', '123.809'], '118,529')
('SU002814шт', ['34,00', '98.600'], '204,000')
('SU003027шт', ['17,00', '33.014'], '102,000')
('SU003029шт', ['5,00', '9.740'], '30,000')
('SU003031шт', ['15,00', '29.130'], '90,000')
('SU002835кг', ['2,00', '17.161'], '16,081')
('SU002835кг', ['5,00', '43.204'], '40,504')
('SU002830кг', ['19,00', '217.968'], '208,848')
('SU003584шт', ['70,00', '329.700'], '700,000')
('SU001523кг', ['12,00', '111.274'], '104,650')
('SU001718шт', ['134,00', '396.640'], '804,000')
('SU002928кг', ['6,00', '72.084'], '69,204')
('SU002734шт', ['110,00', '521.400'], '1_100,000')
('SU001721кг', ['59,00', '537.240'], '504,672')
('SU001720шт', ['150,00', '444.000'], '900,000')
('SU003336шт', ['12,00', '24.864'], '72,000')
('SU002367шт', ['9,00', '20.592'], '54,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['8,00', '24.448'], '64,000')
('SU002984шт', ['8,00', '23.168'], '64,000')
('SU000125шт', ['4,00', '12.800'], '24,000')
('SU001351кг', ['5,00', '41.066'], '38,366')
('SU001354шт', ['5,00', '16.360'], '30,000')
('SU002756кг', ['15,00', '67.298'], '63,758')
('SU002876кг', ['5,00', '22.813'], '21,573')
('SU002847кг', ['12,00', '54.147'], '51,315')
('SU002660шт', ['59,00', '132.632'], '354,000')
('SU002877шт', ['67,00', '150.616'], '402,000')
('SU002848шт', ['92,00', '205.712'], '552,000')
('SU002941кг', ['22,00', '113.368'], '107,428')
('SU002943кг', ['19,00', '97.229'], '92,099')
('SU002945кг', ['41,00', '210.141'], '199,071')
('SU002947кг', ['24,00', '122.963'], '116,483')
('SU002725кг', ['22,00', '198.928'], '186,784')
('SU002842шт', ['134,00', '356.440'], '804,000')
('SU002618шт', ['150,00', '399.000'], '900,000')
('SU002686шт', ['50,00', '133.600'], '300,000')
('SU002844шт', ['100,00', '266.000'], '600,000')
('SU002759шт', ['25,00', '66.500'], '150,000')
('SU002758шт', ['25,00', '66.500'], '150,000')
('SU003266шт', ['6,00', '25.440'], '60,000')
('SU003273кг', ['4,00', '48.148'], '46,228')
('SU003271кг', ['6,00', '71.354'], '68,474')
('SU003274шт', ['7,00', '29.680'], '70,000')
('SU003272шт', ['5,00', '21.050'], '50,000')
('SU002801шт', ['84,00', '222.432'], '504,000')
('SU002799шт', ['134,00', '355.636'], '804,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU001051кг', ['4,00', '36.379'], '34,459')
('SU000227кг', ['33,00', '281.004'], '262,788')
('SU002092шт', ['10,00', '28.100'], '150,000')
('SU001869шт', ['74,00', '207.940'], '1_110,000')
('SU002841шт', ['40,00', '88.000'], '800,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU002252шт', ['17,00', '34.816'], '102,000')
('SU003167шт', ['250,00', '588.500'], '1_500,000')
('SU003168шт', ['167,00', '394.120'], '1_002,000')
('SU003422кг', ['69,00', '1.051.602'], '1_018,482')
('SU003423кг', ['47,00', '728.071'], '705,511')
('SU003420кг', ['194,00', '3.007.508'], '2_914,388')
('SU003421шт', ['7,00', '36.470'], '70,000')
('SU000126кг', ['74,00', '1.146.131'], '1_110,611')
('SU002027шт', ['2,00', '8.480'], '20,000')
('SU000246кг', ['8,00', '70.528'], '66,112')
('SU002287кг', ['3,00', '25.426'], '23,770')
('SU003425кг', ['5,00', '62.809'], '60,409')
('SU002074кг', ['6,00', '50.648'], '47,336')
('SU002614кг', ['12,00', '53.979'], '51,003')
('SU002613кг', ['10,00', '45.152'], '42,732')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['9,00', '20.178'], '54,000')
('SU002606шт', ['25,00', '56.050'], '150,000')
('SU003035шт', ['67,00', '129.980'], '402,000')
('SU002612кг', ['15,00', '67.781'], '64,061')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003279шт', ['3,00', '4.380'], '36,000')
('SU003345шт', ['7,00', '9.520'], '42,000')
('SU003344шт', ['5,00', '6.800'], '30,000')
('SU003342шт', ['12,00', '16.320'], '72,000')
('SU002011кг', ['10,00', '56.487'], '52,887')
('SU002010кг', ['29,00', '163.803'], '153,363')
('SU002634кг', ['20,00', '108.914'], '101,714')
('SU002632шт', ['25,00', '96.000'], '150,000')
('SU002631шт', ['39,00', '149.760'], '234,000')
('SU002035кг', ['10,00', '56.412'], '52,812')
('SU002150кг', ['14,00', '78.924'], '73,884')
('SU002158кг', ['11,00', '62.013'], '58,053')
('SU002151кг', ['24,00', '134.861'], '126,221')
('SU002916шт', ['17,00', '65.280'], '102,000')
('SU002919шт', ['4,00', '15.240'], '24,000')
('SU002918шт', ['14,00', '53.340'], '84,000')
('SU002808кг', ['3,00', '37.347'], '35,907')
('SU002809кг', ['3,00', '13.504'], '12,796')
('SU002655кг', ['112,00', '971.638'], '909,814')

