ООО КСК ТРЕЙД Тс218723-24 08.10.2024 Сарва 16640кг.pdf
('SU000722кг', ['1,00', '11.409'], '10,929')
('SU000722кг', ['12,00', '142.298'], '136,538')
('SU002829кг', ['28,00', '320.466'], '307,026')
('SU002815шт', ['90,00', '423.900'], '900,000')
('SU002828кг', ['8,00', '90.553'], '86,713')
('SU002814шт', ['34,00', '98.600'], '204,000')
('SU003027шт', ['25,00', '48.550'], '150,000')
('SU003029шт', ['12,00', '23.376'], '72,000')
('SU003031шт', ['20,00', '38.840'], '120,000')
('SU002835кг', ['13,00', '103.408'], '96,388')
('SU002830кг', ['7,00', '79.415'], '76,055')
('SU002830кг', ['4,00', '45.664'], '43,744')
('SU003584шт', ['60,00', '282.600'], '600,000')
('SU001523кг', ['18,00', '167.187'], '157,251')
('SU001718шт', ['134,00', '396.640'], '804,000')
('SU002928кг', ['6,00', '71.829'], '68,949')
('SU002734шт', ['90,00', '423.900'], '900,000')
('SU001721кг', ['36,00', '315.708'], '295,836')
('SU001721кг', ['8,00', '72.384'], '67,968')
('SU001720шт', ['167,00', '488.980'], '1_002,000')
('SU003336шт', ['9,00', '18.648'], '54,000')
('SU002367шт', ['7,00', '16.016'], '42,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['8,00', '24.448'], '64,000')
('SU002984шт', ['8,00', '23.168'], '64,000')
('SU001351кг', ['10,00', '90.513'], '85,113')
('SU001354шт', ['14,00', '45.808'], '84,000')
('SU002756кг', ['20,00', '90.750'], '85,790')
('SU002876кг', ['8,00', '36.140'], '34,156')
('SU002847кг', ['12,00', '54.685'], '51,853')
('SU002660шт', ['117,00', '263.016'], '702,000')
('SU002877шт', ['100,00', '224.800'], '600,000')
('SU002848шт', ['150,00', '335.400'], '900,000')
('SU002941кг', ['10,00', '51.500'], '48,800')
('SU002943кг', ['15,00', '76.702'], '72,652')
('SU002945кг', ['29,00', '148.062'], '140,232')
('SU002947кг', ['24,00', '123.835'], '117,355')
('SU002725кг', ['24,00', '220.479'], '207,231')
('SU002842шт', ['150,00', '399.000'], '900,000')
('SU002618шт', ['167,00', '438.880'], '1_002,000')
('SU002844шт', ['134,00', '356.440'], '804,000')
('SU002759шт', ['34,00', '90.440'], '204,000')
('SU002758шт', ['34,00', '90.440'], '204,000')
('SU003273кг', ['5,00', '59.720'], '57,320')
('SU003271кг', ['5,00', '59.810'], '57,410')
('SU003274шт', ['6,00', '25.440'], '60,000')
('SU003272шт', ['12,00', '50.520'], '120,000')
('SU002801шт', ['100,00', '264.800'], '600,000')
('SU002799шт', ['150,00', '398.100'], '900,000')
('SU002617шт', ['125,00', '281.000'], '750,000')
('SU001051кг', ['11,00', '99.620'], '94,340')
('SU000227кг', ['52,00', '451.272'], '422,568')
('SU001430кг', ['5,00', '43.070'], '40,310')
('SU001921кг', ['8,00', '25.748'], '23,892')
('SU002092шт', ['27,00', '75.870'], '405,000')
('SU001869шт', ['100,00', '281.000'], '1_500,000')
('SU002841шт', ['25,00', '55.000'], '500,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU002252шт', ['12,00', '24.576'], '72,000')
('SU003167шт', ['250,00', '588.500'], '1_500,000')
('SU003168шт', ['150,00', '354.000'], '900,000')
('SU003422кг', ['71,00', '1.046.013'], '1_011,933')
('SU003423кг', ['41,00', '638.657'], '618,977')
('SU003420кг', ['96,00', '1.463.198'], '1_417,118')
('SU003421шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['101,00', '1.556.293'], '1_507,813')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['3,00', '26.461'], '24,841')
('SU002287кг', ['11,00', '94.527'], '88,455')
('SU003425кг', ['4,00', '50.134'], '48,214')
('SU002074кг', ['3,00', '25.908'], '24,252')
('SU002614кг', ['15,00', '68.597'], '65,057')
('SU002538шт', ['34,00', '76.228'], '204,000')
('SU002602шт', ['7,00', '15.736'], '42,000')
('SU002606шт', ['28,00', '62.776'], '168,000')
('SU002606шт', ['14,00', '31.472'], '84,000')
('SU003035шт', ['67,00', '129.980'], '402,000')
('SU002612кг', ['8,00', '35.768'], '33,880')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003279шт', ['3,00', '4.380'], '36,000')
('SU003342шт', ['9,00', '12.240'], '54,000')
('SU002011кг', ['20,00', '112.392'], '105,192')
('SU002010кг', ['31,00', '175.739'], '164,579')
('SU002634кг', ['17,00', '92.217'], '86,097')
('SU002632шт', ['34,00', '129.540'], '204,000')
('SU002631шт', ['42,00', '161.280'], '252,000')
('SU002035кг', ['27,00', '151.506'], '141,786')
('SU002150кг', ['14,00', '78.911'], '73,871')
('SU002158кг', ['17,00', '94.941'], '88,821')
('SU002151кг', ['30,00', '169.143'], '158,343')
('SU002916шт', ['14,00', '53.760'], '84,000')
('SU002919шт', ['2,00', '7.620'], '12,000')
('SU002918шт', ['14,00', '53.340'], '84,000')
('SU002809кг', ['3,00', '13.600'], '12,892')
('SU002856шт', ['2,00', '3.620'], '12,000')
('SU002655кг', ['99,00', '865.954'], '811,306')

ООО КСК ТРЕЙД Тс219068-24 08.10.2024 Сарва 641кг.pdf
('SU002941кг', ['16,00', '82.297'], '77,977')
('SU003423кг', ['26,00', '414.810'], '402,460')
('SU002613кг', ['17,00', '77.505'], '73,493')
('SU002612кг', ['12,00', '54.533'], '51,701')
('SU002808кг', ['3,00', '37.566'], '36,126')

