ООО НВ Тс222102-24 14.10.2024 Сычев 5556кг.pdf
('SU002761шт', ['14,00', '23.520'], '84,000')
('SU002763шт', ['42,00', '70.560'], '252,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002914шт', ['10,00', '15.900'], '60,000')
('SU002838шт', ['24,00', '178.320'], '192,000')
('SU002624шт', ['60,00', '445.800'], '480,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU002560шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002568шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU002572шт', ['14,00', '53.480'], '168,000')
('SU002559шт', ['56,00', '213.920'], '672,000')
('SU002626шт', ['12,00', '85.320'], '192,000')
('SU002627шт', ['60,00', '445.800'], '480,000')
('SU002622шт', ['12,00', '85.320'], '192,000')
('SU002562шт', ['42,00', '135.240'], '504,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['42,00', '135.240'], '504,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['60,00', '313.800'], '300,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['22,00', '41.800'], '39,600')
('SU003020кг', ['56,00', '348.880'], '336,000')
('SU003020кг', ['4,00', '24.920'], '24,000')
('SU003012кг', ['70,00', '201.600'], '189,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['56,00', '217.280'], '207,200')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ Тс222116-24 14.10.2024 Сычев 7997кг.pdf
('SU002763шт', ['42,00', '70.560'], '252,000')
('SU002760шт', ['70,00', '117.600'], '420,000')
('SU002320шт', ['12,00', '75.240'], '96,000')
('SU002708шт', ['12,00', '89.160'], '96,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['132,00', '688.116'], '660,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['84,00', '320.880'], '1_008,000')
('SU002559шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002627шт', ['108,00', '802.440'], '864,000')
('SU002623шт', ['132,00', '1.223.640'], '1_056,000')
('SU002562шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['108,00', '561.600'], '540,000')
('SU002483кг', ['72,00', '374.400'], '360,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003454кг', ['56,00', '217.280'], '207,200')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003434кг', ['84,00', '481.320'], '462,000')
('SU003448кг', ['42,00', '133.560'], '126,000')
('SU003439кг', ['252,00', '977.760'], '932,400')

