ООО НВ Тс244788-24 11.11.2024 Хохлов 5303кг.pdf Аист +
('SU002762шт', ['42,00', '70.560'], '252,000')
('SU002761шт', ['42,00', '70.560'], '252,000')
('SU002760шт', ['42,00', '70.560'], '252,000')
('SU002320шт', ['24,00', '150.480'], '192,000')
('SU002345шт', ['24,00', '150.480'], '192,000')
('SU002838шт', ['24,00', '178.320'], '192,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU002293шт', ['42,00', '185.640'], '588,000')
('SU002568шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['42,00', '160.440'], '504,000')
('SU002558шт', ['42,00', '160.440'], '420,000')
('SU002570шт', ['24,00', '79.440'], '528,000')
('SU002627шт', ['84,00', '624.120'], '672,000')
('SU002623шт', ['84,00', '778.680'], '672,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU002516шт', ['70,00', '225.400'], '840,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003145шт', ['36,00', '209.880'], '288,000')
('SU003077шт', ['36,00', '209.880'], '288,000')
('SU003259шт', ['48,00', '279.840'], '384,000')
('SU003458шт', ['14,00', '45.080'], '168,000')
('SU003383шт', ['14,00', '40.320'], '126,000')

ООО НВ Тс244772-24 11.11.2024 Хохлов 840кг.pdf Донецк +
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU000195шт', ['140,00', '450.800'], '1_680,000')

ООО НВ Тс244786-24 11.11.2024 Хохлов 2842кг.pdf Бердянск +
('SU002761шт', ['14,00', '23.520'], '84,000')
('SU002763шт', ['28,00', '47.040'], '168,000')
('SU002838шт', ['36,00', '267.480'], '288,000')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002627шт', ['60,00', '445.800'], '480,000')
('SU002622шт', ['12,00', '85.320'], '192,000')
('SU002623шт', ['48,00', '444.960'], '384,000')
('SU003580шт', ['27,00', '86.940'], '324,000')
('SU003580шт', ['1,00', '3.220'], '12,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002483кг', ['24,00', '124.800'], '120,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003012кг', ['70,00', '201.600'], '189,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['24,00', '137.520'], '132,000')

ООО НВ Тс244783-24 11.11.2024 Хохлов 3742кг.pdf Мелитополь +
('SU002345шт', ['48,00', '300.960'], '384,000')
('SU002914шт', ['20,00', '31.800'], '120,000')
('SU002624шт', ['24,00', '178.320'], '192,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU002627шт', ['12,00', '89.160'], '96,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU002565шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['108,00', '561.600'], '540,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003024кг', ['90,00', '171.000'], '162,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

