ООО НВ Тс251528-24 18.11.2024 Хапизов 3205кг.pdf
('SU002761шт', ['14,00', '23.520'], '84,000')
('SU002763шт', ['70,00', '117.600'], '420,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU002558шт', ['42,00', '160.440'], '420,000')
('SU002626шт', ['12,00', '85.320'], '192,000')
('SU002622шт', ['12,00', '85.320'], '192,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['14,00', '45.080'], '168,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['72,00', '374.400'], '360,000')
('SU002516шт', ['70,00', '225.400'], '840,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU003722шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003024кг', ['36,00', '68.400'], '64,800')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['60,00', '313.800'], '300,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс251534-24 19.11.2024 Хапизов 8410кг.pdf
('SU002762шт', ['28,00', '47.040'], '168,000')
('SU002763шт', ['140,00', '235.200'], '840,000')
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002345шт', ['36,00', '225.720'], '288,000')
('SU002838шт', ['60,00', '445.800'], '480,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['70,00', '267.400'], '840,000')
('SU002570шт', ['36,00', '119.160'], '792,000')
('SU002626шт', ['24,00', '170.640'], '384,000')
('SU002627шт', ['96,00', '713.280'], '768,000')
('SU002622шт', ['24,00', '170.640'], '384,000')
('SU002623шт', ['96,00', '889.920'], '768,000')
('SU003578шт', ['98,00', '315.560'], '1_176,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU002516шт', ['42,00', '135.240'], '504,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU003722шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['120,00', '699.600'], '960,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003382шт', ['14,00', '40.320'], '126,000')
('SU003376шт', ['18,00', '50.400'], '162,000')

