ООО НВ Тс260384-24 25.11.2024 Адуев 5490кг.pdf
('SU002761шт', ['28,00', '47.040'], '168,000')
('SU002763шт', ['70,00', '117.600'], '420,000')
('SU002345шт', ['60,00', '376.200'], '480,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002838шт', ['36,00', '267.480'], '288,000')
('SU002624шт', ['24,00', '178.320'], '192,000')
('SU002595кг', ['132,00', '688.116'], '660,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU002572шт', ['40,00', '152.800'], '480,000')
('SU002572шт', ['2,00', '7.640'], '24,000')
('SU003604шт', ['2,00', '7.640'], '24,000')
('SU003604шт', ['12,00', '45.840'], '144,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['3,00', '9.660'], '36,000')
('SU003578шт', ['39,00', '125.580'], '468,000')
('SU002565шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['140,00', '450.800'], '1_680,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['84,00', '270.480'], '1_008,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['84,00', '325.920'], '310,800')

ООО НВ Тс260414-24 25.11.2024 Адуев 7221кг.pdf
('SU002762шт', ['14,00', '23.520'], '84,000')
('SU002761шт', ['14,00', '23.520'], '84,000')
('SU002763шт', ['56,00', '94.080'], '336,000')
('SU002760шт', ['14,00', '23.520'], '84,000')
('SU002345шт', ['24,00', '150.480'], '192,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002595кг', ['156,00', '813.228'], '780,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002568шт', ['42,00', '160.440'], '504,000')
('SU003609шт', ['56,00', '213.920'], '672,000')
('SU002572шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['28,00', '113.680'], '224,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['204,00', '1.060.800'], '1_020,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003320шт', ['84,00', '607.320'], '840,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['252,00', '1.317.960'], '1_260,000')
('SU003454кг', ['14,00', '54.320'], '51,800')

