ООО НВ Тс265725-24 05.12.2024 Гасымов 1960кг.pdf Бердянск +
('SU002761шт', ['28,00', '47.040'], '168,000')
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002838шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU002560шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['36,00', '119.160'], '792,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['72,00', '374.400'], '360,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003010кг', ['36,00', '188.280'], '180,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003377шт', ['18,00', '50.400'], '162,000')

ООО НВ Тс265726-24 05.12.2024 Гасымов 3125кг.pdf Донецк +
('SU002762шт', ['28,00', '47.040'], '168,000')
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002624шт', ['36,00', '267.480'], '288,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002568шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['56,00', '213.920'], '672,000')
('SU002572шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['70,00', '267.400'], '840,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU002558шт', ['56,00', '213.920'], '560,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU002565шт', ['28,00', '90.160'], '336,000')
('SU002669шт', ['28,00', '90.160'], '336,000')
('SU002516шт', ['98,00', '315.560'], '1_176,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003024кг', ['36,00', '68.400'], '64,800')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ Тс265727-24 05.12.2024 Гасымов 5145кг.pdf Луганск +
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002771шт', ['12,00', '85.320'], '192,000')
('SU002838шт', ['60,00', '445.800'], '480,000')
('SU002624шт', ['36,00', '267.480'], '288,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU002293шт', ['42,00', '185.640'], '588,000')
('SU002572шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['70,00', '267.400'], '840,000')
('SU002573шт', ['28,00', '65.520'], '672,000')
('SU003578шт', ['41,00', '132.020'], '492,000')
('SU003578шт', ['1,00', '3.220'], '12,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU002669шт', ['14,00', '45.080'], '168,000')
('SU002176шт', ['18,00', '32.400'], '144,000')
('SU002177шт', ['12,00', '25.440'], '96,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU002516шт', ['56,00', '180.320'], '672,000')
('SU002514шт', ['98,00', '315.560'], '1_176,000')
('SU003001шт', ['42,00', '135.240'], '504,000')
('SU002920шт', ['48,00', '279.840'], '384,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['24,00', '139.920'], '192,000')
('SU003067шт', ['24,00', '139.920'], '192,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU003320шт', ['12,00', '86.760'], '120,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003448кг', ['28,00', '89.040'], '84,000')

