ООО КСК ТРЕЙД Тс271103-24 09.12.2024 Бех 16832кг.pdf
('SU000722кг', ['8,00', '89.542'], '85,702')
('SU001485шт', ['65,00', '273.650'], '650,000')
('SU002829кг', ['38,00', '430.009'], '411,769')
('SU002815шт', ['80,00', '376.800'], '800,000')
('SU002828кг', ['14,00', '160.885'], '154,165')
('SU002814шт', ['34,00', '98.600'], '204,000')
('SU002816шт', ['20,00', '94.200'], '200,000')
('SU001523кг', ['29,00', '265.090'], '249,082')
('SU001718шт', ['117,00', '343.980'], '702,000')
('SU002928кг', ['15,00', '168.437'], '161,237')
('SU002734шт', ['40,00', '188.400'], '400,000')
('SU001721кг', ['10,00', '87.211'], '81,691')
('SU001721кг', ['48,00', '451.084'], '424,588')
('SU001720шт', ['117,00', '343.980'], '702,000')
('SU003336шт', ['5,00', '10.260'], '30,000')
('SU002367шт', ['5,00', '11.200'], '30,000')
('SU002985шт', ['7,00', '21.392'], '56,000')
('SU002984шт', ['28,00', '81.088'], '224,000')
('SU002756кг', ['20,00', '89.924'], '85,184')
('SU002847кг', ['5,00', '22.471'], '21,471')
('SU002660шт', ['84,00', '188.832'], '504,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['100,00', '223.600'], '600,000')
('SU002941кг', ['38,00', '195.926'], '185,666')
('SU002943кг', ['30,00', '150.666'], '144,366')
('SU002947кг', ['42,00', '215.004'], '206,184')
('SU002944шт', ['34,00', '66.028'], '204,000')
('SU002942шт', ['17,00', '33.014'], '102,000')
('SU002946шт', ['42,00', '81.564'], '252,000')
('SU002948шт', ['14,00', '27.188'], '84,000')
('SU002725кг', ['17,00', '158.046'], '148,662')
('SU002725кг', ['10,00', '87.437'], '81,917')
('SU002842шт', ['67,00', '176.880'], '402,000')
('SU002618шт', ['217,00', '578.522'], '1_302,000')
('SU002686шт', ['50,00', '132.000'], '300,000')
('SU002844шт', ['117,00', '308.880'], '702,000')
('SU002759шт', ['24,00', '63.360'], '144,000')
('SU002758шт', ['29,00', '76.560'], '174,000')
('SU003266шт', ['1,00', '4.210'], '10,000')
('SU003274шт', ['6,00', '25.260'], '60,000')
('SU003272шт', ['7,00', '29.470'], '70,000')
('SU002801шт', ['175,00', '452.550'], '1_050,000')
('SU002799шт', ['200,00', '530.800'], '1_200,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU001051кг', ['5,00', '43.093'], '40,333')
('SU000227кг', ['36,00', '307.581'], '287,709')
('SU002092шт', ['10,00', '28.100'], '150,000')
('SU002841шт', ['25,00', '55.000'], '500,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['7,00', '14.336'], '42,000')
('SU003167шт', ['334,00', '779.556'], '2_004,000')
('SU003168шт', ['117,00', '267.756'], '702,000')
('SU003422кг', ['48,00', '738.440'], '715,400')
('SU003423кг', ['50,00', '740.909'], '716,909')
('SU000251кг', ['33,00', '531.037'], '515,197')
('SU003420кг', ['98,00', '1.550.254'], '1_503,214')
('SU003421шт', ['6,00', '31.260'], '60,000')
('SU000126кг', ['107,00', '1.659.234'], '1_607,874')
('SU000246кг', ['3,00', '29.215'], '27,559')
('SU002287кг', ['4,00', '38.333'], '36,125')
('SU003425кг', ['5,00', '63.126'], '60,726')
('SU002614кг', ['5,00', '22.525'], '21,525')
('SU002613кг', ['5,00', '22.679'], '21,679')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002602шт', ['34,00', '76.432'], '204,000')
('SU002606шт', ['20,00', '44.960'], '120,000')
('SU003281шт', ['2,00', '2.920'], '24,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003280шт', ['2,00', '2.680'], '40,000')
('SU003314шт', ['1,00', '3.180'], '20,000')
('SU003345шт', ['12,00', '16.320'], '72,000')
('SU003344шт', ['7,00', '9.520'], '42,000')
('SU003342шт', ['20,00', '27.200'], '120,000')
('SU003505шт', ['50,00', '92.000'], '300,000')
('SU002011кг', ['22,00', '123.447'], '115,527')
('SU002010кг', ['33,00', '187.171'], '175,291')
('SU002634кг', ['19,00', '104.345'], '97,505')
('SU002632шт', ['30,00', '114.300'], '180,000')
('SU002631шт', ['50,00', '190.500'], '300,000')
('SU002035кг', ['33,00', '186.437'], '174,557')
('SU002150кг', ['6,00', '33.872'], '31,712')
('SU002158кг', ['12,00', '67.647'], '63,327')
('SU002151кг', ['40,00', '225.941'], '211,541')
('SU002916шт', ['15,00', '75.600'], '120,000')
('SU002919шт', ['14,00', '70.140'], '112,000')
('SU002918шт', ['35,00', '175.350'], '280,000')
('SU002655кг', ['150,00', '1.289.433'], '1_206,633')

