ООО НВ Тс270934-24 08.12.2024 Медведь 1210кг.pdf
('SU000722кг', ['8,00', '95.666'], '91,826')
('SU002828кг', ['9,00', '100.000'], '96,490')
('SU001718шт', ['12,00', '34.560'], '72,000')
('SU002848шт', ['18,00', '40.248'], '108,000')
('SU002618шт', ['12,00', '31.992'], '72,000')
('SU002621шт', ['12,00', '31.752'], '72,000')
('SU002844шт', ['12,00', '31.680'], '72,000')
('SU002799шт', ['12,00', '31.848'], '72,000')
('SU003423кг', ['8,00', '127.940'], '124,140')
('SU003420кг', ['16,00', '259.685'], '252,085')
('SU000126кг', ['8,00', '124.171'], '120,331')
('SU003424кг', ['8,00', '90.683'], '86,843')
('SU002205шт', ['12,00', '31.920'], '72,000')
('SU002010кг', ['17,00', '94.940'], '88,990')
('SU002634кг', ['9,00', '48.880'], '45,730')
('SU002150кг', ['9,00', '50.480'], '47,330')
('SU002158кг', ['8,00', '45.383'], '42,503')

ООО НВ Тс270950-24 08.12.2024 Медведь 11449кг.pdf
('SU000722кг', ['90,00', '1.077.262'], '1_038,542')
('SU003642кг', ['25,00', '281.930'], '270,430')
('SU002829кг', ['25,00', '280.130'], '268,700')
('SU002828кг', ['40,00', '450.530'], '434,630')
('SU002835кг', ['2,00', '16.940'], '15,740')
('SU002835кг', ['13,00', '118.749'], '111,573')
('SU001523кг', ['38,00', '350.314'], '329,338')
('SU001718шт', ['12,00', '34.560'], '72,000')
('SU002928кг', ['41,00', '459.203'], '439,523')
('SU001721кг', ['52,00', '486.671'], '457,967')
('SU002847кг', ['36,00', '164.128'], '155,200')
('SU002660шт', ['36,00', '80.928'], '216,000')
('SU002848шт', ['126,00', '281.736'], '756,000')
('SU002941кг', ['40,00', '204.808'], '196,408')
('SU002725кг', ['88,00', '819.133'], '770,557')
('SU002618шт', ['72,00', '191.952'], '432,000')
('SU002621шт', ['24,00', '63.504'], '144,000')
('SU002844шт', ['24,00', '63.360'], '144,000')
('SU002801шт', ['132,00', '342.324'], '792,000')
('SU002799шт', ['132,00', '350.328'], '792,000')
('SU001051кг', ['26,00', '221.912'], '207,560')
('SU000227кг', ['16,00', '136.222'], '127,390')
('SU001430кг', ['8,00', '72.334'], '67,918')
('SU001920кг', ['13,00', '41.815'], '38,591')
('SU001869шт', ['12,00', '33.720'], '180,000')
('SU001835кг', ['9,00', '77.356'], '72,280')
('SU003422кг', ['31,00', '500.115'], '485,390')
('SU003423кг', ['31,00', '498.750'], '484,025')
('SU003420кг', ['54,00', '876.645'], '850,995')
('SU000126кг', ['24,00', '371.616'], '360,096')
('SU002287кг', ['15,00', '142.329'], '134,049')
('SU003424кг', ['48,00', '550.488'], '526,464')
('SU002074кг', ['33,00', '280.726'], '259,342')
('SU002010кг', ['137,00', '766.670'], '718,720')
('SU002634кг', ['91,00', '498.330'], '466,480')
('SU002150кг', ['65,00', '364.880'], '342,130')
('SU002158кг', ['64,00', '362.134'], '339,094')
('SU002809кг', ['36,00', '163.815'], '155,319')

ООО НВ Тс270981-24 08.12.2024 Медведь 2792кг.pdf
('SU001485шт', ['12,00', '50.520'], '120,000')
('SU003313шт', ['36,00', '74.592'], '216,000')
('SU002829кг', ['9,00', '100.450'], '96,380')
('SU002785шт', ['12,00', '56.520'], '120,000')
('SU002814шт', ['5,00', '14.400'], '30,000')
('SU002814шт', ['19,00', '55.100'], '114,000')
('SU003617шт', ['24,00', '66.864'], '144,000')
('SU003288шт', ['48,00', '99.456'], '288,000')
('SU002825шт', ['48,00', '99.168'], '288,000')
('SU002816шт', ['12,00', '56.520'], '120,000')
('SU001718шт', ['36,00', '105.840'], '216,000')
('SU002928кг', ['9,00', '100.560'], '96,240')
('SU002734шт', ['12,00', '56.520'], '120,000')
('SU001720шт', ['36,00', '104.400'], '216,000')
('SU003336шт', ['48,00', '98.496'], '288,000')
('SU002847кг', ['12,00', '54.564'], '51,588')
('SU002848шт', ['18,00', '40.248'], '108,000')
('SU002824кг', ['9,00', '101.185'], '96,865')
('SU002823шт', ['24,00', '69.600'], '144,000')
('SU002757шт', ['24,00', '54.720'], '144,000')
('SU002725кг', ['9,00', '81.584'], '76,616')
('SU002618шт', ['60,00', '159.960'], '360,000')
('SU002621шт', ['18,00', '47.908'], '108,000')
('SU002621шт', ['42,00', '110.880'], '252,000')
('SU003272шт', ['12,00', '50.520'], '120,000')
('SU002801шт', ['60,00', '157.428'], '360,000')
('SU002799шт', ['60,00', '159.240'], '360,000')
('SU003421шт', ['12,00', '62.520'], '120,000')
('SU002027шт', ['12,00', '50.520'], '120,000')
('SU002205шт', ['24,00', '63.660'], '144,000')
('SU002606шт', ['18,00', '40.464'], '108,000')
('SU002603шт', ['18,00', '40.464'], '108,000')
('SU002545шт', ['18,00', '40.464'], '108,000')
('SU002604шт', ['18,00', '40.356'], '108,000')
('SU003345шт', ['36,00', '48.960'], '216,000')
('SU003344шт', ['36,00', '48.960'], '216,000')
('SU003342шт', ['36,00', '48.960'], '216,000')
('SU003132шт', ['24,00', '46.272'], '144,000')
('SU002631шт', ['16,00', '60.960'], '96,000')
('SU002643шт', ['12,00', '60.480'], '96,000')
('SU002916шт', ['12,00', '60.480'], '96,000')
('SU002919шт', ['9,00', '45.090'], '72,000')
('SU002918шт', ['9,00', '45.090'], '72,000')

