ООО КСК ТРЕЙД Тс271106-24 10.12.2024 Матлаш 17355кг.pdf
('SU000722кг', ['13,00', '145.706'], '139,466')
('SU001485шт', ['56,00', '235.760'], '560,000')
('SU002829кг', ['25,00', '279.623'], '267,623')
('SU002815шт', ['70,00', '329.700'], '700,000')
('SU002828кг', ['11,00', '123.724'], '118,444')
('SU002814шт', ['59,00', '169.920'], '354,000')
('SU003029шт', ['2,00', '3.896'], '12,000')
('SU002835кг', ['1,00', '8.211'], '7,563')
('SU002835кг', ['3,00', '25.751'], '23,807')
('SU002830кг', ['16,00', '181.234'], '173,554')
('SU002816шт', ['80,00', '376.800'], '800,000')
('SU001523кг', ['9,00', '77.926'], '72,958')
('SU001523кг', ['10,00', '86.096'], '80,576')
('SU001718шт', ['150,00', '441.000'], '900,000')
('SU002928кг', ['9,00', '101.130'], '96,810')
('SU002734шт', ['79,00', '372.090'], '790,000')
('SU001721кг', ['1,00', '8.822'], '8,270')
('SU001721кг', ['43,00', '406.742'], '383,006')
('SU001720шт', ['10,00', '29.400'], '60,000')
('SU001720шт', ['107,00', '308.220'], '642,000')
('SU003336шт', ['10,00', '20.520'], '60,000')
('SU002367шт', ['7,00', '15.540'], '42,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['10,00', '30.560'], '80,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU002756кг', ['15,00', '68.077'], '64,357')
('SU002876кг', ['3,00', '13.675'], '12,931')
('SU002847кг', ['12,00', '54.557'], '52,157')
('SU002660шт', ['64,00', '143.872'], '384,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['26,00', '133.227'], '127,587')
('SU002943кг', ['20,00', '101.264'], '95,864')
('SU002945кг', ['63,00', '322.103'], '305,093')
('SU002947кг', ['28,00', '143.108'], '135,548')
('SU002944шт', ['50,00', '97.100'], '300,000')
('SU002942шт', ['34,00', '66.028'], '204,000')
('SU002946шт', ['50,00', '97.100'], '300,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['23,00', '201.315'], '188,619')
('SU002842шт', ['84,00', '221.760'], '504,000')
('SU002618шт', ['167,00', '443.582'], '1_002,000')
('SU002686шт', ['50,00', '132.000'], '300,000')
('SU002844шт', ['84,00', '221.760'], '504,000')
('SU002759шт', ['19,00', '49.020'], '114,000')
('SU002758шт', ['19,00', '50.160'], '114,000')
('SU003275кг', ['1,00', '12.198'], '11,718')
