ООО КСК ТРЕЙД Тс277003-24 15.12.2024 Бех 9700кг.pdf
('SU002763шт', ['70,00', '117.600'], '420,000')
('SU002345шт', ['24,00', '150.480'], '192,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU002798кг', ['180,00', '522.000'], '486,000')
('SU002595кг', ['156,00', '813.228'], '780,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['98,00', '374.360'], '1_176,000')
('SU003604шт', ['98,00', '374.360'], '1_176,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003578шт', ['126,00', '405.720'], '1_512,000')
('SU003580шт', ['266,00', '856.520'], '3_192,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002516шт', ['98,00', '315.560'], '1_176,000')
('SU002514шт', ['126,00', '405.720'], '1_512,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['96,00', '559.680'], '768,000')
('SU002066шт', ['120,00', '891.600'], '960,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU003020кг', ['120,00', '747.600'], '720,000')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003454кг', ['56,00', '217.280'], '207,200')
('SU003448кг', ['98,00', '311.640'], '294,000')
('SU003439кг', ['42,00', '162.960'], '155,400')

ООО КСК ТРЕЙД Тс277090-24 15.12.2024 Бех 90кг.pdf +
('SU003645шт', ['15,00', '34.200'], '450,000')
('SU003647шт', ['15,00', '34.200'], '450,000')
('SU003632шт', ['10,00', '28.800'], '300,000')

ООО КСК ТРЕЙД Тс277092-24 15.12.2024 Бех 2064кг.pdf +
('SU002829кг', ['19,00', '213.418'], '204,298')
('SU003031шт', ['4,00', '7.768'], '24,000')
('SU002835кг', ['4,00', '36.501'], '33,909')
('SU002734шт', ['30,00', '141.300'], '300,000')
('SU003336шт', ['10,00', '20.520'], '60,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002847кг', ['15,00', '68.859'], '65,859')
('SU002945кг', ['35,00', '180.401'], '173,051')
('SU002942шт', ['9,00', '17.478'], '54,000')
('SU002618шт', ['50,00', '132.300'], '300,000')
('SU002686шт', ['34,00', '89.760'], '204,000')
('SU003275кг', ['1,00', '12.043'], '11,563')
('SU003274шт', ['5,00', '21.050'], '50,000')
('SU003272шт', ['22,00', '92.620'], '220,000')
('SU002799шт', ['50,00', '131.700'], '300,000')
('SU002617шт', ['50,00', '112.400'], '300,000')
('SU000227кг', ['7,00', '59.257'], '55,393')
('SU001430кг', ['3,00', '26.296'], '24,640')
('SU000126кг', ['27,00', '418.309'], '405,349')
('SU000246кг', ['3,00', '30.410'], '28,466')
('SU002287кг', ['4,00', '36.147'], '33,939')
('SU003505шт', ['17,00', '31.280'], '102,000')
('SU002011кг', ['19,00', '107.554'], '100,714')
('SU002631шт', ['17,00', '64.770'], '102,000')
('SU003687кг', ['3,00', '24.544'], '22,600')
('SU002808кг', ['2,00', '24.897'], '23,937')

