ООО НВ Тс278317-24 16.12.2024 Агамалов 4455кг.pdf Луганск +
('SU002762шт', ['42,00', '70.560'], '252,000')
('SU002763шт', ['42,00', '70.560'], '252,000')
('SU002345шт', ['36,00', '225.720'], '288,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['140,00', '534.800'], '1_680,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU002565шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '40.320'], '420,000')
('SU002177шт', ['12,00', '25.440'], '96,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003012кг', ['112,00', '322.560'], '302,400')
('SU003454кг', ['98,00', '380.240'], '362,600')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['168,00', '651.840'], '621,600')

ООО НВ Тс278314-24 16.12.2024 Агамалов 6059кг.pdf Бердянск +
('SU002762шт', ['28,00', '47.040'], '168,000')
('SU002763шт', ['112,00', '188.160'], '672,000')
('SU002760шт', ['42,00', '70.560'], '252,000')
('SU002345шт', ['12,00', '75.240'], '96,000')
('SU002838шт', ['36,00', '267.480'], '288,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002624шт', ['36,00', '267.480'], '288,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['84,00', '320.880'], '1_008,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU002572шт', ['42,00', '160.440'], '504,000')
('SU003608шт', ['42,00', '160.440'], '504,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['98,00', '315.560'], '1_176,000')
('SU002565шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '40.320'], '420,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU003001шт', ['56,00', '180.320'], '672,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003012кг', ['70,00', '201.600'], '189,000')
('SU003010кг', ['168,00', '878.640'], '840,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003434кг', ['12,00', '68.760'], '66,000')

