ООО НВ Тс283332-24 21.12.2024 Балабин 5104кг.pdf Бердянск +
('SU000722кг', ['10,00', '114.540'], '110,140')
('SU002831шт', ['9,00', '37.890'], '90,000')
('SU002828кг', ['12,00', '134.650'], '128,890')
('SU003029шт', ['6,00', '11.688'], '36,000')
('SU003031шт', ['6,00', '11.652'], '36,000')
('SU002816шт', ['8,00', '37.680'], '80,000')
('SU001718шт', ['3,00', '8.820'], '18,000')
('SU002658шт', ['9,00', '18.396'], '36,000')
('SU002928кг', ['6,00', '71.345'], '68,465')
('SU002734шт', ['10,00', '47.100'], '100,000')
('SU002833кг', ['10,00', '113.213'], '108,413')
('SU002735шт', ['4,00', '10.320'], '24,000')
('SU001721кг', ['7,00', '66.910'], '63,046')
('SU002660шт', ['26,00', '58.448'], '156,000')
('SU002848шт', ['17,00', '38.012'], '102,000')
('SU002944шт', ['18,00', '34.956'], '108,000')
('SU002948шт', ['14,00', '27.188'], '84,000')
('SU002842шт', ['34,00', '89.760'], '204,000')
('SU002618шт', ['10,00', '26.400'], '60,000')
('SU002621шт', ['29,00', '76.560'], '174,000')
('SU002686шт', ['16,00', '42.240'], '96,000')
('SU002844шт', ['40,00', '105.600'], '240,000')
('SU002799шт', ['81,00', '213.354'], '486,000')
('SU000227кг', ['9,00', '76.266'], '71,298')
('SU002252шт', ['4,00', '8.112'], '24,000')
('SU003422кг', ['48,00', '767.375'], '744,575')
('SU003422кг', ['39,00', '602.619'], '583,899')
('SU003423кг', ['26,00', '415.565'], '403,215')
('SU003420кг', ['30,00', '490.930'], '476,680')
('SU000126кг', ['67,00', '1.038.570'], '1_006,410')
('SU002287кг', ['2,00', '19.046'], '17,942')
('SU002606шт', ['1,00', '2.248'], '6,000')
('SU003277шт', ['1,00', '1.340'], '20,000')
('SU003281шт', ['4,00', '5.840'], '48,000')
('SU003314шт', ['1,00', '3.180'], '20,000')
('SU003342шт', ['10,00', '13.600'], '60,000')
('SU002011кг', ['8,00', '44.790'], '42,230')
('SU002182кг', ['5,00', '28.178'], '26,378')
('SU002010кг', ['36,00', '202.610'], '190,010')
('SU002035кг', ['5,00', '28.290'], '26,540')
('SU002151кг', ['19,00', '107.398'], '100,558')
('SU002655кг', ['10,00', '86.545'], '81,025')

ООО НВ Тс283341-24 21.12.2024 Балабин 7214кг.pdf Донецк +
('SU003111кг', ['9,00', '104.210'], '99,890')
('SU002831шт', ['3,00', '12.630'], '30,000')
('SU002828кг', ['7,00', '78.470'], '75,110')
('SU003029шт', ['2,00', '3.896'], '12,000')
('SU002835кг', ['10,00', '94.727'], '88,247')
('SU002816шт', ['6,00', '28.260'], '60,000')
('SU001718шт', ['254,00', '746.760'], '1_524,000')
('SU002734шт', ['39,00', '183.690'], '390,000')
('SU002833кг', ['4,00', '45.355'], '43,435')
('SU001720шт', ['136,00', '399.840'], '816,000')
('SU003512шт', ['5,00', '10.640'], '30,000')
('SU002847кг', ['29,00', '131.631'], '124,439')
('SU002660шт', ['66,00', '148.368'], '396,000')
('SU002848шт', ['89,00', '199.004'], '534,000')
('SU002947кг', ['6,00', '30.717'], '29,097')
('SU002942шт', ['19,00', '36.898'], '114,000')
('SU002842шт', ['42,00', '110.880'], '252,000')
('SU002621шт', ['2,00', '5.280'], '12,000')
('SU002686шт', ['8,00', '21.120'], '48,000')
('SU002844шт', ['10,00', '26.400'], '60,000')
('SU002801шт', ['9,00', '23.760'], '54,000')
('SU002799шт', ['49,00', '129.066'], '294,000')
('SU000227кг', ['102,00', '865.236'], '808,932')
('SU001869шт', ['26,00', '73.060'], '390,000')
('SU002252шт', ['4,00', '8.112'], '24,000')
('SU003423кг', ['40,00', '640.270'], '621,270')
('SU003423кг', ['2,00', '30.595'], '29,695')
('SU002074кг', ['189,00', '1.844.708'], '1_722,236')
('SU002606шт', ['15,00', '33.720'], '90,000')
('SU003277шт', ['1,00', '1.340'], '20,000')
('SU003281шт', ['4,00', '5.840'], '48,000')
('SU003314шт', ['1,00', '3.180'], '20,000')
('SU003342шт', ['2,00', '2.720'], '12,000')
('SU002011кг', ['22,00', '123.550'], '116,510')
('SU002010кг', ['88,00', '495.400'], '464,600')
