ООО КСК ТРЕЙД Тс284248-24 24.12.2024 Медведев 17278кг.pdf
('SU000722кг', ['18,00', '205.944'], '197,304')
('SU000722кг', ['1,00', '11.979'], '11,499')
('SU001485шт', ['40,00', '168.400'], '400,000')
('SU002829кг', ['28,00', '318.222'], '304,782')
('SU002815шт', ['80,00', '376.800'], '800,000')
('SU002828кг', ['12,00', '136.274'], '130,514')
('SU002814шт', ['2,00', '5.760'], '12,000')
('SU002814шт', ['57,00', '164.160'], '342,000')
('SU002835кг', ['3,00', '27.663'], '25,719')
('SU002830кг', ['24,00', '267.736'], '256,216')
('SU002816шт', ['110,00', '518.100'], '1_100,000')
('SU001523кг', ['12,00', '103.542'], '96,918')
('SU001718шт', ['84,00', '246.960'], '504,000')
('SU002928кг', ['5,00', '60.302'], '57,902')
('SU002734шт', ['100,00', '471.000'], '1_000,000')
('SU001721кг', ['57,00', '486.908'], '455,444')
('SU001720шт', ['84,00', '246.960'], '504,000')
('SU003336шт', ['14,00', '28.728'], '84,000')
('SU002367шт', ['17,00', '37.740'], '102,000')
('SU002983шт', ['13,00', '44.200'], '104,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002756кг', ['17,00', '77.279'], '73,067')
('SU002876кг', ['5,00', '23.008'], '21,778')
('SU002847кг', ['9,00', '41.089'], '38,875')
('SU002660шт', ['42,00', '94.416'], '252,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['75,00', '167.700'], '450,000')
('SU002941кг', ['24,00', '123.554'], '117,510')
('SU002943кг', ['14,00', '71.594'], '67,814')
('SU002945кг', ['36,00', '183.873'], '174,153')
('SU002947кг', ['16,00', '81.183'], '76,863')
('SU002944шт', ['17,00', '33.014'], '102,000')
('SU002942шт', ['17,00', '33.014'], '102,000')
('SU002946шт', ['25,00', '48.550'], '150,000')
('SU002948шт', ['12,00', '23.304'], '72,000')
('SU002725кг', ['11,00', '98.938'], '92,866')
('SU002842шт', ['100,00', '264.000'], '600,000')
('SU002618шт', ['84,00', '221.760'], '504,000')
('SU002686шт', ['34,00', '89.760'], '204,000')
('SU002844шт', ['84,00', '221.760'], '504,000')
('SU002759шт', ['12,00', '31.680'], '72,000')
('SU002758шт', ['12,00', '31.380'], '72,000')
('SU003271кг', ['3,00', '36.020'], '34,580')
('SU003272шт', ['25,00', '105.250'], '250,000')
('SU002799шт', ['134,00', '352.956'], '804,000')
('SU002617шт', ['100,00', '224.800'], '600,000')
('SU001051кг', ['4,00', '35.256'], '33,048')
('SU000227кг', ['26,00', '215.802'], '201,450')
('SU001430кг', ['3,00', '27.811'], '26,155')
('SU001921кг', ['10,00', '33.045'], '30,725')
('SU002092шт', ['10,00', '28.100'], '150,000')
('SU001869шт', ['67,00', '188.270'], '1_005,000')
('SU002368шт', ['25,00', '55.000'], '500,000')
('SU002252шт', ['9,00', '18.252'], '54,000')
('SU003167шт', ['250,00', '583.500'], '1_500,000')
('SU003168шт', ['100,00', '230.736'], '600,000')
('SU003422кг', ['80,00', '1.246.231'], '1_207,831')
('SU003423кг', ['66,00', '1.042.590'], '1_010,910')
('SU000251кг', ['33,00', '534.970'], '519,130')
('SU003420кг', ['198,00', '3.149.616'], '3_054,576')
('SU003421шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['108,00', '1.671.600'], '1_619,760')
('SU000246кг', ['4,00', '41.180'], '38,588')
('SU002287кг', ['4,00', '37.517'], '35,309')
('SU003425кг', ['5,00', '62.377'], '59,977')
('SU002614кг', ['3,00', '13.671'], '13,041')
('SU002613кг', ['5,00', '22.495'], '21,205')
('SU002538шт', ['10,00', '22.480'], '60,000')
('SU002602шт', ['10,00', '22.480'], '60,000')
('SU002606шт', ['17,00', '38.216'], '102,000')
('SU002612кг', ['4,00', '22.923'], '21,843')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003345шт', ['4,00', '5.440'], '24,000')
('SU003344шт', ['4,00', '5.440'], '24,000')
('SU003342шт', ['5,00', '6.800'], '30,000')
('SU003505шт', ['17,00', '31.280'], '102,000')
('SU002011кг', ['19,00', '106.830'], '99,990')
('SU002010кг', ['19,00', '107.515'], '100,675')
('SU002634кг', ['20,00', '107.914'], '100,714')
('SU002632шт', ['20,00', '76.200'], '120,000')
('SU002631шт', ['29,00', '146.160'], '232,000')
('SU002035кг', ['10,00', '56.671'], '53,071')
('SU002150кг', ['6,00', '33.931'], '31,771')
('SU002158кг', ['4,00', '22.577'], '21,137')
('SU002151кг', ['19,00', '107.041'], '100,201')
('SU002916шт', ['15,00', '75.600'], '120,000')
('SU002919шт', ['5,00', '19.050'], '30,000')
('SU002918шт', ['27,00', '135.270'], '216,000')
('SU002655кг', ['117,00', '975.004'], '910,420')

