ООО НВ Тс284154-24 24.12.2024 Шаов 14кг.pdf +
('SU003373шт', ['12,00', '16.200'], '72,000')

ООО НВ Тс284263-24 24.12.2024 Шаов 4819кг.pdf Бердянск +
('SU002760шт', ['14,00', '23.520'], '84,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002838шт', ['72,00', '534.960'], '576,000')
('SU002624шт', ['24,00', '178.320'], '192,000')
('SU002595кг', ['192,00', '1.000.896'], '960,000')
('SU002563шт', ['56,00', '213.920'], '672,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['28,00', '106.960'], '336,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU002565шт', ['14,00', '45.080'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['156,00', '811.200'], '780,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['60,00', '349.800'], '480,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003086шт', ['36,00', '224.280'], '216,000')
('SU003010кг', ['12,00', '62.760'], '60,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ Тс284264-24 25.12.2024 Шаов 3643кг.pdf Аист +
('SU002762шт', ['70,00', '117.600'], '420,000')
('SU003599шт', ['70,00', '117.600'], '420,000')
('SU002760шт', ['70,00', '117.600'], '420,000')
('SU002838шт', ['24,00', '178.320'], '192,000')
('SU003593шт', ['42,00', '160.440'], '504,000')
('SU002564шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['70,00', '267.400'], '840,000')
('SU003594шт', ['56,00', '213.920'], '672,000')
('SU002293шт', ['56,00', '247.520'], '784,000')
('SU003608шт', ['56,00', '213.920'], '672,000')
('SU002558шт', ['56,00', '213.920'], '560,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['41,00', '132.020'], '492,000')
('SU003596шт', ['28,00', '90.160'], '336,000')
('SU002668шт', ['56,00', '104.160'], '336,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003458шт', ['15,00', '48.300'], '180,000')
('SU003383шт', ['20,00', '57.600'], '180,000')

ООО НВ Тс284265-24 25.12.2024 Шаов 2724кг.pdf Луганск +
('SU003598шт', ['98,00', '164.640'], '588,000')
('SU002760шт', ['70,00', '117.600'], '420,000')
('SU002838шт', ['48,00', '356.640'], '384,000')
('SU002624шт', ['36,00', '267.480'], '288,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002570шт', ['48,00', '158.880'], '1_056,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU002565шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU003001шт', ['42,00', '135.240'], '504,000')

