ООО НВ ЮТс-03467-24 30.12.2024 Арслангереев 4373кг.pdf
('SU002762шт', ['84,00', '141.120'], '504,000')
('SU003599шт', ['42,00', '70.560'], '252,000')
('SU002760шт', ['14,00', '23.520'], '84,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002595кг', ['108,00', '563.004'], '540,000')
('SU003593шт', ['4,00', '15.280'], '48,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU002571шт', ['28,00', '113.680'], '224,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003578шт', ['52,00', '167.440'], '624,000')
('SU003578шт', ['4,00', '12.880'], '48,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU003596шт', ['42,00', '135.240'], '504,000')
('SU002176шт', ['6,00', '10.800'], '48,000')
('SU002177шт', ['6,00', '12.720'], '48,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002516шт', ['56,00', '180.320'], '672,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003434кг', ['48,00', '275.040'], '264,000')
('SU003448кг', ['70,00', '222.600'], '210,000')
('SU003439кг', ['84,00', '325.920'], '310,800')

ООО НВ ЮТс-03470-24 30.12.2024 Арслангереев 6725кг.pdf
('SU002762шт', ['112,00', '188.160'], '672,000')
('SU003599шт', ['28,00', '47.040'], '168,000')
('SU003598шт', ['70,00', '117.600'], '420,000')
('SU002760шт', ['56,00', '94.080'], '336,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002838шт', ['12,00', '89.160'], '96,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002624шт', ['72,00', '534.960'], '576,000')
('SU003529шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['28,00', '113.680'], '224,000')
('SU002558шт', ['28,00', '106.960'], '280,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['112,00', '360.640'], '1_344,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU002483кг', ['24,00', '124.800'], '120,000')
('SU002516шт', ['28,00', '90.160'], '336,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['60,00', '349.800'], '480,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['12,00', '62.760'], '60,000')
('SU003454кг', ['14,00', '54.320'], '51,800')

