ООО НВ Тс013881-25 20.01.2025 Ожех 5308кг.pdf
('SU003599шт', ['14,00', '23.520'], '84,000')
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU002838шт', ['36,00', '267.480'], '288,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['144,00', '750.672'], '720,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU003645шт', ['10,00', '22.800'], '300,000')
('SU002558шт', ['28,00', '106.960'], '280,000')
('SU002570шт', ['24,00', '79.440'], '528,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU003632шт', ['14,00', '40.320'], '420,000')
('SU000197кг', ['96,00', '499.200'], '480,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU002516шт', ['84,00', '270.480'], '1_008,000')
('SU002514шт', ['98,00', '315.560'], '1_176,000')
('SU003001шт', ['42,00', '135.240'], '504,000')
('SU003777шт', ['42,00', '110.040'], '504,000')
('SU003722шт', ['14,00', '36.680'], '168,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['36,00', '68.400'], '64,800')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['84,00', '325.920'], '310,800')

ООО НВ Тс013876-25 20.01.2025 Ожех 7253кг.pdf
('SU003599шт', ['14,00', '23.520'], '84,000')
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU002760шт', ['28,00', '47.040'], '168,000')
('SU002838шт', ['60,00', '445.800'], '480,000')
('SU002624шт', ['12,00', '89.160'], '96,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU002571шт', ['28,00', '113.680'], '224,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['228,00', '1.185.600'], '1_140,000')
('SU002516шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU003086шт', ['12,00', '74.760'], '72,000')
('SU003024кг', ['162,00', '307.800'], '291,600')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003012кг', ['56,00', '161.280'], '151,200')
('SU003010кг', ['144,00', '753.120'], '720,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003434кг', ['24,00', '137.520'], '132,000')

