ООО КСК ТРЕЙД Тс019481-25 27.01.2025 Антонов 17425кг.pdf
('SU000722кг', ['10,00', '112.081'], '107,731')
('SU001485шт', ['60,00', '252.600'], '600,000')
('SU002829кг', ['14,00', '156.705'], '150,615')
('SU002815шт', ['70,00', '329.700'], '700,000')
('SU002828кг', ['9,00', '100.772'], '96,857')
('SU002814шт', ['37,00', '106.560'], '222,000')
('SU003027шт', ['17,00', '33.014'], '102,000')
('SU003029шт', ['10,00', '19.480'], '60,000')
('SU003031шт', ['17,00', '33.014'], '102,000')
('SU003287кг', ['3,00', '28.112'], '26,303')
('SU002835кг', ['10,00', '91.635'], '85,605')
('SU002830кг', ['10,00', '113.340'], '108,990')
('SU002816шт', ['90,00', '423.900'], '900,000')
('SU001523кг', ['6,00', '55.691'], '52,649')
('SU001718шт', ['167,00', '490.980'], '1_002,000')
('SU002928кг', ['12,00', '144.175'], '138,955')
('SU002734шт', ['100,00', '471.000'], '1_000,000')
('SU002833кг', ['3,00', '33.581'], '32,276')
('SU001721кг', ['90,00', '859.390'], '813,760')
('SU001720шт', ['59,00', '173.460'], '354,000')
('SU001720шт', ['108,00', '311.100'], '648,000')
('SU003336шт', ['20,00', '41.040'], '120,000')
('SU002367шт', ['10,00', '22.200'], '60,000')
('SU002983шт', ['28,00', '95.200'], '224,000')
('SU002985шт', ['30,00', '91.680'], '240,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['38,00', '172.680'], '162,876')
('SU002876кг', ['27,00', '123.414'], '116,748')
('SU002847кг', ['29,00', '131.822'], '124,340')
('SU002660шт', ['59,00', '132.632'], '354,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['32,00', '164.303'], '155,663')
('SU002943кг', ['40,00', '204.547'], '193,747')
('SU002945кг', ['70,00', '359.213'], '340,313')
('SU002947кг', ['29,00', '148.317'], '140,487')
('SU002944шт', ['44,00', '85.448'], '264,000')
('SU002942шт', ['27,00', '52.434'], '162,000')
('SU002946шт', ['27,00', '52.434'], '162,000')
('SU002948шт', ['27,00', '52.434'], '162,000')
('SU002725кг', ['7,00', '64.419'], '60,870')
('SU002725кг', ['14,00', '125.304'], '118,206')
('SU002842шт', ['167,00', '440.880'], '1_002,000')
('SU002618шт', ['59,00', '156.114'], '354,000')
('SU002618шт', ['66,00', '174.240'], '396,000')
('SU002686шт', ['50,00', '132.000'], '300,000')
('SU002844шт', ['100,00', '264.000'], '600,000')
('SU002759шт', ['30,00', '79.200'], '180,000')
('SU002758шт', ['34,00', '89.760'], '204,000')
('SU003275кг', ['1,00', '12.104'], '11,669')
('SU003271кг', ['2,00', '24.023'], '23,153')
('SU003274шт', ['10,00', '42.100'], '100,000')
('SU003272шт', ['34,00', '143.140'], '340,000')
('SU002801шт', ['67,00', '176.880'], '402,000')
('SU002799шт', ['167,00', '439.878'], '1_002,000')
('SU002617шт', ['134,00', '301.232'], '804,000')
('SU001051кг', ['8,00', '71.547'], '67,491')
('SU000227кг', ['45,00', '393.541'], '370,726')
('SU001430кг', ['2,00', '17.578'], '16,372')
('SU002252шт', ['12,00', '24.336'], '72,000')
('SU003167шт', ['550,00', '1.283.700'], '3_300,000')
('SU003168шт', ['167,00', '388.776'], '1_002,000')
('SU003422кг', ['20,00', '308.993'], '299,393')
('SU003423кг', ['34,00', '523.701'], '507,381')
('SU003420кг', ['74,00', '1.145.648'], '1_110,128')
('SU000251кг', ['14,00', '216.469'], '209,749')
('SU003421шт', ['8,00', '41.680'], '80,000')
('SU000126кг', ['88,00', '1.358.419'], '1_316,179')
('SU002027шт', ['2,00', '8.420'], '20,000')
('SU000246кг', ['3,00', '27.905'], '26,096')
('SU002287кг', ['7,00', '67.938'], '64,389')
('SU003425кг', ['6,00', '75.842'], '72,962')
('SU003425кг', ['7,00', '87.618'], '84,573')
('SU002614кг', ['2,00', '11.361'], '10,821')
('SU002613кг', ['3,00', '13.651'], '12,913')
('SU002538шт', ['17,00', '38.216'], '102,000')
('SU002606шт', ['34,00', '76.432'], '204,000')
('SU002612кг', ['8,00', '44.848'], '42,688')
('SU003345шт', ['4,00', '5.440'], '24,000')
('SU003342шт', ['9,00', '12.960'], '54,000')
('SU003505шт', ['67,00', '123.280'], '402,000')
('SU002011кг', ['29,00', '163.932'], '153,492')
('SU002010кг', ['48,00', '271.076'], '253,796')
('SU002634кг', ['25,00', '135.265'], '126,265')
('SU002632шт', ['24,00', '91.440'], '144,000')
('SU002631шт', ['25,00', '95.250'], '150,000')
('SU002035кг', ['19,00', '106.979'], '100,139')
('SU002150кг', ['14,00', '78.995'], '73,955')
('SU002158кг', ['14,00', '79.341'], '74,301')
('SU002151кг', ['29,00', '163.223'], '152,783')
('SU002916шт', ['20,00', '100.200'], '160,000')
('SU002919шт', ['11,00', '55.110'], '88,000')
('SU002918шт', ['9,00', '45.090'], '72,000')
('SU003403кг', ['10,00', '44.634'], '42,534')
('SU002808кг', ['3,00', '37.095'], '35,790')
('SU002655кг', ['161,00', '1.391.202'], '1_309,575')

